PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,63,63,126,0.5,0.5
CE_CAN,40,36,76,0.53,0.47
CE_CAP,34,42,76,0.45,0.55
CE_GEM,14,23,37,0.38,0.62
CE_LEO,133,144,277,0.48,0.52
CE_LIB,40,26,66,0.61,0.39
CE_PIS,124,105,229,0.54,0.46
CE_SAG,151,144,295,0.51,0.49
CE_SCO,31,44,75,0.41,0.59
CE_VIR,32,38,70,0.46,0.54
CH_ARI,427,436,863,0.49,0.51
CH_PIS,235,229,464,0.51,0.49
EM_AQU,176,179,355,0.5,0.5
EM_CAN,79,68,147,0.54,0.46
EM_CAP,164,162,326,0.5,0.5
EM_GEM,30,21,51,0.59,0.41
EM_LEO,199,219,418,0.48,0.52
EM_SAG,14,16,30,0.47,0.53
ES_AQU,66,82,148,0.45,0.55
ES_CAN,182,200,382,0.48,0.52
ES_CAP,187,169,356,0.53,0.47
ES_LEO,167,158,325,0.51,0.49
ES_PIS,37,42,79,0.47,0.53
ES_SAG,23,14,37,0.62,0.38
JN_AQU,36,33,69,0.52,0.48
JN_ARI,22,42,64,0.34,0.66
JN_CAN,26,36,62,0.42,0.58
JN_CAP,96,100,196,0.49,0.51
JN_GEM,64,29,93,0.69,0.31
JN_LEO,22,41,63,0.35,0.65
JN_LIB,162,159,321,0.5,0.5
JN_PIS,35,29,64,0.55,0.45
JN_SAG,19,14,33,0.58,0.42
JN_SCO,47,42,89,0.53,0.47
JN_TAU,88,112,200,0.44,0.56
JN_VIR,45,28,73,0.62,0.38
JU_AQU,18,14,32,0.56,0.44
JU_CAP,199,184,383,0.52,0.48
JU_LIB,63,66,129,0.49,0.51
JU_SAG,186,203,389,0.48,0.52
JU_SCO,196,198,394,0.5,0.5
MA_AQU,98,100,198,0.49,0.51
MA_ARI,119,117,236,0.5,0.5
MA_CAN,36,56,92,0.39,0.61
MA_CAP,64,68,132,0.48,0.52
MA_GEM,24,23,47,0.51,0.49
MA_LEO,43,52,95,0.45,0.55
MA_LIB,55,39,94,0.59,0.41
MA_PIS,44,49,93,0.47,0.53
MA_SAG,47,47,94,0.5,0.5
MA_SCO,46,47,93,0.49,0.51
MA_TAU,39,20,59,0.66,0.34
MA_VIR,47,47,94,0.5,0.5
ME_AQU,40,37,77,0.52,0.48
ME_ARI,51,52,103,0.5,0.5
ME_CAN,65,80,145,0.45,0.55
ME_CAP,38,38,76,0.5,0.5
ME_GEM,25,35,60,0.42,0.58
ME_LEO,72,83,155,0.46,0.54
ME_LIB,47,42,89,0.53,0.47
ME_PIS,78,60,138,0.57,0.43
ME_SAG,88,73,161,0.55,0.45
ME_SCO,88,83,171,0.51,0.49
ME_TAU,18,30,48,0.38,0.62
ME_VIR,52,52,104,0.5,0.5
MO_AQU,70,51,121,0.58,0.42
MO_ARI,48,70,118,0.41,0.59
MO_CAN,59,44,103,0.57,0.43
MO_CAP,58,61,119,0.49,0.51
MO_GEM,66,40,106,0.62,0.38
MO_LEO,43,58,101,0.43,0.57
MO_LIB,53,52,105,0.5,0.5
