PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,649,617,1266,0.51,0.49
CE_FIX,823,830,1653,0.5,0.5
CE_MUT,782,756,1538,0.51,0.49
CH_CAR,523,504,1027,0.51,0.49
CH_FIX,713,677,1390,0.51,0.49
CH_MUT,1018,1022,2040,0.5,0.5
EM_CAR,729,729,1458,0.5,0.5
EM_FIX,747,748,1495,0.5,0.5
EM_MUT,778,726,1504,0.52,0.48
ES_CAR,885,861,1746,0.51,0.49
ES_FIX,649,677,1326,0.49,0.51
ES_MUT,720,665,1385,0.52,0.48
JN_CAR,801,768,1569,0.51,0.49
JN_FIX,745,702,1447,0.51,0.49
JN_MUT,708,733,1441,0.49,0.51
JU_CAR,766,774,1540,0.5,0.5
JU_FIX,715,690,1405,0.51,0.49
JU_MUT,773,739,1512,0.51,0.49
MA_CAR,794,720,1514,0.52,0.48
MA_FIX,764,776,1540,0.5,0.5
MA_MUT,696,707,1403,0.5,0.5
ME_CAR,759,732,1491,0.51,0.49
ME_FIX,767,727,1494,0.51,0.49
ME_MUT,728,744,1472,0.49,0.51
MO_CAR,744,752,1496,0.5,0.5
MO_FIX,762,718,1480,0.51,0.49
MO_MUT,748,733,1481,0.51,0.49
NE_FIX,1051,981,2032,0.52,0.48
NE_MUT,1203,1222,2425,0.5,0.5
NN_CAR,797,820,1617,0.49,0.51
NN_FIX,747,715,1462,0.51,0.49
NN_MUT,710,668,1378,0.52,0.48
PA_CAR,823,779,1602,0.51,0.49
PA_FIX,682,662,1344,0.51,0.49
PA_MUT,749,762,1511,0.5,0.5
PH_CAR,297,301,598,0.5,0.5
PH_FIX,251,240,491,0.51,0.49
PH_MUT,1706,1662,3368,0.51,0.49
PL_CAR,1637,1629,3266,0.5,0.5
PL_MUT,617,574,1191,0.52,0.48
SA_CAR,926,892,1818,0.51,0.49
SA_FIX,672,629,1301,0.52,0.48
SA_MUT,656,682,1338,0.49,0.51
SN_CAR,797,820,1617,0.49,0.51
SN_FIX,747,715,1462,0.51,0.49
SN_MUT,710,668,1378,0.52,0.48
SU_CAR,744,750,1494,0.5,0.5
SU_FIX,754,725,1479,0.51,0.49
SU_MUT,756,728,1484,0.51,0.49
UR_CAR,1002,1007,2009,0.5,0.5
UR_FIX,321,316,637,0.5,0.5
UR_MUT,931,880,1811,0.51,0.49
VE_CAR,761,744,1505,0.51,0.49
VE_FIX,751,695,1446,0.52,0.48
VE_MUT,742,764,1506,0.49,0.51
VS_CAR,731,727,1458,0.5,0.5
VS_FIX,710,754,1464,0.48,0.52
VS_MUT,813,722,1535,0.53,0.47
