PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a103,6,12,18,0.33,0.67
JUNE_a120,45,41,86,0.52,0.48
JUNE_a135,10,7,17,0.59,0.41
JUNE_a45,14,5,19,0.74,0.26
JUNE_a60,61,51,112,0.54,0.46
JUNE_a90,39,48,87,0.45,0.55
JUPL_a0,69,50,119,0.58,0.42
JUPL_a30,78,52,130,0.6,0.4
JUPL_a45,8,13,21,0.38,0.62
JUPL_a60,61,46,107,0.57,0.43
JUPL_a90,16,4,20,0.8,0.2
JUSA_a0,24,13,37,0.65,0.35
JUSA_a30,82,78,160,0.51,0.49
JUSA_a45,89,67,156,0.57,0.43
JUSA_a60,12,11,23,0.52,0.48
JUUR_a103,49,38,87,0.56,0.44
JUUR_a120,7,9,16,0.44,0.56
JUUR_a135,36,29,65,0.55,0.45
JUUR_a150,7,9,16,0.44,0.56
JUUR_a180,10,6,16,0.62,0.38
JUUR_a90,8,4,12,0.67,0.33
MAJU_a0,10,5,15,0.67,0.33
MAJU_a103,13,3,16,0.81,0.19
MAJU_a120,5,10,15,0.33,0.67
MAJU_a135,5,7,12,0.42,0.58
MAJU_a150,5,7,12,0.42,0.58
MAJU_a180,1,5,6,0.17,0.83
MAJU_a30,12,21,33,0.36,0.64
MAJU_a45,19,11,30,0.63,0.37
MAJU_a60,18,13,31,0.58,0.42
MAJU_a90,19,21,40,0.48,0.52
MANE_a0,7,7,14,0.5,0.5
MANE_a103,15,6,21,0.71,0.29
MANE_a120,9,12,21,0.43,0.57
MANE_a135,9,11,20,0.45,0.55
MANE_a150,17,8,25,0.68,0.32
MANE_a180,7,5,12,0.58,0.42
MANE_a30,33,30,63,0.52,0.48
MANE_a45,39,44,83,0.47,0.53
MANE_a60,10,12,22,0.45,0.55
MANE_a90,12,9,21,0.57,0.43
MAPL_a0,9,6,15,0.6,0.4
MAPL_a103,12,10,22,0.55,0.45
MAPL_a120,9,11,20,0.45,0.55
MAPL_a135,9,12,21,0.43,0.57
MAPL_a150,13,8,21,0.62,0.38
MAPL_a180,6,0,6,1,0
MAPL_a30,11,16,27,0.41,0.59
MAPL_a45,14,12,26,0.54,0.46
MAPL_a60,17,10,27,0.63,0.37
MAPL_a90,34,21,55,0.62,0.38
MASA_a0,10,5,15,0.67,0.33
MASA_a103,8,12,20,0.4,0.6
MASA_a120,12,8,20,0.6,0.4
MASA_a135,8,10,18,0.44,0.56
MASA_a150,4,9,13,0.31,0.69
MASA_a180,3,3,6,0.5,0.5
MASA_a30,37,34,71,0.52,0.48
MASA_a45,21,10,31,0.68,0.32
MASA_a60,15,15,30,0.5,0.5
MASA_a90,38,28,66,0.58,0.42
MAUR_a0,6,4,10,0.6,0.4
MAUR_a103,19,11,30,0.63,0.37
MAUR_a120,9,19,28,0.32,0.68
MAUR_a135,18,7,25,0.72,0.28
MAUR_a150,13,13,26,0.5,0.5
MAUR_a180,8,5,13,0.62,0.38
MAUR_a30,12,9,21,0.57,0.43
MAUR_a45,7,13,20,0.35,0.65
MAUR_a60,11,10,21,0.52,0.48
MAUR_a90,27,28,55,0.49,0.51
MEJU_a0,7,13,20,0.35,0.65
MEJU_a103,7,10,17,0.41,0.59
MEJU_a120,6,9,15,0.4,0.6
MEJU_a135,25,22,47,0.53,0.47
MEJU_a150,9,7,16,0.56,0.44
MEJU_a180,3,4,7,0.43,0.57
MEJU_a30,22,19,41,0.54,0.46
MEJU_a45,28,35,63,0.44,0.56
MEJU_a60,10,7,17,0.59,0.41
MEJU_a90,19,15,34,0.56,0.44
MEMA_a0,12,15,27,0.44,0.56
MEMA_a103,32,16,48,0.67,0.33
MEMA_a120,9,4,13,0.69,0.31
MEMA_a135,6,5,11,0.55,0.45
MEMA_a150,6,5,11,0.55,0.45
MEMA_a180,2,4,6,0.33,0.67
MEMA_a30,15,16,31,0.48,0.52
MEMA_a45,28,14,42,0.67,0.33
MEMA_a60,19,16,35,0.54,0.46
MEMA_a90,23,18,41,0.56,0.44
MENE_a0,20,6,26,0.77,0.23
MENE_a103,20,16,36,0.56,0.44
MENE_a120,19,10,29,0.66,0.34
MENE_a135,18,28,46,0.39,0.61
MENE_a150,9,22,31,0.29,0.71
MENE_a180,10,4,14,0.71,0.29
MENE_a30,19,12,31,0.61,0.39
MENE_a45,9,10,19,0.47,0.53
MENE_a60,10,9,19,0.53,0.47
MENE_a90,19,19,38,0.5,0.5
MEPL_a0,9,2,11,0.82,0.18
MEPL_a103,8,9,17,0.47,0.53
MEPL_a120,8,9,17,0.47,0.53
MEPL_a135,14,11,25,0.56,0.44
MEPL_a150,14,14,28,0.5,0.5
MEPL_a180,6,3,9,0.67,0.33
MEPL_a30,21,6,27,0.78,0.22
MEPL_a45,22,14,36,0.61,0.39
MEPL_a60,20,19,39,0.51,0.49
MEPL_a90,7,10,17,0.41,0.59
MESA_a0,19,7,26,0.73,0.27
MESA_a103,16,15,31,0.52,0.48
MESA_a120,10,6,16,0.62,0.38
MESA_a135,11,16,27,0.41,0.59
MESA_a150,9,8,17,0.53,0.47
MESA_a180,5,2,7,0.71,0.29
MESA_a30,26,18,44,0.59,0.41
MESA_a45,20,14,34,0.59,0.41
MESA_a60,19,20,39,0.49,0.51
MESA_a90,18,23,41,0.44,0.56
MESU_a0,50,30,80,0.62,0.38
MEUR_a0,3,5,8,0.38,0.62
MEUR_a103,16,14,30,0.53,0.47
MEUR_a120,18,22,40,0.45,0.55
MEUR_a135,18,14,32,0.56,0.44
MEUR_a150,18,18,36,0.5,0.5
MEUR_a180,11,14,25,0.44,0.56
MEUR_a30,16,9,25,0.64,0.36
MEUR_a45,22,8,30,0.73,0.27
MEUR_a60,26,13,39,0.67,0.33
MEUR_a90,13,15,28,0.46,0.54
MEVE_a0,14,20,34,0.41,0.59
MEVE_a30,56,49,105,0.53,0.47
MEVE_a45,28,40,68,0.41,0.59
MEVE_a60,29,15,44,0.66,0.34
MOJU_a0,26,23,49,0.53,0.47
MOJU_a103,54,40,94,0.57,0.43
MOJU_a120,50,41,91,0.55,0.45
MOJU_a135,51,41,92,0.55,0.45
MOJU_a150,49,43,92,0.53,0.47
MOJU_a180,26,20,46,0.57,0.43
MOJU_a30,52,43,95,0.55,0.45
MOJU_a45,53,42,95,0.56,0.44
MOJU_a60,57,38,95,0.6,0.4
MOJU_a90,46,46,92,0.5,0.5
MOMA_a0,25,22,47,0.53,0.47
MOMA_a103,43,47,90,0.48,0.52
MOMA_a120,46,46,92,0.5,0.5
MOMA_a135,45,47,92,0.49,0.51
MOMA_a150,53,38,91,0.58,0.42
MOMA_a180,27,19,46,0.59,0.41
MOMA_a30,44,48,92,0.48,0.52
MOMA_a45,51,41,92,0.55,0.45
MOMA_a60,51,41,92,0.55,0.45
MOMA_a90,51,41,92,0.55,0.45
MOME_a0,19,25,44,0.43,0.57
MOME_a103,51,40,91,0.56,0.44
MOME_a120,54,38,92,0.59,0.41
MOME_a135,55,37,92,0.6,0.4
MOME_a150,57,32,89,0.64,0.36
MOME_a180,22,21,43,0.51,0.49
MOME_a30,42,46,88,0.48,0.52
MOME_a45,49,41,90,0.54,0.46
MOME_a60,48,44,92,0.52,0.48
MOME_a90,46,42,88,0.52,0.48
MONE_a0,29,19,48,0.6,0.4
MONE_a103,45,48,93,0.48,0.52
MONE_a120,54,39,93,0.58,0.42
MONE_a135,46,47,93,0.49,0.51
MONE_a150,54,39,93,0.58,0.42
MONE_a180,17,29,46,0.37,0.63
MONE_a30,53,44,97,0.55,0.45
MONE_a45,55,41,96,0.57,0.43
MONE_a60,56,41,97,0.58,0.42
MONE_a90,41,52,93,0.44,0.56
MOPL_a0,28,19,47,0.6,0.4
MOPL_a103,51,44,95,0.54,0.46
MOPL_a120,42,49,91,0.46,0.54
MOPL_a135,42,47,89,0.47,0.53
MOPL_a150,49,41,90,0.54,0.46
MOPL_a180,28,17,45,0.62,0.38
MOPL_a30,57,40,97,0.59,0.41
MOPL_a45,54,43,97,0.56,0.44
MOPL_a60,51,44,95,0.54,0.46
MOPL_a90,53,43,96,0.55,0.45
MOSA_a0,30,17,47,0.64,0.36
MOSA_a103,45,47,92,0.49,0.51
MOSA_a120,43,49,92,0.47,0.53
MOSA_a135,52,40,92,0.57,0.43
MOSA_a150,45,49,94,0.48,0.52
MOSA_a180,28,18,46,0.61,0.39
MOSA_a30,54,42,96,0.56,0.44
MOSA_a45,48,46,94,0.51,0.49
MOSA_a60,53,43,96,0.55,0.45
MOSA_a90,54,41,95,0.57,0.43
MOSU_a0,22,21,43,0.51,0.49
MOSU_a103,50,38,88,0.57,0.43
MOSU_a120,48,42,90,0.53,0.47
MOSU_a135,55,34,89,0.62,0.38
MOSU_a150,47,44,91,0.52,0.48
MOSU_a180,26,17,43,0.6,0.4
MOSU_a30,43,48,91,0.47,0.53
MOSU_a45,46,42,88,0.52,0.48
MOSU_a60,57,36,93,0.61,0.39
MOSU_a90,45,45,90,0.5,0.5
MOUR_a0,27,22,49,0.55,0.45
MOUR_a103,56,37,93,0.6,0.4
MOUR_a120,53,40,93,0.57,0.43
MOUR_a135,37,56,93,0.4,0.6
MOUR_a150,48,47,95,0.51,0.49
MOUR_a180,22,26,48,0.46,0.54
MOUR_a30,47,48,95,0.49,0.51
MOUR_a45,52,46,98,0.53,0.47
MOUR_a60,58,38,96,0.6,0.4
MOUR_a90,48,45,93,0.52,0.48
MOVE_a0,21,21,42,0.5,0.5
MOVE_a103,41,46,87,0.47,0.53
MOVE_a120,52,37,89,0.58,0.42
MOVE_a135,45,46,91,0.49,0.51
MOVE_a150,61,28,89,0.69,0.31
MOVE_a180,24,20,44,0.55,0.45
MOVE_a30,45,44,89,0.51,0.49
MOVE_a45,41,46,87,0.47,0.53
MOVE_a60,48,40,88,0.55,0.45
MOVE_a90,47,43,90,0.52,0.48
SANE_a45,15,7,22,0.68,0.32
SANE_a60,93,76,169,0.55,0.45
SAPL_a0,33,15,48,0.69,0.31
SAUR_a103,163,126,289,0.56,0.44
SAUR_a120,52,59,111,0.47,0.53
SUJU_a0,6,10,16,0.38,0.62
SUJU_a103,17,12,29,0.59,0.41
SUJU_a120,20,7,27,0.74,0.26
SUJU_a135,13,12,25,0.52,0.48
SUJU_a150,16,8,24,0.67,0.33
SUJU_a180,6,6,12,0.5,0.5
SUJU_a30,17,21,38,0.45,0.55
SUJU_a45,17,19,36,0.47,0.53
SUJU_a60,23,13,36,0.64,0.36
SUJU_a90,16,11,27,0.59,0.41
SUMA_a0,7,12,19,0.37,0.63
SUMA_a103,19,16,35,0.54,0.46
SUMA_a120,13,12,25,0.52,0.48
SUMA_a135,10,9,19,0.53,0.47
SUMA_a150,5,11,16,0.31,0.69
SUMA_a180,7,1,8,0.88,0.12
SUMA_a30,13,24,37,0.35,0.65
SUMA_a45,28,6,34,0.82,0.18
SUMA_a60,20,15,35,0.57,0.43
SUMA_a90,21,13,34,0.62,0.38
SUNE_a0,6,8,14,0.43,0.57
SUNE_a103,10,20,30,0.33,0.67
SUNE_a120,16,13,29,0.55,0.45
SUNE_a135,12,19,31,0.39,0.61
SUNE_a150,20,14,34,0.59,0.41
SUNE_a180,6,10,16,0.38,0.62
SUNE_a30,14,12,26,0.54,0.46
SUNE_a45,14,14,28,0.5,0.5
SUNE_a60,15,16,31,0.48,0.52
SUNE_a90,18,14,32,0.56,0.44
SUPL_a0,13,7,20,0.65,0.35
SUPL_a103,18,12,30,0.6,0.4
SUPL_a120,17,14,31,0.55,0.45
SUPL_a135,18,15,33,0.55,0.45
SUPL_a150,16,13,29,0.55,0.45
SUPL_a180,2,12,14,0.14,0.86
SUPL_a30,17,11,28,0.61,0.39
SUPL_a45,17,12,29,0.59,0.41
SUPL_a60,15,17,32,0.47,0.53
SUPL_a90,18,14,32,0.56,0.44
SUSA_a0,8,7,15,0.53,0.47
SUSA_a103,14,17,31,0.45,0.55
SUSA_a120,19,12,31,0.61,0.39
SUSA_a135,11,19,30,0.37,0.63
SUSA_a150,18,8,26,0.69,0.31
SUSA_a180,6,7,13,0.46,0.54
SUSA_a30,14,17,31,0.45,0.55
SUSA_a45,16,16,32,0.5,0.5
SUSA_a60,15,18,33,0.45,0.55
SUSA_a90,13,19,32,0.41,0.59
SUUR_a0,6,8,14,0.43,0.57
SUUR_a103,23,12,35,0.66,0.34
SUUR_a120,22,12,34,0.65,0.35
SUUR_a135,16,18,34,0.47,0.53
SUUR_a150,14,20,34,0.41,0.59
SUUR_a180,6,10,16,0.38,0.62
SUUR_a30,17,11,28,0.61,0.39
SUUR_a45,15,11,26,0.58,0.42
SUUR_a60,16,13,29,0.55,0.45
SUUR_a90,15,12,27,0.56,0.44
URNE_a45,377,316,693,0.54,0.46
URPL_a103,234,223,457,0.51,0.49
VEJU_a0,4,10,14,0.29,0.71
VEJU_a103,14,14,28,0.5,0.5
VEJU_a120,11,11,22,0.5,0.5
VEJU_a135,26,15,41,0.63,0.37
VEJU_a150,10,11,21,0.48,0.52
VEJU_a180,3,7,10,0.3,0.7
VEJU_a30,28,14,42,0.67,0.33
VEJU_a45,20,12,32,0.62,0.38
VEJU_a60,11,18,29,0.38,0.62
VEJU_a90,15,14,29,0.52,0.48
VEMA_a0,5,9,14,0.36,0.64
VEMA_a103,18,22,40,0.45,0.55
VEMA_a120,34,22,56,0.61,0.39
VEMA_a135,9,8,17,0.53,0.47
VEMA_a150,7,8,15,0.47,0.53
VEMA_a180,2,5,7,0.29,0.71
VEMA_a30,19,10,29,0.66,0.34
VEMA_a45,14,7,21,0.67,0.33
VEMA_a60,16,9,25,0.64,0.36
VEMA_a90,23,23,46,0.5,0.5
VENE_a0,6,6,12,0.5,0.5
VENE_a103,20,10,30,0.67,0.33
VENE_a120,23,8,31,0.74,0.26
VENE_a135,31,17,48,0.65,0.35
VENE_a150,14,16,30,0.47,0.53
VENE_a180,8,6,14,0.57,0.43
VENE_a30,9,11,20,0.45,0.55
VENE_a45,13,10,23,0.57,0.43
VENE_a60,15,9,24,0.62,0.38
VENE_a90,25,27,52,0.48,0.52
VEPL_a0,4,6,10,0.4,0.6
VEPL_a103,8,17,25,0.32,0.68
VEPL_a120,15,12,27,0.56,0.44
VEPL_a135,23,22,45,0.51,0.49
VEPL_a150,10,14,24,0.42,0.58
VEPL_a180,13,1,14,0.93,0.07
VEPL_a30,14,14,28,0.5,0.5
VEPL_a45,13,11,24,0.54,0.46
VEPL_a60,15,9,24,0.62,0.38
VEPL_a90,15,14,29,0.52,0.48
VESA_a0,7,4,11,0.64,0.36
VESA_a103,16,9,25,0.64,0.36
VESA_a120,16,11,27,0.59,0.41
VESA_a135,31,13,44,0.7,0.3
VESA_a150,17,9,26,0.65,0.35
VESA_a180,4,5,9,0.44,0.56
VESA_a30,16,12,28,0.57,0.43
VESA_a45,16,12,28,0.57,0.43
VESA_a60,27,13,40,0.68,0.32
VESA_a90,8,16,24,0.33,0.67
VESU_a0,22,16,38,0.58,0.42
VESU_a30,49,57,106,0.46,0.54
VESU_a45,143,104,247,0.58,0.42
VEUR_a0,5,7,12,0.42,0.58
VEUR_a103,14,13,27,0.52,0.48
VEUR_a120,17,14,31,0.55,0.45
VEUR_a135,16,14,30,0.53,0.47
VEUR_a150,13,16,29,0.45,0.55
VEUR_a180,18,15,33,0.55,0.45
VEUR_a30,20,19,39,0.51,0.49
VEUR_a45,17,23,40,0.42,0.57
VEUR_a60,17,10,27,0.63,0.37
VEUR_a90,16,9,25,0.64,0.36
