PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,186,155,341,0.55,0.45
CE_ARI,134,74,208,0.64,0.36
CE_CAN,42,34,76,0.55,0.45
CE_CAP,132,114,246,0.54,0.46
CE_GEM,48,24,72,0.67,0.33
CE_LEO,145,132,277,0.52,0.48
CE_LIB,29,37,66,0.44,0.56
CE_PIS,189,117,306,0.62,0.38
CE_SAG,189,179,368,0.51,0.49
CE_SCO,44,69,113,0.39,0.61
CE_TAU,103,69,172,0.6,0.4
CE_VIR,40,30,70,0.57,0.43
CH_ARI,477,386,863,0.55,0.45
CH_PIS,804,648,1452,0.55,0.45
EM_AQU,192,192,384,0.5,0.5
EM_ARI,197,158,355,0.55,0.45
EM_CAN,86,61,147,0.59,0.41
EM_CAP,171,155,326,0.52,0.48
EM_GEM,34,17,51,0.67,0.33
EM_LEO,314,217,531,0.59,0.41
EM_LIB,181,163,344,0.53,0.47
EM_PIS,95,52,147,0.65,0.35
EM_SAG,11,19,30,0.37,0.63
ES_AQU,72,76,148,0.49,0.51
ES_CAN,193,189,382,0.51,0.49
ES_CAP,209,147,356,0.59,0.41
ES_LEO,165,160,325,0.51,0.49
ES_PIS,307,223,530,0.58,0.42
ES_SAG,27,10,37,0.73,0.27
ES_SCO,70,78,148,0.47,0.53
ES_TAU,15,19,34,0.44,0.56
ES_VIR,223,132,355,0.63,0.37
JN_AQU,33,36,69,0.48,0.52
JN_ARI,28,36,64,0.44,0.56
JN_CAN,48,32,80,0.6,0.4
JN_CAP,201,115,316,0.64,0.36
JN_GEM,56,37,93,0.6,0.4
JN_LEO,166,163,329,0.5,0.5
JN_LIB,242,194,436,0.56,0.44
JN_PIS,32,32,64,0.5,0.5
JN_SAG,81,41,122,0.66,0.34
JN_SCO,241,149,390,0.62,0.38
JN_TAU,89,111,200,0.44,0.56
JN_VIR,64,88,152,0.42,0.58
JU_AQU,22,10,32,0.69,0.31
JU_CAP,222,161,383,0.58,0.42
JU_LEO,159,167,326,0.49,0.51
JU_LIB,250,146,396,0.63,0.37
JU_SAG,191,198,389,0.49,0.51
JU_SCO,202,192,394,0.51,0.49
JU_VIR,235,160,395,0.59,0.41
MA_AQU,136,141,277,0.49,0.51
MA_ARI,195,121,316,0.62,0.38
MA_CAN,76,61,137,0.55,0.45
MA_CAP,113,101,214,0.53,0.47
MA_GEM,91,42,133,0.68,0.32
MA_LEO,76,67,143,0.53,0.47
MA_LIB,84,62,146,0.58,0.42
MA_PIS,87,84,171,0.51,0.49
MA_SAG,157,112,269,0.58,0.42
MA_SCO,108,115,223,0.48,0.52
MA_TAU,83,61,144,0.58,0.42
MA_VIR,75,67,142,0.53,0.47
ME_AQU,107,82,189,0.57,0.43
ME_ARI,98,78,176,0.56,0.44
ME_CAN,103,71,174,0.59,0.41
ME_CAP,126,87,213,0.59,0.41
ME_GEM,76,69,145,0.52,0.48
ME_LEO,95,92,187,0.51,0.49
ME_LIB,114,96,210,0.54,0.46
ME_PIS,108,80,188,0.57,0.43
ME_SAG,111,117,228,0.49,0.51
ME_SCO,124,117,241,0.51,0.49
ME_TAU,114,57,171,0.67,0.33
ME_VIR,105,88,193,0.54,0.46
MO_AQU,118,80,198,0.6,0.4
MO_ARI,112,81,193,0.58,0.42
MO_CAN,106,79,185,0.57,0.43
MO_CAP,103,100,203,0.51,0.49
MO_GEM,101,81,182,0.55,0.45
MO_LEO,102,86,188,0.54,0.46
MO_LIB,111,86,197,0.56,0.44
MO_PIS,108,88,196,0.55,0.45
MO_SAG,106,90,196,0.54,0.46
MO_SCO,111,88,199,0.56,0.44
MO_TAU,97,89,186,0.52,0.48
MO_VIR,106,86,192,0.55,0.45
NE_PIS,1281,1034,2315,0.55,0.45
NN_CAN,294,273,567,0.52,0.48
NN_GEM,141,89,230,0.61,0.39
NN_LEO,305,261,566,0.54,0.46
NN_LIB,189,196,385,0.49,0.51
NN_VIR,352,215,567,0.62,0.38
PA_AQU,197,112,309,0.64,0.36
PA_ARI,102,52,154,0.66,0.34
PA_CAN,25,26,51,0.49,0.51
PA_CAP,225,170,395,0.57,0.43
PA_GEM,27,25,52,0.52,0.48
PA_LEO,30,25,55,0.55,0.45
PA_LIB,173,151,324,0.53,0.47
PA_PIS,118,83,201,0.59,0.41
PA_SAG,186,172,358,0.52,0.48
PA_SCO,56,87,143,0.39,0.61
PA_TAU,115,96,211,0.55,0.45
PA_VIR,27,35,62,0.44,0.56
PH_CAP,468,364,832,0.56,0.44
PH_SAG,813,670,1483,0.55,0.45
PL_CAP,1281,1034,2315,0.55,0.45
SA_AQU,85,50,135,0.63,0.37
SA_CAP,508,484,992,0.51,0.49
SA_SAG,597,400,997,0.6,0.4
SA_SCO,91,100,191,0.48,0.52
SN_AQU,305,261,566,0.54,0.46
SN_ARI,190,196,386,0.49,0.51
SN_CAP,294,273,567,0.52,0.48
SN_PIS,351,215,566,0.62,0.38
SN_SAG,141,89,230,0.61,0.39
SU_AQU,103,75,178,0.58,0.42
SU_ARI,106,77,183,0.58,0.42
