PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,50,35,85,0.59,0.41
JUNE_a103,50,39,89,0.56,0.44
JUNE_a120,62,67,129,0.48,0.52
JUNE_a135,45,41,86,0.52,0.48
JUNE_a150,59,58,117,0.5,0.5
JUNE_a180,16,21,37,0.43,0.57
JUNE_a30,62,52,114,0.54,0.46
JUNE_a45,20,20,40,0.5,0.5
JUNE_a60,98,63,161,0.61,0.39
JUNE_a90,79,75,154,0.51,0.49
JUPL_a0,55,43,98,0.56,0.44
JUPL_a103,38,34,72,0.53,0.47
JUPL_a120,55,53,108,0.51,0.49
JUPL_a135,12,13,25,0.48,0.52
JUPL_a150,58,54,112,0.52,0.48
JUPL_a180,37,23,60,0.62,0.38
JUPL_a30,58,62,120,0.48,0.52
JUPL_a45,86,66,152,0.57,0.43
JUPL_a60,51,52,103,0.5,0.5
JUPL_a90,93,73,166,0.56,0.44
JUSA_a0,16,11,27,0.59,0.41
JUSA_a103,83,78,161,0.52,0.48
JUSA_a120,78,82,160,0.49,0.51
JUSA_a135,48,42,90,0.53,0.47
JUSA_a150,39,35,74,0.53,0.47
JUSA_a180,21,29,50,0.42,0.58
JUSA_a30,52,60,112,0.46,0.54
JUSA_a45,64,48,112,0.57,0.43
JUSA_a60,67,80,147,0.46,0.54
JUSA_a90,65,59,124,0.52,0.48
JUUR_a0,53,34,87,0.61,0.39
JUUR_a103,58,51,109,0.53,0.47
JUUR_a120,61,53,114,0.54,0.46
JUUR_a135,43,58,101,0.43,0.57
JUUR_a150,58,77,135,0.43,0.57
JUUR_a180,27,43,70,0.39,0.61
JUUR_a30,91,78,169,0.54,0.46
JUUR_a45,14,17,31,0.45,0.55
JUUR_a60,62,85,147,0.42,0.58
JUUR_a90,81,75,156,0.52,0.48
MAJU_a0,24,28,52,0.46,0.54
MAJU_a103,52,39,91,0.57,0.43
MAJU_a120,41,34,75,0.55,0.45
MAJU_a135,53,45,98,0.54,0.46
MAJU_a150,45,58,103,0.44,0.56
MAJU_a180,42,26,68,0.62,0.38
MAJU_a30,42,54,96,0.44,0.56
MAJU_a45,37,49,86,0.43,0.57
MAJU_a60,47,36,83,0.57,0.43
MAJU_a90,48,52,100,0.48,0.52
MANE_a0,18,20,38,0.47,0.53
MANE_a103,54,50,104,0.52,0.48
MANE_a120,41,44,85,0.48,0.52
MANE_a135,51,66,117,0.44,0.56
MANE_a150,48,57,105,0.46,0.54
MANE_a180,36,25,61,0.59,0.41
MANE_a30,54,50,104,0.52,0.48
MANE_a45,64,56,120,0.53,0.47
MANE_a60,43,39,82,0.52,0.48
MANE_a90,47,52,99,0.47,0.53
MAPL_a0,21,19,40,0.52,0.48
MAPL_a103,50,43,93,0.54,0.46
MAPL_a120,39,60,99,0.39,0.61
MAPL_a135,82,72,154,0.53,0.47
MAPL_a150,62,75,137,0.45,0.55
MAPL_a180,25,35,60,0.42,0.58
MAPL_a30,43,37,80,0.54,0.46
MAPL_a45,49,49,98,0.5,0.5
MAPL_a60,38,43,81,0.47,0.53
MAPL_a90,71,50,121,0.59,0.41
MASA_a0,35,16,51,0.69,0.31
MASA_a103,42,34,76,0.55,0.45
MASA_a120,28,37,65,0.43,0.57
MASA_a135,24,43,67,0.36,0.64
MASA_a150,34,30,64,0.53,0.47
MASA_a180,18,12,30,0.6,0.4
MASA_a30,77,79,156,0.49,0.51
MASA_a45,66,91,157,0.42,0.58
MASA_a60,66,81,147,0.45,0.55
MASA_a90,78,61,139,0.56,0.44
MAUR_a0,20,21,41,0.49,0.51
MAUR_a103,49,55,104,0.47,0.53
MAUR_a120,44,40,84,0.52,0.48
MAUR_a135,66,56,122,0.54,0.46
MAUR_a150,71,79,150,0.47,0.53
MAUR_a180,35,24,59,0.59,0.41
MAUR_a30,45,33,78,0.58,0.42
MAUR_a45,36,42,78,0.46,0.54
MAUR_a60,56,45,101,0.55,0.45
MAUR_a90,50,59,109,0.46,0.54
MEJU_a0,38,38,76,0.5,0.5
MEJU_a103,37,50,87,0.43,0.57
MEJU_a120,51,40,91,0.56,0.44
MEJU_a135,49,63,112,0.44,0.56
MEJU_a150,34,31,65,0.52,0.48
MEJU_a180,15,21,36,0.42,0.58
MEJU_a30,56,69,125,0.45,0.55
MEJU_a45,73,58,131,0.56,0.44
MEJU_a60,54,40,94,0.57,0.43
MEJU_a90,49,48,97,0.51,0.49
MEMA_a0,50,51,101,0.5,0.5
MEMA_a103,57,61,118,0.48,0.52
MEMA_a120,32,20,52,0.62,0.38
MEMA_a135,20,21,41,0.49,0.51
MEMA_a150,19,25,44,0.43,0.57
MEMA_a180,9,8,17,0.53,0.47
MEMA_a30,85,75,160,0.53,0.47
MEMA_a45,115,77,192,0.6,0.4
MEMA_a60,69,59,128,0.54,0.46
MEMA_a90,54,55,109,0.5,0.5
MENE_a0,26,32,58,0.45,0.55
MENE_a103,47,49,96,0.49,0.51
MENE_a120,50,51,101,0.5,0.5
MENE_a135,56,64,120,0.47,0.53
MENE_a150,35,55,90,0.39,0.61
MENE_a180,33,23,56,0.59,0.41
MENE_a30,67,55,122,0.55,0.45
