PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,337,259,596,0.57,0.43
CE_FIX,478,425,903,0.53,0.47
CE_MUT,466,350,816,0.57,0.43
CH_CAR,477,386,863,0.55,0.45
CH_MUT,804,648,1452,0.55,0.45
EM_CAR,635,537,1172,0.54,0.46
EM_FIX,506,409,915,0.55,0.45
EM_MUT,140,88,228,0.61,0.39
ES_CAR,402,336,738,0.54,0.46
ES_FIX,322,333,655,0.49,0.51
ES_MUT,557,365,922,0.6,0.4
JN_CAR,519,377,896,0.58,0.42
JN_FIX,529,459,988,0.54,0.46
JN_MUT,233,198,431,0.54,0.46
JU_CAR,472,307,779,0.61,0.39
JU_FIX,383,369,752,0.51,0.49
JU_MUT,426,358,784,0.54,0.46
MA_CAR,468,345,813,0.58,0.42
MA_FIX,403,384,787,0.51,0.49
MA_MUT,410,305,715,0.57,0.43
ME_CAR,441,332,773,0.57,0.43
ME_FIX,440,348,788,0.56,0.44
ME_MUT,400,354,754,0.53,0.47
MO_CAR,432,347,779,0.55,0.45
MO_FIX,428,343,771,0.56,0.44
MO_MUT,421,344,765,0.55,0.45
NE_MUT,1281,1034,2315,0.55,0.45
NN_CAR,483,469,952,0.51,0.49
NN_FIX,305,261,566,0.54,0.46
NN_MUT,493,304,797,0.62,0.38
PA_CAR,525,399,924,0.57,0.43
PA_FIX,398,320,718,0.55,0.45
PA_MUT,358,315,673,0.53,0.47
PH_CAR,468,364,832,0.56,0.44
PH_MUT,813,670,1483,0.55,0.45
PL_CAR,1281,1034,2315,0.55,0.45
SA_CAR,508,484,992,0.51,0.49
SA_FIX,176,150,326,0.54,0.46
SA_MUT,597,400,997,0.6,0.4
SN_CAR,484,469,953,0.51,0.49
SN_FIX,305,261,566,0.54,0.46
SN_MUT,492,304,796,0.62,0.38
SU_CAR,433,357,790,0.55,0.45
SU_FIX,430,331,761,0.57,0.43
SU_MUT,418,346,764,0.55,0.45
UR_CAR,809,645,1454,0.56,0.44
UR_FIX,472,389,861,0.55,0.45
VE_CAR,394,363,757,0.52,0.48
VE_FIX,422,353,775,0.54,0.46
VE_MUT,465,318,783,0.59,0.41
VS_CAR,462,371,833,0.55,0.45
VS_FIX,421,362,783,0.54,0.46
VS_MUT,398,301,699,0.57,0.43
