PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,326,302,628,0.52,0.48
CE_ARI,347,320,667,0.52,0.48
CE_CAN,256,246,502,0.51,0.49
CE_CAP,311,290,601,0.52,0.48
CE_GEM,270,264,534,0.51,0.49
CE_LEO,299,279,578,0.52,0.48
CE_LIB,261,223,484,0.54,0.46
CE_PIS,381,334,715,0.53,0.47
CE_SAG,400,314,714,0.56,0.44
CE_SCO,285,204,489,0.58,0.42
CE_TAU,340,296,636,0.53,0.47
CE_VIR,271,212,483,0.56,0.44
CH_AQU,753,611,1364,0.55,0.45
CH_ARI,319,288,607,0.53,0.47
CH_CAP,474,413,887,0.53,0.47
CH_LEO,63,43,106,0.59,0.41
CH_LIB,247,180,427,0.58,0.42
CH_PIS,1033,970,2003,0.52,0.48
CH_SAG,332,323,655,0.51,0.49
CH_SCO,271,209,480,0.56,0.44
CH_VIR,255,247,502,0.51,0.49
EM_AQU,326,306,632,0.52,0.48
EM_ARI,415,304,719,0.58,0.42
EM_CAN,220,229,449,0.49,0.51
EM_CAP,364,358,722,0.5,0.5
EM_GEM,266,277,543,0.49,0.51
EM_LEO,382,338,720,0.53,0.47
EM_LIB,384,328,712,0.54,0.46
EM_PIS,331,238,569,0.58,0.42
EM_SAG,346,302,648,0.53,0.47
EM_SCO,224,171,395,0.57,0.43
EM_TAU,246,206,452,0.54,0.46
EM_VIR,243,227,470,0.52,0.48
ES_AQU,294,281,575,0.51,0.49
ES_ARI,276,223,499,0.55,0.45
ES_CAN,389,378,767,0.51,0.49
ES_CAP,333,294,627,0.53,0.47
ES_GEM,269,252,521,0.52,0.48
ES_LEO,347,341,688,0.5,0.5
ES_LIB,213,130,343,0.62,0.38
ES_PIS,392,340,732,0.54,0.46
ES_SAG,242,238,480,0.5,0.5
ES_SCO,395,308,703,0.56,0.44
ES_TAU,268,231,499,0.54,0.46
ES_VIR,329,268,597,0.55,0.45
JN_AQU,327,271,598,0.55,0.45
JN_ARI,236,187,423,0.56,0.44
JN_CAN,147,131,278,0.53,0.47
JN_CAP,379,337,716,0.53,0.47
JN_GEM,205,168,373,0.55,0.45
JN_LEO,310,285,595,0.52,0.48
JN_LIB,510,449,959,0.53,0.47
JN_PIS,201,148,349,0.58,0.42
JN_SAG,430,421,851,0.51,0.49
JN_SCO,499,447,946,0.53,0.47
JN_TAU,180,149,329,0.55,0.45
JN_VIR,323,291,614,0.53,0.47
JU_AQU,305,240,545,0.56,0.44
JU_ARI,187,143,330,0.57,0.43
JU_CAN,284,248,532,0.53,0.47
JU_CAP,415,376,791,0.52,0.48
JU_GEM,259,266,525,0.49,0.51
JU_LEO,285,254,539,0.53,0.47
JU_LIB,396,307,703,0.56,0.44
JU_PIS,228,217,445,0.51,0.49
JU_SAG,444,361,805,0.55,0.45
JU_SCO,437,387,824,0.53,0.47
JU_TAU,210,231,441,0.48,0.52
JU_VIR,297,254,551,0.54,0.46
MA_AQU,262,234,496,0.53,0.47
MA_ARI,310,218,528,0.59,0.41
MA_CAN,279,273,552,0.51,0.49
MA_CAP,254,208,462,0.55,0.45
MA_GEM,257,238,495,0.52,0.48
MA_LEO,378,368,746,0.51,0.49
MA_LIB,398,320,718,0.55,0.45
MA_PIS,284,228,512,0.55,0.45
MA_SAG,307,314,621,0.49,0.51
MA_SCO,339,266,605,0.56,0.44
MA_TAU,281,255,536,0.52,0.48
MA_VIR,398,362,760,0.52,0.48
ME_AQU,322,302,624,0.52,0.48
ME_ARI,274,245,519,0.53,0.47
ME_CAN,332,274,606,0.55,0.45
ME_CAP,328,247,575,0.57,0.43
ME_GEM,259,277,536,0.48,0.52
ME_LEO,295,280,575,0.51,0.49
ME_LIB,317,310,627,0.51,0.49
ME_PIS,323,253,576,0.56,0.44
ME_SAG,324,281,605,0.54,0.46
ME_SCO,370,310,680,0.54,0.46
ME_TAU,283,235,518,0.55,0.45
ME_VIR,320,270,590,0.54,0.46
MO_AQU,296,295,591,0.5,0.5
MO_ARI,320,277,597,0.54,0.46
MO_CAN,319,279,598,0.53,0.47
MO_CAP,307,280,587,0.52,0.48
MO_GEM,311,269,580,0.54,0.46
MO_LEO,327,258,585,0.56,0.44
MO_LIB,298,277,575,0.52,0.48
MO_PIS,322,271,593,0.54,0.46
MO_SAG,314,264,578,0.54,0.46
MO_SCO,311,256,567,0.55,0.45
MO_TAU,319,278,597,0.53,0.47
MO_VIR,303,280,583,0.52,0.48
NE_AQU,1816,1568,3384,0.54,0.46
NE_CAP,701,570,1271,0.55,0.45
NE_PIS,1230,1146,2376,0.52,0.48
NN_AQU,202,191,393,0.51,0.49
NN_ARI,235,158,393,0.6,0.4
NN_CAN,406,376,782,0.52,0.48
NN_CAP,207,190,397,0.52,0.48
NN_GEM,257,290,547,0.47,0.53
NN_LEO,400,384,784,0.51,0.49
NN_LIB,441,340,781,0.56,0.44
NN_PIS,232,162,394,0.59,0.41
NN_SAG,308,291,599,0.51,0.49
NN_SCO,411,374,785,0.52,0.48
NN_TAU,221,171,392,0.56,0.44
NN_VIR,427,357,784,0.54,0.46
PA_AQU,480,422,902,0.53,0.47
PA_ARI,353,315,668,0.53,0.47
PA_CAN,139,116,255,0.55,0.45
PA_CAP,435,383,818,0.53,0.47
PA_GEM,187,166,353,0.53,0.47
PA_LEO,219,173,392,0.56,0.44
PA_LIB,353,265,618,0.57,0.43
PA_PIS,497,441,938,0.53,0.47
PA_SAG,288,282,570,0.51,0.49
PA_SCO,320,250,570,0.56,0.44
PA_TAU,241,278,519,0.46,0.54
PA_VIR,235,193,428,0.55,0.45
PH_CAP,302,278,580,0.52,0.48
PH_LEO,101,87,188,0.54,0.46
PH_LIB,472,370,842,0.56,0.44
PH_SAG,1748,1562,3310,0.53,0.47
PH_SCO,801,707,1508,0.53,0.47
PH_VIR,323,280,603,0.54,0.46
PL_CAP,1670,1529,3199,0.52,0.48
PL_SAG,1770,1475,3245,0.55,0.45
PL_SCO,307,280,587,0.52,0.48
SA_AQU,160,111,271,0.59,0.41
SA_ARI,357,267,624,0.57,0.43
SA_CAN,308,224,532,0.58,0.42
SA_CAP,357,336,693,0.52,0.48
SA_GEM,268,305,573,0.47,0.53
SA_LEO,326,219,545,0.6,0.4
SA_LIB,339,338,677,0.5,0.5
SA_PIS,296,277,573,0.52,0.48
SA_SAG,365,331,696,0.52,0.48
SA_SCO,342,293,635,0.54,0.46
SA_TAU,309,280,589,0.52,0.48
SA_VIR,320,303,623,0.51,0.49
SN_AQU,400,384,784,0.51,0.49
SN_ARI,441,340,781,0.56,0.44
SN_CAN,207,190,397,0.52,0.48
SN_CAP,406,376,782,0.52,0.48
SN_GEM,308,291,599,0.51,0.49
SN_LEO,202,191,393,0.51,0.49
SN_LIB,235,158,393,0.6,0.4
SN_PIS,427,357,784,0.54,0.46
SN_SAG,257,290,547,0.47,0.53
SN_SCO,221,171,392,0.56,0.44
SN_TAU,411,374,785,0.52,0.48
SN_VIR,232,162,394,0.59,0.41
SU_AQU,320,254,574,0.56,0.44
SU_ARI,295,252,547,0.54,0.46
SU_CAN,326,302,628,0.52,0.48
SU_CAP,288,210,498,0.58,0.42
SU_GEM,314,312,626,0.5,0.5
SU_LEO,323,295,618,0.52,0.48
SU_LIB,324,276,600,0.54,0.46
SU_PIS,296,279,575,0.51,0.49
SU_SAG,315,259,574,0.55,0.45
SU_SCO,309,279,588,0.53,0.47
SU_TAU,311,275,586,0.53,0.47
SU_VIR,326,291,617,0.53,0.47
UR_AQU,1014,888,1902,0.53,0.47
UR_ARI,1035,936,1971,0.53,0.47
UR_CAP,339,309,648,0.52,0.48
UR_PIS,1051,853,1904,0.55,0.45
UR_TAU,308,298,606,0.51,0.49
VE_AQU,269,220,489,0.55,0.45
VE_ARI,359,318,677,0.53,0.47
VE_CAN,272,245,517,0.53,0.47
VE_CAP,368,264,632,0.58,0.42
VE_GEM,405,371,776,0.52,0.48
VE_LEO,333,328,661,0.5,0.5
VE_LIB,279,269,548,0.51,0.49
VE_PIS,269,232,501,0.54,0.46
VE_SAG,258,217,475,0.54,0.46
VE_SCO,367,330,697,0.53,0.47
VE_TAU,257,243,500,0.51,0.49
VE_VIR,311,247,558,0.56,0.44
VS_AQU,270,245,515,0.52,0.48
VS_ARI,304,314,618,0.49,0.51
VS_CAN,398,332,730,0.55,0.45
VS_CAP,235,216,451,0.52,0.48
VS_GEM,379,342,721,0.53,0.47
VS_LEO,364,307,671,0.54,0.46
VS_LIB,295,243,538,0.55,0.45
VS_PIS,351,282,633,0.55,0.45
VS_SAG,273,230,503,0.54,0.46
VS_SCO,238,191,429,0.55,0.45
VS_TAU,379,364,743,0.51,0.49
VS_VIR,261,218,479,0.54,0.46
