PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MEJU_a30,1,589,0.001,0.008,0.001,0.001,0.006,-0.026,0.051,0.077,0.598,4.658,0
MEPL_a60,1,555,0,0.008,0,0,0.006,-0.05,0.049,0.1,0.203,5.939,0
MESA_a30,1,555,0,0.011,0.001,0.001,0.007,-0.076,0.052,0.129,-1.374,9.194,0
JUPL_a30,1,316,0.001,0.007,0.001,0.001,0.006,-0.024,0.022,0.046,-0.496,1.657,0
JUNE_a90,1,478,0.001,0.008,0.001,0.001,0.007,-0.029,0.035,0.064,-0.019,1.651,0
SUPL_a45,1,513,0,0.008,0,0,0.005,-0.05,0.035,0.086,-0.708,4.837,0
VEPL_a90,1,527,0,0.009,0,0,0.006,-0.036,0.035,0.071,-0.281,3.119,0
MEPL_a45,1,559,0,0.009,0.001,0.001,0.006,-0.049,0.063,0.112,-0.12,6.695,0
MAJU_a45,1,464,0.001,0.009,0.001,0.001,0.006,-0.063,0.072,0.134,0.395,14.479,0
JUUR_a60,1,485,0,0.01,0.001,0,0.006,-0.063,0.072,0.134,-0.2,12.035,0
MANE_a45,1,523,0,0.008,0,0,0.006,-0.045,0.049,0.095,0.432,6.342,0
MEJU_a0,1,358,0,0.008,0,0,0.006,-0.034,0.025,0.059,-0.625,2.243,0
MEMA_a45,1,853,0,0.009,0.001,0,0.006,-0.076,0.063,0.139,-0.663,13.341,0
VESA_a60,1,526,0,0.009,0.001,0,0.006,-0.062,0.029,0.091,-1.599,8.359,0
MEPL_a30,1,562,0,0.009,0.001,0,0.006,-0.076,0.072,0.148,-0.934,18.46,0
MESA_a0,1,333,0.001,0.007,0.001,0.001,0.006,-0.025,0.025,0.05,0.067,1.395,0
SUJU_a0,1,363,0,0.008,0,0,0.006,-0.04,0.031,0.071,-0.807,3.471,0
VEJU_a45,1,529,0,0.009,0.001,0.001,0.006,-0.055,0.034,0.089,-1.389,6.852,0
SUPL_a30,1,512,0,0.009,0.001,0.001,0.006,-0.063,0.072,0.134,-0.107,11.187,0
MASA_a45,1,559,0,0.01,0.001,0,0.006,-0.062,0.036,0.098,-1.335,6.57,0
MEMA_a30,1,787,0.001,0.009,0.001,0.001,0.006,-0.055,0.073,0.128,0.917,13.634,0
SUMA_a45,1,715,0,0.008,0.001,0,0.007,-0.04,0.032,0.072,-0.354,2.346,0
SUSA_a0,1,325,0.001,0.007,0,0,0.006,-0.021,0.024,0.045,0.335,0.868,0
VESA_a45,1,485,0,0.008,0,0,0.006,-0.031,0.051,0.082,0.15,3.911,0
MEPL_a0,1,357,0,0.012,0.001,0.001,0.007,-0.126,0.073,0.199,-3.876,43.631,0.001
MEUR_a30,1,523,0,0.008,0.001,0,0.005,-0.037,0.025,0.063,-0.641,2.483,0
MANE_a30,1,494,0.001,0.008,0.001,0.001,0.006,-0.03,0.023,0.053,-0.394,1.586,0
VEPL_a60,1,505,0.001,0.008,0.001,0.001,0.006,-0.029,0.051,0.079,0.098,3.917,0
MAUR_a0,1,278,0.001,0.006,0.001,0.001,0.006,-0.021,0.026,0.048,0.003,1.389,0
VEJU_a30,1,544,0,0.008,0.001,0.001,0.006,-0.043,0.052,0.095,0.051,4.776,0
MAJU_a60,1,584,0.001,0.008,0.001,0.001,0.006,-0.051,0.052,0.103,0.041,6.045,0
VESA_a30,1,521,0.001,0.008,0.001,0.001,0.006,-0.039,0.073,0.112,0.708,12.337,0
VEPL_a45,1,503,0,0.008,0.001,0.001,0.006,-0.046,0.027,0.074,-0.668,4.894,0
SUPL_a0,1,304,0,0.007,0.001,0,0.006,-0.023,0.039,0.062,0.545,3.159,0
MASA_a60,1,498,0.001,0.008,0.001,0.001,0.005,-0.05,0.052,0.103,-0.195,6.991,0
SUUR_a30,1,514,0.001,0.008,0.001,0.001,0.006,-0.049,0.063,0.112,0.36,8.968,0
JUSA_a0,1,375,0,0.009,0.001,0,0.008,-0.043,0.033,0.075,-0.061,2.067,0
MEUR_a0,1,342,0,0.007,0.001,0,0.005,-0.034,0.027,0.06,-0.493,2.705,0
VEPL_a30,1,484,0.001,0.009,0.001,0.001,0.006,-0.055,0.051,0.107,0.172,9.021,0
VEUR_a60,1,475,0,0.008,0,0,0.006,-0.043,0.029,0.071,-0.461,3.156,0
VEJU_a0,1,381,0,0.007,0,0,0.006,-0.043,0.026,0.069,-0.577,3.605,0
VESA_a0,1,322,0,0.008,0,0,0.007,-0.025,0.029,0.054,-0.161,1.001,0
MANE_a0,1,231,0,0.01,0.001,0,0.007,-0.044,0.032,0.075,-0.352,3.044,0.001
VEUR_a45,1,538,0,0.011,0,0,0.006,-0.126,0.073,0.199,-2.988,37.868,0
MAPL_a60,1,442,0,0.009,0.001,0.001,0.007,-0.046,0.031,0.078,-0.807,3.903,0
SUMA_a30,1,745,0,0.008,0.001,0.001,0.006,-0.04,0.035,0.076,-0.205,2.592,0
SUUR_a0,1,316,0.001,0.007,0.001,0.001,0.006,-0.029,0.032,0.06,0.312,2.163,0
VEPL_a0,1,323,0,0.013,0.001,0.001,0.006,-0.126,0.073,0.199,-3.553,36.015,0.001
VEUR_a30,1,527,0.001,0.008,0.001,0.001,0.006,-0.044,0.049,0.093,0.106,6.273,0
MAJU_a90,1,483,0,0.007,0.001,0.001,0.006,-0.027,0.025,0.052,-0.323,1.907,0
VENE_a45,1,518,0,0.009,0.001,0,0.005,-0.076,0.039,0.115,-2.131,14.719,0
MASA_a90,1,491,0.001,0.008,0.001,0.001,0.006,-0.04,0.041,0.082,-0.207,3.927,0
SAUR_a45,1,554,0,0.007,0,0,0.006,-0.024,0.03,0.054,0.185,1.642,0
VENE_a30,1,522,0,0.008,0,0,0.006,-0.043,0.035,0.078,-0.23,3.17,0
SUNE_a0,1,303,0,0.009,0,0,0.006,-0.076,0.023,0.099,-2.616,16.338,0.001
VEUR_a0,1,280,0.001,0.01,0.001,0.001,0.006,-0.076,0.023,0.099,-2.563,17.085,0.001
MAJU_a103,1,466,0,0.007,0,0,0.006,-0.029,0.026,0.054,-0.172,1.017,0
MASA_a103,1,406,0.001,0.008,0.001,0.001,0.006,-0.031,0.031,0.062,-0.011,1.9,0
MENE_a0,1,349,0,0.008,0.001,0.001,0.006,-0.045,0.049,0.095,-0.176,6.808,0
MAPL_a90,1,536,0.001,0.006,0.001,0.001,0.005,-0.023,0.026,0.049,0.214,2.047,0
VEMA_a45,1,676,0.001,0.008,0.001,0.001,0.006,-0.043,0.051,0.094,0.391,5.327,0
JUUR_a45,1,406,-0.001,0.009,0,0,0.007,-0.04,0.03,0.07,-0.508,2.02,0
VENE_a0,1,294,0,0.008,0,0,0.006,-0.033,0.025,0.058,-0.379,2.039,0
MAPL_a103,1,456,0,0.006,0.001,0,0.005,-0.031,0.02,0.051,-0.456,2.352,0
MASA_a120,1,438,0.001,0.007,0.001,0.001,0.006,-0.023,0.026,0.049,0.036,1.82,0
MAJU_a120,1,433,0,0.007,0.001,0,0.006,-0.023,0.022,0.045,-0.159,0.61,0
MEMA_a0,1,516,0.001,0.009,0.001,0.001,0.005,-0.043,0.072,0.114,0.837,12.32,0
VEMA_a30,1,616,0,0.009,0.001,0,0.006,-0.126,0.027,0.152,-4.634,58.586,0
MAPL_a120,1,474,0,0.007,0,0.001,0.005,-0.04,0.027,0.068,-0.345,4.477,0
MASA_a135,1,424,0.001,0.006,0.001,0.001,0.006,-0.026,0.025,0.051,-0.4,1.498,0
MAJU_a135,1,396,0,0.007,0,0.001,0.005,-0.04,0.024,0.065,-0.66,5.169,0
MASA_a150,1,452,0.001,0.007,0.001,0.001,0.005,-0.037,0.029,0.066,-0.428,3.354,0
MAPL_a135,1,524,0,0.007,0,0,0.006,-0.034,0.035,0.07,-0.096,3.008,0
MAJU_a150,1,424,0.001,0.007,0.001,0.001,0.005,-0.021,0.023,0.044,-0.108,0.809,0
MAUR_a103,1,505,0,0.011,0,0,0.007,-0.076,0.072,0.148,-0.64,15.807,0
MAPL_a150,1,525,0,0.008,0,0,0.006,-0.043,0.031,0.073,-0.699,3.718,0
SUMA_a0,1,488,0.001,0.009,0.001,0.001,0.006,-0.063,0.072,0.134,0.52,15.726,0
MAUR_a120,1,464,0.001,0.008,0.001,0.001,0.006,-0.05,0.052,0.103,-0.269,6.81,0
MAJU_a180,1,403,0,0.007,0,0,0.007,-0.025,0.022,0.047,-0.037,0.625,0
MASA_a180,1,321,0.001,0.007,0.002,0.001,0.006,-0.031,0.034,0.064,0.064,2.307,0
VEMA_a0,1,604,0,0.008,0,0,0.006,-0.04,0.051,0.091,0.33,4.582,0
MAUR_a135,1,528,0,0.01,0,0,0.006,-0.062,0.072,0.134,-0.478,12.941,0
MAPL_a180,1,273,-0.001,0.008,0,-0.001,0.007,-0.031,0.024,0.055,-0.298,1.223,0
MAUR_a150,1,558,0,0.008,0.001,0,0.006,-0.029,0.051,0.079,0.422,5.389,0
MANE_a135,1,534,0.001,0.008,0.001,0.001,0.006,-0.028,0.041,0.069,0.171,2.202,0
MANE_a150,1,524,0,0.008,0.001,0,0.006,-0.04,0.031,0.071,-0.628,3.466,0
MAUR_a180,1,321,0,0.007,0,0.001,0.005,-0.04,0.024,0.065,-0.7,4.189,0
MANE_a180,1,327,0,0.008,0,0,0.006,-0.034,0.036,0.071,-0.37,3.334,0
JUNE_a60,1,468,0,0.01,0.001,0.001,0.007,-0.076,0.035,0.112,-1.883,11.232,0
JUPL_a0,1,302,0.001,0.014,0.001,0.001,0.009,-0.076,0.063,0.139,-0.855,7.03,0.001
JUUR_a30,1,585,0.001,0.007,0,0,0.006,-0.028,0.026,0.054,0.148,0.784,0
SANE_a60,1,635,0.001,0.007,0.001,0.001,0.006,-0.029,0.028,0.057,-0.209,1.493,0
JUNE_a45,1,486,0.001,0.007,0.001,0.001,0.005,-0.02,0.028,0.048,0.16,1.439,0
SAPL_a0,1,581,0,0.01,0.001,0.001,0.008,-0.076,0.035,0.112,-1.771,11.348,0
JUNE_a30,1,356,0,0.011,0.001,0.001,0.006,-0.063,0.072,0.134,-0.13,10.043,0.001
JUSA_a30,1,556,0,0.009,0,0,0.008,-0.034,0.025,0.059,-0.439,0.808,0
SAUR_a30,1,559,0,0.006,0,0,0.005,-0.022,0.031,0.053,0.437,2.32,0
JUUR_a0,1,446,0.001,0.007,0.001,0.001,0.007,-0.031,0.023,0.053,-0.395,0.703,0
SANE_a45,1,462,0.001,0.009,0,0,0.005,-0.049,0.063,0.112,1.003,12.977,0
JUNE_a0,1,249,0.001,0.008,0.001,0.001,0.007,-0.02,0.024,0.044,-0.044,0.15,0
JUSA_a45,1,418,0.001,0.008,0.001,0.001,0.006,-0.031,0.041,0.073,0.15,2.37,0
JUPL_a60,1,320,0,0.007,0,0,0.005,-0.031,0.019,0.05,-0.535,1.99,0
URPL_a45,1,1174,0,0.009,0.001,0.001,0.006,-0.126,0.073,0.199,-3.095,45.085,0
JUSA_a60,1,518,0.001,0.006,0.001,0.001,0.005,-0.04,0.032,0.072,-0.32,4.734,0
JUPL_a90,1,414,0.001,0.006,0.001,0.001,0.005,-0.02,0.02,0.041,-0.287,1.237,0
JUPL_a103,1,507,0.001,0.007,0.001,0.001,0.006,-0.031,0.026,0.058,-0.04,1.828,0
SANE_a30,1,451,0.001,0.006,0.001,0.001,0.005,-0.035,0.013,0.049,-1.029,3.712,0
JUPL_a120,1,433,0.001,0.009,0.001,0.001,0.008,-0.033,0.041,0.074,-0.127,1.905,0
JUSA_a90,1,507,0.001,0.006,0.001,0.001,0.005,-0.026,0.021,0.047,-0.282,1.916,0
JUPL_a135,1,435,0,0.009,0.001,0,0.007,-0.035,0.036,0.072,-0.326,2.535,0
JUSA_a103,1,463,0,0.006,0,0,0.005,-0.035,0.02,0.056,-0.666,2.878,0
JUUR_a90,1,441,0,0.007,0,0.001,0.005,-0.035,0.021,0.056,-0.779,2.857,0
SAPL_a45,1,437,0.001,0.008,0.001,0.001,0.006,-0.04,0.031,0.071,-0.402,2.683,0
JUPL_a150,1,445,0,0.008,0.001,0,0.006,-0.043,0.032,0.075,-0.437,2.926,0
