PlanetsAspect,buy,sell
JUNE_a103,9,27
JUNE_a120,100,81
JUNE_a135,67,29
JUNE_a150,120,57
JUNE_a180,87,49
JUNE_a45,24,3
JUNE_a60,111,83
JUNE_a90,96,105
JUPL_a0,154,113
JUPL_a103,24,14
JUPL_a120,129,53
JUPL_a135,13,22
JUPL_a150,67,73
JUPL_a30,111,81
JUPL_a45,9,33
JUPL_a60,100,104
JUPL_a90,120,59
JUSA_a0,81,32
JUSA_a103,37,43
JUSA_a30,138,128
JUSA_a45,120,105
JUSA_a60,122,51
JUSA_a90,116,81
JUUR_a103,101,85
JUUR_a120,92,93
JUUR_a135,83,85
JUUR_a150,112,104
JUUR_a180,114,57
JUUR_a90,10,1
MAJU_a0,37,28
MAJU_a103,64,38
MAJU_a120,43,38
MAJU_a135,45,29
MAJU_a150,43,26
MAJU_a180,28,13
MAJU_a30,55,48
MAJU_a45,51,46
MAJU_a60,53,42
MAJU_a90,70,52
MANE_a0,30,33
MANE_a103,89,49
MANE_a120,41,42
MANE_a135,40,43
MANE_a150,47,34
MANE_a180,29,19
MANE_a30,114,68
MANE_a45,93,77
MANE_a60,51,43
MANE_a90,80,47
MAPL_a0,45,22
MAPL_a103,37,42
MAPL_a120,49,29
MAPL_a135,38,39
MAPL_a150,45,32
MAPL_a180,29,17
MAPL_a30,51,55
MAPL_a45,81,75
MAPL_a60,45,52
MAPL_a90,105,57
MASA_a0,28,30
MASA_a103,42,40
MASA_a120,46,33
MASA_a135,36,39
MASA_a150,37,36
MASA_a180,29,15
MASA_a30,116,102
MASA_a45,60,49
MASA_a60,52,52
MASA_a90,97,61
MAUR_a0,33,17
MAUR_a103,53,41
MAUR_a120,35,58
MAUR_a135,98,61
MAUR_a150,78,62
MAUR_a180,35,15
MAUR_a30,59,33
MAUR_a45,48,43
MAUR_a60,50,42
MAUR_a90,96,81
MEJU_a0,51,38
MEJU_a103,47,23
MEJU_a120,62,42
MEJU_a135,72,53
MEJU_a150,36,31
MEJU_a180,38,14
MEJU_a30,69,62
MEJU_a45,77,68
MEJU_a60,38,66
MEJU_a90,73,44
MEMA_a0,49,51
MEMA_a103,59,59
MEMA_a120,28,7
MEMA_a135,19,14
MEMA_a150,17,19
MEMA_a180,17,6
MEMA_a30,89,62
MEMA_a45,142,85
MEMA_a60,82,60
MEMA_a90,70,64
MENE_a0,47,25
MENE_a103,56,59
MENE_a120,52,52
MENE_a135,66,64
MENE_a150,63,52
MENE_a180,42,20
MENE_a30,56,55
MENE_a45,71,47
MENE_a60,68,40
MENE_a90,55,85
MEPL_a0,60,29
MEPL_a103,78,42
MEPL_a120,66,51
MEPL_a135,54,37
MEPL_a150,48,64
MEPL_a180,30,26
MEPL_a30,77,46
MEPL_a45,56,63
MEPL_a60,58,60
MEPL_a90,57,44
MESA_a0,41,32
MESA_a103,58,37
MESA_a120,57,35
MESA_a135,34,55
MESA_a150,61,25
MESA_a180,38,14
MESA_a30,82,67
MESA_a45,81,69
MESA_a60,95,68
MESA_a90,66,50
MESU_a0,206,172
MESU_a30,78,45
MEUR_a0,45,24
MEUR_a103,71,52
MEUR_a120,61,54
MEUR_a135,61,54
MEUR_a150,64,58
MEUR_a180,48,43
MEUR_a30,74,37
MEUR_a45,69,45
MEUR_a60,87,57
MEUR_a90,55,56
MEVE_a0,88,105
MEVE_a30,241,141
MEVE_a45,124,129
MEVE_a60,117,69
MOJU_a0,80,74
MOJU_a103,151,116
MOJU_a120,144,119
MOJU_a135,139,121
MOJU_a150,140,121
MOJU_a180,86,55
MOJU_a30,156,110
MOJU_a45,146,113
MOJU_a60,139,121
MOJU_a90,152,110
MOMA_a0,74,71
MOMA_a103,148,103
MOMA_a120,140,114
MOMA_a135,139,118
MOMA_a150,148,104
MOMA_a180,82,64
MOMA_a30,144,117
MOMA_a45,152,107
MOMA_a60,154,100
MOMA_a90,143,116
MOME_a0,69,65
MOME_a103,129,117
MOME_a120,143,115
MOME_a135,151,97
MOME_a150,142,104
MOME_a180,66,61
MOME_a30,141,117
MOME_a45,133,114
MOME_a60,142,105
MOME_a90,131,117
MONE_a0,87,57
MONE_a103,150,117
MONE_a120,145,116
MONE_a135,166,96
MONE_a150,164,99
MONE_a180,79,63
MONE_a30,136,125
MONE_a45,146,119
MONE_a60,153,114
MONE_a90,135,133
MOPL_a0,83,62
MOPL_a103,151,115
MOPL_a120,136,122
MOPL_a135,136,126
MOPL_a150,148,118
MOPL_a180,79,62
MOPL_a30,139,124
MOPL_a45,149,118
MOPL_a60,154,117
MOPL_a90,151,112
MOSA_a0,80,70
MOSA_a103,148,113
MOSA_a120,145,114
MOSA_a135,146,111
MOSA_a150,152,111
MOSA_a180,87,56
MOSA_a30,149,117
