PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUSA_a60,1,20,0.013,0.147,-0.016,-0.009,0.11,-0.155,0.518,0.673,1.898,4.279,0.033
MAJU_a60,1,28,0.021,0.108,-0.003,0.008,0.026,-0.129,0.518,0.647,3.342,13.097,0.02
MAPL_a150,1,15,0.023,0.138,-0.01,-0.01,0.015,-0.04,0.518,0.558,3.065,8.11,0.036
MESA_a103,1,24,0.021,0.121,-0.002,0.005,0.06,-0.129,0.518,0.647,2.785,9.158,0.025
MOJU_a90,1,91,0.011,0.072,0.005,0.005,0.035,-0.115,0.518,0.634,3.832,24.493,0.008
URNE_a45,1,671,0.002,0.055,-0.002,-0.001,0.037,-0.183,0.518,0.702,2.058,16.107,0.002
URPL_a103,1,442,0.003,0.055,-0.004,-0.001,0.033,-0.155,0.518,0.673,2.938,22.068,0.003
VESA_a150,1,24,0.034,0.111,0.004,0.013,0.031,-0.054,0.518,0.572,3.461,12.331,0.023
MOSA_a150,1,92,0.008,0.07,0,0.001,0.04,-0.103,0.518,0.621,4.167,27.477,0.007
MOVE_a0,1,42,0.009,0.098,-0.006,0,0.05,-0.135,0.518,0.653,3.275,15.025,0.015
SUUR_a120,1,34,0.021,0.113,-0.005,0.006,0.061,-0.129,0.518,0.647,2.525,8.498,0.019
MOME_a45,1,89,0.001,0.074,-0.003,-0.004,0.049,-0.135,0.518,0.653,3.915,25.032,0.008
MOSU_a30,1,91,0.008,0.073,-0.002,0,0.036,-0.112,0.518,0.63,4.074,24.981,0.008
MASA_a120,1,20,0.024,0.127,0.002,0.005,0.03,-0.129,0.518,0.647,2.852,8.748,0.028
MONE_a135,1,92,0.003,0.082,-0.007,-0.006,0.043,-0.183,0.518,0.702,3.119,16.412,0.009
MOUR_a90,1,92,0.004,0.075,-0.004,-0.003,0.034,-0.193,0.518,0.712,3.48,22.176,0.008
MEVE_a45,1,68,-0.01,0.043,-0.007,-0.01,0.034,-0.132,0.108,0.24,-0.223,0.821,0.005
MOSA_a135,1,91,0.011,0.047,0.008,0.009,0.037,-0.086,0.147,0.232,0.554,0.524,0.005
MOME_a30,1,88,0.009,0.055,0.001,0.006,0.044,-0.115,0.239,0.354,0.869,2.499,0.006
MOUR_a103,1,92,0.008,0.045,-0.001,0.004,0.037,-0.119,0.147,0.266,0.651,0.72,0.005
