PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,1583,1339,2922,0.54,0.46
CE_FIX,1532,1343,2875,0.53,0.47
CE_MUT,1853,1418,3271,0.57,0.43
CH_CAR,1472,1233,2705,0.54,0.46
CH_FIX,1263,1112,2375,0.53,0.47
CH_MUT,2233,1755,3988,0.56,0.44
EM_CAR,1652,1306,2958,0.56,0.44
EM_FIX,1736,1465,3201,0.54,0.46
EM_MUT,1580,1329,2909,0.54,0.46
ES_CAR,1782,1486,3268,0.55,0.45
ES_FIX,1579,1230,2809,0.56,0.44
ES_MUT,1607,1384,2991,0.54,0.46
JN_CAR,1702,1346,3048,0.56,0.44
JN_FIX,1681,1451,3132,0.54,0.46
JN_MUT,1585,1303,2888,0.55,0.45
JU_CAR,1624,1379,3003,0.54,0.46
JU_FIX,1644,1388,3032,0.54,0.46
JU_MUT,1700,1333,3033,0.56,0.44
MA_CAR,1735,1389,3124,0.56,0.44
MA_FIX,1615,1330,2945,0.55,0.45
MA_MUT,1618,1381,2999,0.54,0.46
ME_CAR,1639,1386,3025,0.54,0.46
ME_FIX,1702,1364,3066,0.56,0.44
ME_MUT,1627,1350,2977,0.55,0.45
MO_CAR,1653,1375,3028,0.55,0.45
MO_FIX,1673,1337,3010,0.56,0.44
MO_MUT,1642,1388,3030,0.54,0.46
NE_CAR,1868,1484,3352,0.56,0.44
NE_FIX,1799,1575,3374,0.53,0.47
NE_MUT,1301,1041,2342,0.56,0.44
NN_CAR,1739,1387,3126,0.56,0.44
NN_FIX,1681,1361,3042,0.55,0.45
NN_MUT,1548,1352,2900,0.53,0.47
PA_CAR,1675,1330,3005,0.56,0.44
PA_FIX,1712,1364,3076,0.56,0.44
PA_MUT,1581,1406,2987,0.53,0.47
PH_CAR,1041,871,1912,0.54,0.46
PH_FIX,1461,1273,2734,0.53,0.47
PH_MUT,2466,1956,4422,0.56,0.44
PL_CAR,1756,1400,3156,0.56,0.44
PL_FIX,1464,1196,2660,0.55,0.45
PL_MUT,1748,1504,3252,0.54,0.46
SA_CAR,1762,1401,3163,0.56,0.44
SA_FIX,1530,1244,2774,0.55,0.45
SA_MUT,1676,1455,3131,0.54,0.46
SN_CAR,1739,1387,3126,0.56,0.44
SN_FIX,1681,1361,3042,0.55,0.45
SN_MUT,1548,1352,2900,0.53,0.47
SU_CAR,1636,1335,2971,0.55,0.45
SU_FIX,1727,1364,3091,0.56,0.44
SU_MUT,1605,1401,3006,0.53,0.47
UR_CAR,2095,1666,3761,0.56,0.44
UR_FIX,1358,1162,2520,0.54,0.46
UR_MUT,1515,1272,2787,0.54,0.46
VE_CAR,1679,1377,3056,0.55,0.45
VE_FIX,1613,1425,3038,0.53,0.47
VE_MUT,1676,1298,2974,0.56,0.44
VS_CAR,1713,1404,3117,0.55,0.45
VS_FIX,1605,1426,3031,0.53,0.47
VS_MUT,1650,1270,2920,0.57,0.43
