PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,146,168,314,0.46,0.54
CE_FIX,254,308,562,0.45,0.55
CE_MUT,321,345,666,0.48,0.52
CH_CAR,415,448,863,0.48,0.52
CH_MUT,306,373,679,0.45,0.55
EM_CAR,230,243,473,0.49,0.51
EM_FIX,423,463,886,0.48,0.52
EM_MUT,68,115,183,0.37,0.63
ES_CAR,356,382,738,0.48,0.52
ES_FIX,217,256,473,0.46,0.54
ES_MUT,148,183,331,0.45,0.55
JN_CAR,371,392,763,0.49,0.51
JN_FIX,197,230,427,0.46,0.54
JN_MUT,153,199,352,0.43,0.57
JU_CAR,345,382,727,0.47,0.53
JU_FIX,202,224,426,0.47,0.53
JU_MUT,174,215,389,0.45,0.55
MA_CAR,290,313,603,0.48,0.52
MA_FIX,245,283,528,0.46,0.54
MA_MUT,186,225,411,0.45,0.55
ME_CAR,230,286,516,0.45,0.55
ME_FIX,230,289,519,0.44,0.56
ME_MUT,261,246,507,0.51,0.49
MO_CAR,253,266,519,0.49,0.51
MO_FIX,238,276,514,0.46,0.54
MO_MUT,230,279,509,0.45,0.55
NE_MUT,721,821,1542,0.47,0.53
NN_CAR,270,297,567,0.48,0.52
NN_FIX,269,297,566,0.48,0.52
NN_MUT,182,227,409,0.44,0.56
PA_CAR,382,408,790,0.48,0.52
PA_FIX,207,267,474,0.44,0.56
PA_MUT,132,146,278,0.47,0.53
PH_CAR,403,429,832,0.48,0.52
PH_MUT,318,392,710,0.45,0.55
PL_CAR,721,821,1542,0.47,0.53
SA_CAR,461,531,992,0.46,0.54
SA_FIX,70,65,135,0.52,0.48
SA_MUT,190,225,415,0.46,0.54
SN_CAR,270,297,567,0.48,0.52
SN_FIX,269,297,566,0.48,0.52
SN_MUT,182,227,409,0.44,0.56
SU_CAR,251,265,516,0.49,0.51
SU_FIX,225,284,509,0.44,0.56
SU_MUT,245,272,517,0.47,0.53
UR_CAR,304,377,681,0.45,0.55
UR_FIX,417,444,861,0.48,0.52
VE_CAR,233,297,530,0.44,0.56
VE_FIX,227,240,467,0.49,0.51
VE_MUT,261,284,545,0.48,0.52
VS_CAR,213,240,453,0.47,0.53
VS_FIX,284,343,627,0.45,0.55
VS_MUT,224,238,462,0.48,0.52
