PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,103,115,218,0.47,0.53
CE_FIX,241,237,478,0.5,0.5
CE_MUT,300,301,601,0.5,0.5
CH_CAR,433,430,863,0.5,0.5
CH_MUT,211,223,434,0.49,0.51
EM_CAR,245,228,473,0.52,0.48
EM_FIX,360,383,743,0.48,0.52
EM_MUT,39,42,81,0.48,0.52
ES_CAR,373,365,738,0.51,0.49
ES_FIX,230,243,473,0.49,0.51
ES_MUT,41,45,86,0.48,0.52
JN_CAR,316,297,613,0.52,0.48
JN_FIX,190,231,421,0.45,0.55
JN_MUT,138,125,263,0.52,0.48
JU_CAR,241,241,482,0.5,0.5
JU_FIX,219,207,426,0.51,0.49
JU_MUT,184,205,389,0.47,0.53
MA_CAR,273,252,525,0.52,0.48
MA_FIX,211,234,445,0.47,0.53
MA_MUT,160,167,327,0.49,0.51
ME_CAR,198,203,401,0.49,0.51
ME_FIX,208,240,448,0.46,0.54
ME_MUT,238,210,448,0.53,0.47
MO_CAR,216,220,436,0.5,0.5
MO_FIX,215,218,433,0.5,0.5
MO_MUT,213,215,428,0.5,0.5
NE_MUT,644,653,1297,0.5,0.5
NN_CAR,289,278,567,0.51,0.49
NN_FIX,240,260,500,0.48,0.52
NN_MUT,115,115,230,0.5,0.5
PA_CAR,356,345,701,0.51,0.49
PA_FIX,190,221,411,0.46,0.54
PA_MUT,98,87,185,0.53,0.47
PH_CAR,438,394,832,0.53,0.47
PH_MUT,206,259,465,0.44,0.56
PL_CAR,644,653,1297,0.5,0.5
SA_CAR,483,509,992,0.49,0.51
SA_FIX,75,60,135,0.56,0.44
SA_MUT,86,84,170,0.51,0.49
SN_CAR,289,278,567,0.51,0.49
SN_FIX,240,260,500,0.48,0.52
SN_MUT,115,115,230,0.5,0.5
SU_CAR,221,224,445,0.5,0.5
SU_FIX,221,206,427,0.52,0.48
SU_MUT,202,223,425,0.48,0.52
UR_CAR,214,222,436,0.49,0.51
UR_FIX,430,431,861,0.5,0.5
VE_CAR,190,218,408,0.47,0.53
VE_FIX,205,208,413,0.5,0.5
VE_MUT,249,227,476,0.52,0.48
VS_CAR,180,161,341,0.53,0.47
VS_FIX,247,247,494,0.5,0.5
VS_MUT,217,245,462,0.47,0.53
