PlanetsAspect,buy,sell
JUNE_a103,13,23
JUNE_a120,80,101
JUNE_a135,60,36
JUNE_a150,82,95
JUNE_a180,63,73
JUNE_a45,17,10
JUNE_a60,92,102
JUNE_a90,93,108
JUPL_a0,131,136
JUPL_a103,18,20
JUPL_a120,92,90
JUPL_a135,10,25
JUPL_a150,66,74
JUPL_a30,104,88
JUPL_a45,11,31
JUPL_a60,96,108
JUPL_a90,104,75
JUSA_a0,61,52
JUSA_a103,45,35
JUSA_a30,124,142
JUSA_a45,116,109
JUSA_a60,106,67
JUSA_a90,90,107
JUUR_a103,86,100
JUUR_a120,89,96
JUUR_a135,81,87
JUUR_a150,100,116
JUUR_a180,105,66
JUUR_a90,7,4
MAJU_a0,24,41
MAJU_a103,45,57
MAJU_a120,31,50
MAJU_a135,37,37
MAJU_a150,41,28
MAJU_a180,23,18
MAJU_a30,43,60
MAJU_a45,48,49
MAJU_a60,51,44
MAJU_a90,57,65
MANE_a0,27,36
MANE_a103,84,54
MANE_a120,44,39
MANE_a135,36,47
MANE_a150,40,41
MANE_a180,25,23
MANE_a30,100,82
MANE_a45,92,78
MANE_a60,36,58
MANE_a90,53,74
MAPL_a0,32,35
MAPL_a103,40,39
MAPL_a120,30,48
MAPL_a135,32,45
MAPL_a150,43,34
MAPL_a180,28,18
MAPL_a30,35,71
MAPL_a45,87,69
MAPL_a60,40,57
MAPL_a90,90,72
MASA_a0,23,35
MASA_a103,49,33
MASA_a120,56,23
MASA_a135,34,41
MASA_a150,27,46
MASA_a180,29,15
MASA_a30,82,136
MASA_a45,53,56
MASA_a60,40,64
MASA_a90,75,83
MAUR_a0,34,16
MAUR_a103,42,52
MAUR_a120,28,65
MAUR_a135,82,77
MAUR_a150,64,76
MAUR_a180,28,22
MAUR_a30,54,38
MAUR_a45,38,53
MAUR_a60,48,44
MAUR_a90,69,108
MEJU_a0,38,51
MEJU_a103,31,39
MEJU_a120,55,49
MEJU_a135,59,66
MEJU_a150,40,27
MEJU_a180,37,15
MEJU_a30,55,76
MEJU_a45,69,76
MEJU_a60,46,58
MEJU_a90,57,60
MEMA_a0,52,48
MEMA_a103,56,62
MEMA_a120,29,6
MEMA_a135,10,23
MEMA_a150,16,20
MEMA_a180,9,14
MEMA_a30,64,87
MEMA_a45,121,106
MEMA_a60,68,74
MEMA_a90,76,58
MENE_a0,48,24
MENE_a103,51,64
MENE_a120,46,58
MENE_a135,54,76
MENE_a150,39,76
MENE_a180,41,21
MENE_a30,57,54
MENE_a45,51,67
MENE_a60,46,62
MENE_a90,56,84
MEPL_a0,46,43
MEPL_a103,41,79
MEPL_a120,62,55
MEPL_a135,44,47
MEPL_a150,43,69
MEPL_a180,29,27
MEPL_a30,68,55
MEPL_a45,55,64
MEPL_a60,68,50
MEPL_a90,30,71
MESA_a0,38,35
MESA_a103,56,39
MESA_a120,38,54
MESA_a135,31,58
MESA_a150,54,32
MESA_a180,31,21
MESA_a30,73,76
MESA_a45,72,78
MESA_a60,78,85
MESA_a90,63,53
MESU_a0,174,204
MESU_a30,71,52
MEUR_a0,22,47
MEUR_a103,62,61
MEUR_a120,64,51
MEUR_a135,60,55
MEUR_a150,57,65
MEUR_a180,37,54
MEUR_a30,65,46
MEUR_a45,62,52
