PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,551,534,1085,0.51,0.49
CE_EAR,512,562,1074,0.48,0.52
CE_FIR,536,569,1105,0.49,0.51
CE_WAT,626,623,1249,0.5,0.5
CH_AIR,659,735,1394,0.47,0.53
CH_EAR,209,251,460,0.45,0.55
CH_FIR,314,306,620,0.51,0.49
CH_WAT,1043,996,2039,0.51,0.49
EM_AIR,647,613,1260,0.51,0.49
EM_EAR,477,535,1012,0.47,0.53
EM_FIR,684,664,1348,0.51,0.49
EM_WAT,417,476,893,0.47,0.53
ES_AIR,392,410,802,0.49,0.51
ES_EAR,613,605,1218,0.5,0.5
ES_FIR,492,508,1000,0.49,0.51
ES_WAT,728,765,1493,0.49,0.51
JN_AIR,635,635,1270,0.5,0.5
JN_EAR,564,634,1198,0.47,0.53
JN_FIR,566,519,1085,0.52,0.48
JN_WAT,460,500,960,0.48,0.52
JU_AIR,537,593,1130,0.48,0.52
JU_EAR,683,676,1359,0.5,0.5
JU_FIR,496,496,992,0.5,0.5
JU_WAT,509,523,1032,0.49,0.51
MA_AIR,568,551,1119,0.51,0.49
MA_EAR,562,587,1149,0.49,0.51
MA_FIR,600,593,1193,0.5,0.5
MA_WAT,495,557,1052,0.47,0.53
ME_AIR,521,512,1033,0.5,0.5
ME_EAR,534,543,1077,0.5,0.5
ME_FIR,574,630,1204,0.48,0.52
ME_WAT,596,603,1199,0.5,0.5
MO_AIR,581,537,1118,0.52,0.48
MO_EAR,533,598,1131,0.47,0.53
MO_FIR,546,587,1133,0.48,0.52
MO_WAT,565,566,1131,0.5,0.5
NE_AIR,978,1111,2089,0.47,0.53
NE_WAT,1247,1177,2424,0.51,0.49
NN_AIR,501,473,974,0.51,0.49
NN_EAR,533,588,1121,0.48,0.52
NN_FIR,589,620,1209,0.49,0.51
NN_WAT,602,607,1209,0.5,0.5
PA_AIR,621,598,1219,0.51,0.49
PA_EAR,639,606,1245,0.51,0.49
PA_FIR,491,509,1000,0.49,0.51
PA_WAT,474,575,1049,0.45,0.55
PH_EAR,310,288,598,0.52,0.48
PH_FIR,1662,1709,3371,0.49,0.51
PH_WAT,253,291,544,0.47,0.53
PL_EAR,1636,1629,3265,0.5,0.5
PL_FIR,589,659,1248,0.47,0.53
SA_AIR,367,424,791,0.46,0.54
SA_EAR,668,672,1340,0.5,0.5
SA_FIR,629,634,1263,0.5,0.5
SA_WAT,561,558,1119,0.5,0.5
SN_AIR,589,620,1209,0.49,0.51
SN_EAR,602,607,1209,0.5,0.5
SN_FIR,501,473,974,0.51,0.49
SN_WAT,533,588,1121,0.48,0.52
SU_AIR,548,586,1134,0.48,0.52
SU_EAR,550,581,1131,0.49,0.51
SU_FIR,557,566,1123,0.5,0.5
SU_WAT,570,555,1125,0.51,0.49
UR_AIR,35,37,72,0.49,0.51
UR_EAR,310,308,618,0.5,0.5
UR_FIR,1028,980,2008,0.51,0.49
UR_WAT,852,963,1815,0.47,0.53
VE_AIR,586,619,1205,0.49,0.51
VE_EAR,529,557,1086,0.49,0.51
VE_FIR,589,568,1157,0.51,0.49
VE_WAT,521,544,1065,0.49,0.51
VS_AIR,531,553,1084,0.49,0.51
VS_EAR,599,531,1130,0.53,0.47
VS_FIR,554,639,1193,0.46,0.54
VS_WAT,541,565,1106,0.49,0.51
