PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,508,469,977,0.52,0.48
CE_EAR,525,448,973,0.54,0.46
CE_FIR,499,499,998,0.5,0.5
CE_WAT,470,403,873,0.54,0.46
CH_AIR,652,510,1162,0.56,0.44
CH_FIR,301,319,620,0.49,0.51
CH_WAT,1049,990,2039,0.51,0.49
EM_AIR,651,609,1260,0.52,0.48
EM_EAR,385,327,712,0.54,0.46
EM_FIR,635,607,1242,0.51,0.49
EM_WAT,331,276,607,0.55,0.45
ES_AIR,267,238,505,0.53,0.47
ES_EAR,647,571,1218,0.53,0.47
ES_FIR,302,303,605,0.5,0.5
ES_WAT,786,707,1493,0.53,0.47
JN_AIR,561,498,1059,0.53,0.47
JN_EAR,493,436,929,0.53,0.47
JN_FIR,496,483,979,0.51,0.49
JN_WAT,452,402,854,0.53,0.47
JU_AIR,457,392,849,0.54,0.46
JU_EAR,573,521,1094,0.52,0.48
JU_FIR,516,476,992,0.52,0.48
JU_WAT,456,430,886,0.51,0.49
MA_AIR,512,469,981,0.52,0.48
MA_EAR,462,446,908,0.51,0.49
MA_FIR,548,512,1060,0.52,0.48
MA_WAT,480,392,872,0.55,0.45
ME_AIR,459,476,935,0.49,0.51
ME_EAR,483,428,911,0.53,0.47
ME_FIR,486,434,920,0.53,0.47
ME_WAT,574,481,1055,0.54,0.46
MO_AIR,514,436,950,0.54,0.46
MO_EAR,471,488,959,0.49,0.51
MO_FIR,502,453,955,0.53,0.47
MO_WAT,515,442,957,0.54,0.46
NE_AIR,774,623,1397,0.55,0.45
NE_WAT,1228,1196,2424,0.51,0.49
NN_AIR,504,470,974,0.52,0.48
NN_EAR,442,368,810,0.55,0.45
NN_FIR,426,402,828,0.51,0.49
NN_WAT,630,579,1209,0.52,0.48
PA_AIR,538,497,1035,0.52,0.48
PA_EAR,526,499,1025,0.51,0.49
PA_FIR,406,390,796,0.51,0.49
PA_WAT,532,433,965,0.55,0.45
PH_EAR,289,309,598,0.48,0.52
PH_FIR,1691,1495,3186,0.53,0.47
PH_WAT,22,15,37,0.59,0.41
PL_EAR,1695,1570,3265,0.52,0.48
PL_FIR,307,249,556,0.55,0.45
SA_AIR,427,364,791,0.54,0.46
SA_EAR,686,654,1340,0.51,0.49
SA_FIR,568,477,1045,0.54,0.46
SA_WAT,321,324,645,0.5,0.5
SN_AIR,426,402,828,0.51,0.49
SN_EAR,630,579,1209,0.52,0.48
SN_FIR,504,470,974,0.52,0.48
SN_WAT,442,368,810,0.55,0.45
SU_AIR,504,457,961,0.52,0.48
SU_EAR,496,458,954,0.52,0.48
SU_FIR,500,451,951,0.53,0.47
SU_WAT,502,453,955,0.53,0.47
UR_EAR,304,314,618,0.49,0.51
UR_FIR,1040,968,2008,0.52,0.48
UR_WAT,658,537,1195,0.55,0.45
VE_AIR,510,469,979,0.52,0.48
VE_EAR,470,435,905,0.52,0.48
VE_FIR,528,488,1016,0.52,0.48
VE_WAT,494,427,921,0.54,0.46
VS_AIR,541,446,987,0.55,0.45
VS_EAR,505,537,1042,0.48,0.52
VS_FIR,597,503,1100,0.54,0.46
VS_WAT,359,333,692,0.52,0.48
