PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,651,667,1318,0.49,0.51
CE_FIX,866,791,1657,0.52,0.48
CE_MUT,709,829,1538,0.46,0.54
CH_CAR,524,556,1080,0.49,0.51
CH_FIX,659,735,1394,0.47,0.53
CH_MUT,1043,996,2039,0.51,0.49
EM_CAR,726,732,1458,0.5,0.5
EM_FIX,769,779,1548,0.5,0.5
EM_MUT,731,776,1507,0.49,0.51
ES_CAR,818,928,1746,0.47,0.53
ES_FIX,697,628,1325,0.53,0.47
ES_MUT,711,731,1442,0.49,0.51
JN_CAR,760,809,1569,0.48,0.52
JN_FIX,732,741,1473,0.5,0.5
JN_MUT,734,737,1471,0.5,0.5
JU_CAR,753,791,1544,0.49,0.51
JU_FIX,724,681,1405,0.52,0.48
JU_MUT,749,815,1564,0.48,0.52
MA_CAR,701,813,1514,0.46,0.54
MA_FIX,779,761,1540,0.51,0.49
MA_MUT,746,713,1459,0.51,0.49
ME_CAR,759,746,1505,0.5,0.5
ME_FIX,742,767,1509,0.49,0.51
ME_MUT,725,774,1499,0.48,0.52
MO_CAR,758,758,1516,0.5,0.5
MO_FIX,714,777,1491,0.48,0.52
MO_MUT,754,752,1506,0.5,0.5
NE_FIX,978,1111,2089,0.47,0.53
NE_MUT,1248,1176,2424,0.51,0.49
NN_CAR,808,809,1617,0.5,0.5
NN_FIX,755,762,1517,0.5,0.5
NN_MUT,663,716,1379,0.48,0.52
PA_CAR,823,832,1655,0.5,0.5
PA_FIX,655,689,1344,0.49,0.51
PA_MUT,748,766,1514,0.49,0.51
PH_CAR,311,287,598,0.52,0.48
PH_FIX,253,291,544,0.47,0.53
PH_MUT,1662,1709,3371,0.49,0.51
PL_CAR,1637,1628,3265,0.5,0.5
PL_MUT,589,659,1248,0.47,0.53
SA_CAR,900,971,1871,0.48,0.52
SA_FIX,649,651,1300,0.5,0.5
SA_MUT,677,665,1342,0.5,0.5
SN_CAR,808,809,1617,0.5,0.5
SN_FIX,755,762,1517,0.5,0.5
SN_MUT,663,716,1379,0.48,0.52
SU_CAR,742,775,1517,0.49,0.51
SU_FIX,742,760,1502,0.49,0.51
SU_MUT,742,752,1494,0.5,0.5
UR_CAR,1028,980,2008,0.51,0.49
UR_FIX,346,344,690,0.5,0.5
UR_MUT,852,963,1815,0.47,0.53
VE_CAR,773,750,1523,0.51,0.49
VE_FIX,715,747,1462,0.49,0.51
VE_MUT,738,790,1528,0.48,0.52
VS_CAR,730,729,1459,0.5,0.5
VS_FIX,777,715,1492,0.52,0.48
VS_MUT,719,843,1562,0.46,0.54
