PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,107,94,201,0.53,0.47
CE_FIX,256,222,478,0.54,0.46
CE_MUT,322,272,594,0.54,0.46
CH_CAR,459,404,863,0.53,0.47
CH_MUT,226,184,410,0.55,0.45
EM_CAR,260,213,473,0.55,0.45
EM_FIX,377,342,719,0.52,0.48
EM_MUT,48,33,81,0.59,0.41
ES_CAR,402,336,738,0.54,0.46
ES_FIX,237,236,473,0.5,0.5
ES_MUT,46,16,62,0.74,0.26
JN_CAR,328,261,589,0.56,0.44
JN_FIX,208,213,421,0.49,0.51
JN_MUT,149,114,263,0.57,0.43
JU_CAR,268,190,458,0.59,0.41
JU_FIX,221,205,426,0.52,0.48
JU_MUT,196,193,389,0.5,0.5
MA_CAR,286,222,508,0.56,0.44
MA_FIX,234,204,438,0.53,0.47
MA_MUT,165,162,327,0.5,0.5
ME_CAR,215,184,399,0.54,0.46
ME_FIX,210,218,428,0.49,0.51
ME_MUT,260,186,446,0.58,0.42
MO_CAR,238,190,428,0.56,0.44
MO_FIX,239,186,425,0.56,0.44
MO_MUT,208,212,420,0.5,0.5
NE_MUT,685,588,1273,0.54,0.46
NN_CAR,308,259,567,0.54,0.46
NN_FIX,243,233,476,0.51,0.49
NN_MUT,134,96,230,0.58,0.42
PA_CAR,389,312,701,0.55,0.45
PA_FIX,198,189,387,0.51,0.49
PA_MUT,98,87,185,0.53,0.47
PH_CAR,472,360,832,0.57,0.43
PH_MUT,213,228,441,0.48,0.52
PL_CAR,685,588,1273,0.54,0.46
SA_CAR,517,475,992,0.52,0.48
SA_FIX,85,50,135,0.63,0.37
SA_MUT,83,63,146,0.57,0.43
SN_CAR,308,259,567,0.54,0.46
SN_FIX,243,233,476,0.51,0.49
SN_MUT,134,96,230,0.58,0.42
SU_CAR,241,185,426,0.57,0.43
SU_FIX,221,201,422,0.52,0.48
SU_MUT,223,202,425,0.52,0.48
UR_CAR,228,184,412,0.55,0.45
UR_FIX,457,404,861,0.53,0.47
VE_CAR,201,207,408,0.49,0.51
VE_FIX,226,186,412,0.55,0.45
VE_MUT,258,195,453,0.57,0.43
VS_CAR,177,164,341,0.52,0.48
VS_FIX,258,222,480,0.54,0.46
VS_MUT,250,202,452,0.55,0.45
