PlanetTriplicity,buy,sell,daysN,BuyDays%,SellDays%
CE_CAR,302,294,596,0.51,0.49
CE_FIX,424,479,903,0.47,0.53
CE_MUT,401,415,816,0.49,0.51
CH_CAR,409,454,863,0.47,0.53
CH_MUT,718,734,1452,0.49,0.51
EM_CAR,557,615,1172,0.48,0.52
EM_FIX,457,458,915,0.5,0.5
EM_MUT,113,115,228,0.5,0.5
ES_CAR,355,383,738,0.48,0.52
ES_FIX,303,352,655,0.46,0.54
ES_MUT,469,453,922,0.51,0.49
JN_CAR,452,444,896,0.5,0.5
JN_FIX,462,526,988,0.47,0.53
JN_MUT,213,218,431,0.49,0.51
JU_CAR,411,368,779,0.53,0.47
JU_FIX,342,410,752,0.45,0.55
JU_MUT,374,410,784,0.48,0.52
MA_CAR,421,392,813,0.52,0.48
MA_FIX,357,430,787,0.45,0.55
MA_MUT,349,366,715,0.49,0.51
ME_CAR,371,402,773,0.48,0.52
ME_FIX,364,424,788,0.46,0.54
ME_MUT,392,362,754,0.52,0.48
MO_CAR,394,385,779,0.51,0.49
MO_FIX,384,387,771,0.5,0.5
MO_MUT,349,416,765,0.46,0.54
NE_MUT,1127,1188,2315,0.49,0.51
NN_CAR,429,523,952,0.45,0.55
NN_FIX,281,285,566,0.5,0.5
NN_MUT,417,380,797,0.52,0.48
PA_CAR,451,473,924,0.49,0.51
PA_FIX,337,381,718,0.47,0.53
PA_MUT,339,334,673,0.5,0.5
PH_CAR,409,423,832,0.49,0.51
PH_MUT,718,765,1483,0.48,0.52
PL_CAR,1127,1188,2315,0.49,0.51
SA_CAR,460,532,992,0.46,0.54
SA_FIX,142,184,326,0.44,0.56
SA_MUT,525,472,997,0.53,0.47
SN_CAR,430,523,953,0.45,0.55
SN_FIX,281,285,566,0.5,0.5
SN_MUT,416,380,796,0.52,0.48
SU_CAR,369,421,790,0.47,0.53
SU_FIX,371,390,761,0.49,0.51
SU_MUT,387,377,764,0.51,0.49
UR_CAR,719,735,1454,0.49,0.51
UR_FIX,408,453,861,0.47,0.53
VE_CAR,342,415,757,0.45,0.55
VE_FIX,392,383,775,0.51,0.49
VE_MUT,393,390,783,0.5,0.5
VS_CAR,403,430,833,0.48,0.52
VS_FIX,383,400,783,0.49,0.51
VS_MUT,341,358,699,0.49,0.51
