PlanetsAspect,buy,sell
JUNE_a103,8,28
JUNE_a120,82,99
JUNE_a135,51,45
JUNE_a150,96,81
JUNE_a180,77,59
JUNE_a45,19,8
JUNE_a60,103,91
JUNE_a90,98,103
JUPL_a0,143,124
JUPL_a103,20,18
JUPL_a120,118,64
JUPL_a135,15,20
JUPL_a150,77,63
JUPL_a30,108,84
JUPL_a45,11,31
JUPL_a60,95,109
JUPL_a90,99,80
JUSA_a0,72,41
JUSA_a103,44,36
JUSA_a30,127,139
JUSA_a45,115,110
JUSA_a60,95,78
JUSA_a90,107,90
JUUR_a103,96,90
JUUR_a120,103,82
JUUR_a135,82,86
JUUR_a150,103,113
JUUR_a180,92,79
JUUR_a90,9,2
MAJU_a0,30,35
MAJU_a103,49,53
MAJU_a120,40,41
MAJU_a135,42,32
MAJU_a150,33,36
MAJU_a180,18,23
MAJU_a30,47,56
MAJU_a45,50,47
MAJU_a60,57,38
MAJU_a90,56,66
MANE_a0,27,36
MANE_a103,88,50
MANE_a120,35,48
MANE_a135,41,42
MANE_a150,39,42
MANE_a180,35,13
MANE_a30,98,84
MANE_a45,75,95
MANE_a60,53,41
MANE_a90,73,54
MAPL_a0,42,25
MAPL_a103,36,43
MAPL_a120,43,35
MAPL_a135,40,37
MAPL_a150,29,48
MAPL_a180,20,26
MAPL_a30,46,60
MAPL_a45,79,77
MAPL_a60,47,50
MAPL_a90,97,65
MASA_a0,27,31
MASA_a103,33,49
MASA_a120,43,36
MASA_a135,38,37
MASA_a150,37,36
MASA_a180,29,15
MASA_a30,96,122
MASA_a45,51,58
MASA_a60,51,53
MASA_a90,82,76
MAUR_a0,28,22
MAUR_a103,46,48
MAUR_a120,35,58
MAUR_a135,97,62
MAUR_a150,68,72
MAUR_a180,32,18
MAUR_a30,53,39
MAUR_a45,44,47
MAUR_a60,48,44
MAUR_a90,83,94
MEJU_a0,48,41
MEJU_a103,33,37
MEJU_a120,49,55
MEJU_a135,58,67
MEJU_a150,31,36
MEJU_a180,40,12
MEJU_a30,54,77
MEJU_a45,78,67
MEJU_a60,48,56
MEJU_a90,51,66
MEMA_a0,46,54
MEMA_a103,49,69
MEMA_a120,27,8
MEMA_a135,19,14
MEMA_a150,17,19
MEMA_a180,13,10
MEMA_a30,74,77
MEMA_a45,118,109
MEMA_a60,73,69
MEMA_a90,66,68
MENE_a0,44,28
MENE_a103,56,59
MENE_a120,52,52
MENE_a135,61,69
MENE_a150,45,70
MENE_a180,34,28
MENE_a30,53,58
MENE_a45,61,57
MENE_a60,58,50
MENE_a90,65,75
MEPL_a0,49,40
MEPL_a103,65,55
MEPL_a120,69,48
MEPL_a135,54,37
MEPL_a150,49,63
MEPL_a180,24,32
MEPL_a30,76,47
MEPL_a45,58,61
MEPL_a60,48,70
MEPL_a90,52,49
MESA_a0,39,34
MESA_a103,52,43
MESA_a120,52,40
MESA_a135,25,64
MESA_a150,63,23
MESA_a180,33,19
MESA_a30,81,68
MESA_a45,74,76
MESA_a60,80,83
MESA_a90,58,58
MESU_a0,202,176
MESU_a30,60,63
MEUR_a0,41,28
MEUR_a103,60,63
MEUR_a120,60,55
MEUR_a135,60,55
MEUR_a150,51,71
MEUR_a180,52,39
MEUR_a30,66,45
MEUR_a45,70,44
MEUR_a60,82,62
MEUR_a90,49,62
MEVE_a0,88,105
MEVE_a30,202,180
MEVE_a45,117,136
MEVE_a60,109,77
MOJU_a0,67,87
MOJU_a103,123,144
MOJU_a120,130,133
MOJU_a135,129,131
MOJU_a150,131,130
MOJU_a180,75,66
MOJU_a30,144,122
MOJU_a45,154,105
MOJU_a60,139,121
MOJU_a90,127,135
MOMA_a0,68,77
MOMA_a103,118,133
MOMA_a120,126,128
MOMA_a135,141,116
MOMA_a150,146,106
MOMA_a180,69,77
MOMA_a30,125,136
MOMA_a45,142,117
MOMA_a60,143,111
MOMA_a90,126,133
MOME_a0,73,61
MOME_a103,120,126
MOME_a120,125,133
MOME_a135,123,125
MOME_a150,137,109
MOME_a180,56,71
MOME_a30,125,133
MOME_a45,127,120
MOME_a60,132,115
MOME_a90,121,127
MONE_a0,73,71
MONE_a103,126,141
MONE_a120,143,118
MONE_a135,146,116
MONE_a150,141,122
MONE_a180,69,73
MONE_a30,123,138
MONE_a45,138,127
MONE_a60,145,122
MONE_a90,111,157
MOPL_a0,80,65
MOPL_a103,132,134
MOPL_a120,127,131
MOPL_a135,126,136
MOPL_a150,127,139
MOPL_a180,86,55
MOPL_a30,133,130
MOPL_a45,132,135
MOPL_a60,139,132
MOPL_a90,127,136
MOSA_a0,77,73
MOSA_a103,127,134
MOSA_a120,125,134
MOSA_a135,135,122
MOSA_a150,146,117
MOSA_a180,74,69
MOSA_a30,146,120
MOSA_a45,138,130
MOSA_a60,125,145
MOSA_a90,136,127
MOSU_a0,75,63
MOSU_a103,113,138
MOSU_a120,139,119
MOSU_a135,148,104
MOSU_a150,127,124
MOSU_a180,67,71
MOSU_a30,131,113
MOSU_a45,131,120
MOSU_a60,118,132
MOSU_a90,116,140
MOUR_a0,75,72
MOUR_a103,148,118
MOUR_a120,132,136
MOUR_a135,126,141
MOUR_a150,135,136
MOUR_a180,80,68
MOUR_a30,129,130
MOUR_a45,119,143
MOUR_a60,121,138
MOUR_a90,154,110
MOVE_a0,87,58
MOVE_a103,133,126
MOVE_a120,122,125
MOVE_a135,124,115
MOVE_a150,131,125
MOVE_a180,72,69
MOVE_a30,138,110
MOVE_a45,117,114
MOVE_a60,101,149
MOVE_a90,120,142
NEPL_a60,186,218
SANE_a103,73,82
SANE_a45,61,42
SANE_a60,182,185
SANE_a90,179,161
SAPL_a0,212,190
SAPL_a30,155,121
SAPL_a45,136,155
SAUR_a103,223,174
SAUR_a120,223,203
SAUR_a135,153,163
SAUR_a90,1,1
SUJU_a0,25,45
SUJU_a103,59,53
SUJU_a120,41,66
SUJU_a135,42,62
SUJU_a150,54,48
SUJU_a180,29,30
SUJU_a30,65,59
SUJU_a45,64,62
SUJU_a60,62,64
SUJU_a90,66,54
SUMA_a0,59,42
SUMA_a103,53,46
SUMA_a120,36,41
SUMA_a135,28,33
SUMA_a150,27,23
SUMA_a180,12,14
SUMA_a30,85,77
SUMA_a45,80,78
SUMA_a60,86,67
SUMA_a90,38,70
SUNE_a0,36,32
SUNE_a103,62,56
SUNE_a120,71,48
SUNE_a135,57,58
SUNE_a150,57,61
SUNE_a180,28,38
SUNE_a30,70,41
SUNE_a45,50,59
SUNE_a60,70,49
