PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,61,65,126,0.48,0.52
CE_CAN,30,46,76,0.39,0.61
CE_CAP,41,35,76,0.54,0.46
CE_GEM,1,6,7,0.14,0.86
CE_LEO,148,129,277,0.53,0.47
CE_LIB,32,34,66,0.48,0.52
CE_PIS,125,104,229,0.55,0.45
CE_SAG,146,149,295,0.49,0.51
CE_SCO,32,43,75,0.43,0.57
CE_VIR,28,42,70,0.4,0.6
CH_ARI,433,430,863,0.5,0.5
CH_PIS,211,223,434,0.49,0.51
EM_AQU,164,191,355,0.46,0.54
EM_CAN,86,61,147,0.59,0.41
EM_CAP,159,167,326,0.49,0.51
EM_GEM,26,25,51,0.51,0.49
EM_LEO,196,192,388,0.51,0.49
EM_SAG,13,17,30,0.43,0.57
ES_AQU,69,79,148,0.47,0.53
ES_CAN,175,207,382,0.46,0.54
ES_CAP,198,158,356,0.56,0.44
ES_LEO,161,164,325,0.5,0.5
ES_PIS,20,29,49,0.41,0.59
ES_SAG,21,16,37,0.57,0.43
JN_AQU,35,34,69,0.51,0.49
JN_ARI,28,36,64,0.44,0.56
JN_CAN,34,28,62,0.55,0.45
JN_CAP,83,83,166,0.5,0.5
JN_GEM,50,43,93,0.54,0.46
JN_LEO,26,37,63,0.41,0.59
JN_LIB,171,150,321,0.53,0.47
JN_PIS,35,29,64,0.55,0.45
JN_SAG,18,15,33,0.55,0.45
JN_SCO,42,47,89,0.47,0.53
JN_TAU,87,113,200,0.44,0.56
JN_VIR,35,38,73,0.48,0.52
JU_AQU,17,15,32,0.53,0.47
JU_CAP,204,179,383,0.53,0.47
JU_LIB,37,62,99,0.37,0.63
JU_SAG,184,205,389,0.47,0.53
JU_SCO,202,192,394,0.51,0.49
MA_AQU,94,104,198,0.47,0.53
MA_ARI,121,115,236,0.51,0.49
MA_CAN,30,33,63,0.48,0.52
MA_CAP,65,67,132,0.49,0.51
MA_GEM,29,17,46,0.63,0.37
MA_LEO,38,57,95,0.4,0.6
MA_LIB,57,37,94,0.61,0.39
MA_PIS,42,51,93,0.45,0.55
MA_SAG,51,43,94,0.54,0.46
MA_SCO,49,44,93,0.53,0.47
MA_TAU,30,29,59,0.51,0.49
MA_VIR,38,56,94,0.4,0.6
ME_AQU,40,37,77,0.52,0.48
ME_ARI,55,48,103,0.53,0.47
ME_CAN,69,64,133,0.52,0.48
ME_CAP,41,35,76,0.54,0.46
ME_GEM,27,18,45,0.6,0.4
ME_LEO,61,94,155,0.39,0.61
ME_LIB,33,56,89,0.37,0.63
ME_PIS,76,62,138,0.55,0.45
ME_SAG,89,72,161,0.55,0.45
ME_SCO,84,87,171,0.49,0.51
ME_TAU,23,22,45,0.51,0.49
ME_VIR,46,58,104,0.44,0.56
MO_AQU,69,49,118,0.58,0.42
MO_ARI,57,59,116,0.49,0.51
MO_CAN,57,45,102,0.56,0.44
MO_CAP,57,60,117,0.49,0.51
MO_GEM,43,60,103,0.42,0.58
MO_LEO,45,54,99,0.45,0.55
MO_LIB,45,56,101,0.45,0.55
MO_PIS,57,60,117,0.49,0.51
MO_SAG,58,51,109,0.53,0.47
MO_SCO,52,55,107,0.49,0.51
MO_TAU,49,60,109,0.45,0.55
MO_VIR,55,44,99,0.56,0.44
NE_PIS,644,653,1297,0.5,0.5
NN_CAN,289,278,567,0.51,0.49
NN_GEM,115,115,230,0.5,0.5
NN_LEO,240,260,500,0.48,0.52
PA_AQU,43,34,77,0.56,0.44
PA_ARI,43,22,65,0.66,0.34
PA_CAN,21,30,51,0.41,0.59
PA_CAP,151,140,291,0.52,0.48
PA_GEM,33,19,52,0.63,0.37
PA_LEO,22,33,55,0.4,0.6
PA_LIB,141,153,294,0.48,0.52
PA_SAG,35,36,71,0.49,0.51
PA_SCO,37,37,74,0.5,0.5
PA_TAU,88,117,205,0.43,0.57
PA_VIR,30,32,62,0.48,0.52
PH_CAP,438,394,832,0.53,0.47
PH_SAG,206,259,465,0.44,0.56
PL_CAP,644,653,1297,0.5,0.5
SA_AQU,75,60,135,0.56,0.44
SA_CAP,483,509,992,0.49,0.51
SA_SAG,86,84,170,0.51,0.49
SN_AQU,240,260,500,0.48,0.52
SN_CAP,289,278,567,0.51,0.49
SN_SAG,115,115,230,0.5,0.5
SU_AQU,52,37,89,0.58,0.42
SU_ARI,53,39,92,0.58,0.42
SU_CAN,51,63,114,0.45,0.55
SU_CAP,64,54,118,0.54,0.46
SU_GEM,48,45,93,0.52,0.48
SU_LEO,53,72,125,0.42,0.58
SU_LIB,53,68,121,0.44,0.56
SU_PIS,38,52,90,0.42,0.58
SU_SAG,65,53,118,0.55,0.45
SU_SCO,62,58,120,0.52,0.48
SU_TAU,54,39,93,0.58,0.42
SU_VIR,51,73,124,0.41,0.59
UR_ARI,214,222,436,0.49,0.51
UR_TAU,430,431,861,0.5,0.5
VE_AQU,40,32,72,0.56,0.44
VE_ARI,37,40,77,0.48,0.52
VE_CAN,47,59,106,0.44,0.56
VE_CAP,47,40,87,0.54,0.46
VE_GEM,114,88,202,0.56,0.44
VE_LEO,37,65,102,0.36,0.64
VE_LIB,59,79,138,0.43,0.57
VE_PIS,44,30,74,0.59,0.41
VE_SAG,50,49,99,0.51,0.49
VE_SCO,86,74,160,0.54,0.46
VE_TAU,42,37,79,0.53,0.47
VE_VIR,41,60,101,0.41,0.59
VS_AQU,30,32,62,0.48,0.52
