PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
SUSA_a135,1,107,-0.001,0.022,0.001,0,0.017,-0.072,0.061,0.133,-0.171,0.976,0.002
MEUR_a0,1,69,0.007,0.027,0.005,0.006,0.022,-0.054,0.085,0.139,0.383,0.479,0.003
MEPL_a90,1,101,0.002,0.021,0.003,0.002,0.016,-0.078,0.065,0.143,-0.566,2.27,0.002
MESA_a135,1,89,-0.005,0.025,-0.007,-0.006,0.017,-0.089,0.074,0.163,0.161,2.171,0.003
VEPL_a135,1,182,0.001,0.021,0.001,0,0.014,-0.067,0.081,0.148,0.567,2.29,0.002
VESA_a180,1,53,-0.002,0.033,-0.003,-0.004,0.017,-0.072,0.109,0.18,0.662,1.476,0.004
MEPL_a103,1,120,0.007,0.019,0.003,0.005,0.012,-0.043,0.085,0.128,1.035,2.633,0.002
MAJU_a90,1,122,-0.001,0.027,-0.001,0,0.012,-0.115,0.082,0.198,-0.941,4.975,0.002
MESA_a150,1,86,0.007,0.02,0.005,0.006,0.013,-0.037,0.082,0.118,1.217,3.015,0.002
MAPL_a120,1,78,0.004,0.019,0.004,0.005,0.015,-0.078,0.035,0.113,-1.512,5.09,0.002
MEMA_a0,1,100,0.001,0.034,-0.001,0.001,0.027,-0.115,0.104,0.219,0.116,1.032,0.003
SUSA_a150,1,107,0.003,0.024,0.001,0.003,0.02,-0.075,0.094,0.169,0.188,2.697,0.002
MEPL_a120,1,117,0,0.024,0.001,0.001,0.01,-0.093,0.081,0.174,-0.441,3.442,0.002
VEPL_a150,1,135,0.005,0.028,0.002,0.003,0.016,-0.067,0.109,0.175,0.863,2.547,0.002
VESU_a45,1,642,0.003,0.028,0.002,0.003,0.016,-0.2,0.12,0.321,-1.007,9.013,0.001
MEPL_a135,1,91,0.002,0.032,0.003,0.002,0.023,-0.115,0.086,0.201,-0.197,1.6,0.003
MESA_a180,1,52,0.004,0.024,0.005,0.007,0.015,-0.09,0.043,0.133,-1.709,3.959,0.003
SUPL_a120,1,111,0.003,0.023,0.002,0.003,0.016,-0.06,0.085,0.145,0.404,1.549,0.002
MAPL_a135,1,77,-0.001,0.024,0.001,0,0.015,-0.115,0.055,0.17,-1.348,4.823,0.003
MASA_a180,1,44,0.011,0.028,0.009,0.013,0.021,-0.089,0.066,0.156,-1.132,3.097,0.004
MEPL_a150,1,112,-0.002,0.029,-0.002,-0.001,0.016,-0.09,0.094,0.184,-0.019,2.101,0.003
VEPL_a180,1,58,0.001,0.027,0.003,0.001,0.017,-0.072,0.073,0.145,-0.074,0.972,0.004
SUPL_a135,1,109,0.001,0.025,0.002,0.002,0.016,-0.093,0.066,0.159,-0.956,3.05,0.002
SUSA_a180,1,64,0.001,0.026,0.002,0.002,0.014,-0.068,0.055,0.123,-0.531,0.636,0.003
SUMA_a0,1,101,0.004,0.029,0,0.003,0.014,-0.075,0.109,0.184,0.69,2.401,0.003
MAPL_a150,1,77,0.012,0.025,0.006,0.011,0.021,-0.043,0.085,0.128,0.565,0.059,0.003
MAJU_a60,1,95,0.003,0.02,0,0.002,0.014,-0.034,0.073,0.107,0.912,1.307,0.002
SUPL_a150,1,110,0.002,0.025,0.001,0.001,0.018,-0.062,0.085,0.148,0.439,1.674,0.002
MANE_a103,1,138,0.006,0.03,0.005,0.006,0.018,-0.089,0.086,0.175,-0.168,1.665,0.003
VEJU_a0,1,108,0.002,0.023,0.002,0.002,0.016,-0.064,0.086,0.15,0.188,1.961,0.002
MAJU_a45,1,97,0,0.03,0.001,0.001,0.026,-0.115,0.08,0.195,-0.561,1.559,0.003
SUPL_a180,1,67,-0.003,0.027,0,-0.002,0.016,-0.075,0.074,0.149,-0.06,0.872,0.003
MANE_a120,1,83,0,0.032,0,0.002,0.029,-0.12,0.081,0.201,-0.681,1.783,0.003
MAPL_a180,1,46,0.009,0.029,0.005,0.008,0.029,-0.047,0.104,0.151,0.719,1.122,0.004
MEJU_a45,1,145,0.004,0.039,-0.003,0.001,0.024,-0.115,0.221,0.336,1.319,6.877,0.003
SUJU_a30,1,124,0.006,0.034,0.002,0.003,0.017,-0.115,0.221,0.336,2.109,13.022,0.003
MEPL_a180,1,56,0.004,0.023,0.001,0.004,0.023,-0.054,0.071,0.125,0.21,0.249,0.003
URNE_a45,1,1523,0.003,0.03,0.002,0.003,0.019,-0.2,0.221,0.422,-0.091,5.632,0.001
