PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
CE_AQU,262,256,518,0.51,0.49
CE_ARI,145,137,282,0.51,0.49
CE_CAN,175,150,325,0.54,0.46
CE_CAP,171,178,349,0.49,0.51
CE_GEM,130,127,257,0.51,0.49
CE_LEO,163,189,352,0.46,0.54
CE_LIB,158,152,310,0.51,0.49
CE_PIS,251,221,472,0.53,0.47
CE_SAG,225,246,471,0.48,0.52
CE_SCO,195,204,399,0.49,0.51
CE_TAU,203,181,384,0.53,0.47
CE_VIR,176,161,337,0.52,0.48
CH_AQU,713,677,1390,0.51,0.49
CH_ARI,304,315,619,0.49,0.51
CH_CAP,219,188,407,0.54,0.46
CH_PIS,1018,1022,2040,0.5,0.5
EM_AQU,251,254,505,0.5,0.5
EM_ARI,227,260,487,0.47,0.53
EM_CAN,120,111,231,0.52,0.48
EM_CAP,212,170,382,0.55,0.45
EM_GEM,204,193,397,0.51,0.49
EM_LEO,237,246,483,0.49,0.51
EM_LIB,170,188,358,0.47,0.53
EM_PIS,181,170,351,0.52,0.48
EM_SAG,196,182,378,0.52,0.48
EM_SCO,124,148,272,0.46,0.54
EM_TAU,135,100,235,0.57,0.43
EM_VIR,197,180,377,0.52,0.48
ES_AQU,177,179,356,0.5,0.5
ES_ARI,187,193,380,0.49,0.51
ES_CAN,327,305,632,0.52,0.48
ES_CAP,235,247,482,0.49,0.51
ES_GEM,74,75,149,0.5,0.5
ES_LEO,172,186,358,0.48,0.52
ES_LIB,136,116,252,0.54,0.46
ES_PIS,273,229,502,0.54,0.46
ES_SAG,145,108,253,0.57,0.43
ES_SCO,183,177,360,0.51,0.49
ES_TAU,117,135,252,0.46,0.54
ES_VIR,228,252,480,0.48,0.52
JN_AQU,203,158,361,0.56,0.44
JN_ARI,100,124,224,0.45,0.55
JN_CAN,92,82,174,0.53,0.47
JN_CAP,290,275,565,0.51,0.49
JN_GEM,131,172,303,0.43,0.57
JN_LEO,158,170,328,0.48,0.52
JN_LIB,319,287,606,0.53,0.47
JN_PIS,146,119,265,0.55,0.45
JN_SAG,241,261,502,0.48,0.52
JN_SCO,250,245,495,0.51,0.49
JN_TAU,134,129,263,0.51,0.49
JN_VIR,190,180,370,0.51,0.49
JU_AQU,164,132,296,0.55,0.45
JU_ARI,84,79,163,0.52,0.48
JU_CAN,145,129,274,0.53,0.47
JU_CAP,256,285,541,0.47,0.53
JU_GEM,142,130,272,0.52,0.48
JU_LEO,126,153,279,0.45,0.55
JU_LIB,281,281,562,0.5,0.5
JU_PIS,103,92,195,0.53,0.47
JU_SAG,286,264,550,0.52,0.48
JU_SCO,292,271,563,0.52,0.48
JU_TAU,133,133,266,0.5,0.5
JU_VIR,242,253,495,0.49,0.51
MA_AQU,154,185,339,0.45,0.55
MA_ARI,223,183,406,0.55,0.45
MA_CAN,195,182,377,0.52,0.48
MA_CAP,158,139,297,0.53,0.47
MA_GEM,177,166,343,0.52,0.48
MA_LEO,220,225,445,0.49,0.51
MA_LIB,218,216,434,0.5,0.5
MA_PIS,129,141,270,0.48,0.52
MA_SAG,167,175,342,0.49,0.51
MA_SCO,175,176,351,0.5,0.5
MA_TAU,215,189,404,0.53,0.47
MA_VIR,223,225,448,0.5,0.5
ME_AQU,178,185,363,0.49,0.51
ME_ARI,203,173,376,0.54,0.46
ME_CAN,189,178,367,0.51,0.49
ME_CAP,205,185,390,0.53,0.47
ME_GEM,141,154,295,0.48,0.52
ME_LEO,183,198,381,0.48,0.52
ME_LIB,162,196,358,0.45,0.55
ME_PIS,199,190,389,0.51,0.49
ME_SAG,209,223,432,0.48,0.52
ME_SCO,244,187,431,0.57,0.43
ME_TAU,162,156,318,0.51,0.49
ME_VIR,179,177,356,0.5,0.5
MO_AQU,177,192,369,0.48,0.52
MO_ARI,199,174,373,0.53,0.47
MO_CAN,186,189,375,0.5,0.5
MO_CAP,188,186,374,0.5,0.5
MO_GEM,180,185,365,0.49,0.51
MO_LEO,201,170,371,0.54,0.46
MO_LIB,171,202,373,0.46,0.54
MO_PIS,198,173,371,0.53,0.47
MO_SAG,196,176,372,0.53,0.47
MO_SCO,199,171,370,0.54,0.46
MO_TAU,185,185,370,0.5,0.5
MO_VIR,174,199,373,0.47,0.53
NE_AQU,1051,981,2032,0.52,0.48
NE_PIS,1203,1221,2424,0.5,0.5
NN_AQU,189,209,398,0.47,0.53
NN_ARI,201,202,403,0.5,0.5
NN_CAN,193,211,404,0.48,0.52
NN_CAP,212,193,405,0.52,0.48
NN_GEM,98,69,167,0.59,0.41
NN_LEO,204,198,402,0.51,0.49
NN_LIB,191,214,405,0.47,0.53
NN_PIS,223,178,401,0.56,0.44
NN_SAG,202,202,404,0.5,0.5
NN_SCO,212,192,404,0.52,0.48
NN_TAU,142,116,258,0.55,0.45
NN_VIR,187,218,405,0.46,0.54
PA_AQU,249,229,478,0.52,0.48
PA_ARI,208,168,376,0.55,0.45
PA_CAN,80,74,154,0.52,0.48
PA_CAP,322,295,617,0.52,0.48
PA_GEM,133,152,285,0.47,0.53
PA_LEO,102,109,211,0.48,0.52
PA_LIB,213,242,455,0.47,0.53
PA_PIS,272,254,526,0.52,0.48
PA_SAG,176,184,360,0.49,0.51
PA_SCO,186,180,366,0.51,0.49
PA_TAU,145,143,288,0.5,0.5
PA_VIR,168,172,340,0.49,0.51
PH_CAP,297,300,597,0.5,0.5
PH_SAG,1706,1662,3368,0.51,0.49
PH_SCO,251,240,491,0.51,0.49
PL_CAP,1637,1628,3265,0.5,0.5
PL_SAG,617,574,1191,0.52,0.48
SA_AQU,54,46,100,0.54,0.46
SA_CAN,220,201,421,0.52,0.48
SA_CAP,350,357,707,0.5,0.5
SA_LEO,299,255,554,0.54,0.46
SA_LIB,356,334,690,0.52,0.48
SA_SAG,345,364,709,0.49,0.51
SA_SCO,319,327,646,0.49,0.51
