PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,64,30,94,0.68,0.32
JUNE_a103,66,74,140,0.47,0.53
JUNE_a120,87,86,173,0.5,0.5
JUNE_a135,44,54,98,0.45,0.55
JUNE_a150,88,95,183,0.48,0.52
JUNE_a180,42,48,90,0.47,0.53
JUNE_a30,66,74,140,0.47,0.53
JUNE_a45,61,64,125,0.49,0.51
JUNE_a60,92,95,187,0.49,0.51
JUNE_a90,130,98,228,0.57,0.43
JUPL_a0,60,52,112,0.54,0.46
JUPL_a103,81,65,146,0.55,0.45
JUPL_a120,95,90,185,0.51,0.49
JUPL_a135,55,52,107,0.51,0.49
JUPL_a150,100,93,193,0.52,0.48
JUPL_a180,66,55,121,0.55,0.45
JUPL_a30,92,55,147,0.63,0.37
JUPL_a45,146,106,252,0.58,0.42
JUPL_a60,66,47,113,0.58,0.42
JUPL_a90,104,66,170,0.61,0.39
JUSA_a0,28,25,53,0.53,0.47
JUSA_a103,111,86,197,0.56,0.44
JUSA_a120,118,79,197,0.6,0.4
JUSA_a135,48,52,100,0.48,0.52
JUSA_a150,34,35,69,0.49,0.51
JUSA_a180,24,26,50,0.48,0.52
JUSA_a30,122,110,232,0.53,0.47
JUSA_a45,129,112,241,0.54,0.46
JUSA_a60,120,103,223,0.54,0.46
JUSA_a90,109,94,203,0.54,0.46
JUUR_a0,53,50,103,0.51,0.49
JUUR_a103,111,94,205,0.54,0.46
JUUR_a120,65,61,126,0.52,0.48
JUUR_a135,94,50,144,0.65,0.35
JUUR_a150,84,62,146,0.58,0.42
JUUR_a180,40,39,79,0.51,0.49
JUUR_a30,121,74,195,0.62,0.38
JUUR_a45,103,107,210,0.49,0.51
JUUR_a60,84,88,172,0.49,0.51
JUUR_a90,94,81,175,0.54,0.46
MAJU_a0,49,31,80,0.61,0.39
MAJU_a103,76,60,136,0.56,0.44
MAJU_a120,71,79,150,0.47,0.53
MAJU_a135,71,67,138,0.51,0.49
MAJU_a150,105,70,175,0.6,0.4
MAJU_a180,66,77,143,0.46,0.54
MAJU_a30,75,70,145,0.52,0.48
MAJU_a45,69,64,133,0.52,0.48
MAJU_a60,72,59,131,0.55,0.45
MAJU_a90,75,78,153,0.49,0.51
MANE_a0,31,31,62,0.5,0.5
MANE_a103,82,65,147,0.56,0.44
MANE_a120,66,80,146,0.45,0.55
MANE_a135,96,79,175,0.55,0.45
MANE_a150,100,72,172,0.58,0.42
MANE_a180,34,50,84,0.4,0.6
MANE_a30,92,69,161,0.57,0.43
MANE_a45,94,90,184,0.51,0.49
MANE_a60,80,50,130,0.62,0.38
MANE_a90,79,84,163,0.48,0.52
MAPL_a0,32,34,66,0.48,0.52
MAPL_a103,98,59,157,0.62,0.38
MAPL_a120,76,73,149,0.51,0.49
MAPL_a135,96,92,188,0.51,0.49
MAPL_a150,101,77,178,0.57,0.43
MAPL_a180,41,37,78,0.53,0.47
MAPL_a30,90,76,166,0.54,0.46
MAPL_a45,90,83,173,0.52,0.48
MAPL_a60,95,69,164,0.58,0.42
MAPL_a90,93,100,193,0.48,0.52
MASA_a0,41,30,71,0.58,0.42
MASA_a103,63,47,110,0.57,0.43
MASA_a120,85,49,134,0.63,0.37
MASA_a135,59,53,112,0.53,0.47
MASA_a150,67,68,135,0.5,0.5
MASA_a180,58,43,101,0.57,0.43
MASA_a30,113,89,202,0.56,0.44
MASA_a45,114,84,198,0.58,0.42
MASA_a60,110,80,190,0.58,0.42
MASA_a90,102,73,175,0.58,0.42
MAUR_a0,42,47,89,0.47,0.53
MAUR_a103,89,78,167,0.53,0.47
MAUR_a120,100,67,167,0.6,0.4
MAUR_a135,88,100,188,0.47,0.53
MAUR_a150,113,101,214,0.53,0.47
MAUR_a180,44,37,81,0.54,0.46
MAUR_a30,69,49,118,0.58,0.42
MAUR_a45,53,69,122,0.43,0.57
MAUR_a60,95,75,170,0.56,0.44
MAUR_a90,94,66,160,0.59,0.41
MEJU_a0,53,50,103,0.51,0.49
MEJU_a103,79,72,151,0.52,0.48
MEJU_a120,75,64,139,0.54,0.46
MEJU_a135,85,65,150,0.57,0.43
MEJU_a150,64,77,141,0.45,0.55
MEJU_a180,25,34,59,0.42,0.58
MEJU_a30,107,78,185,0.58,0.42
MEJU_a45,122,103,225,0.54,0.46
MEJU_a60,88,76,164,0.54,0.46
MEJU_a90,91,79,170,0.54,0.46
MEMA_a0,84,69,153,0.55,0.45
MEMA_a103,86,78,164,0.52,0.48
MEMA_a120,39,36,75,0.52,0.48
MEMA_a135,36,36,72,0.5,0.5
MEMA_a150,32,25,57,0.56,0.44
MEMA_a180,13,14,27,0.48,0.52
MEMA_a30,147,125,272,0.54,0.46
MEMA_a45,147,152,299,0.49,0.51
MEMA_a60,100,98,198,0.51,0.49
MEMA_a90,88,87,175,0.5,0.5
MENE_a0,54,35,89,0.61,0.39
MENE_a103,79,74,153,0.52,0.48
MENE_a120,86,84,170,0.51,0.49
MENE_a135,106,101,207,0.51,0.49
MENE_a150,68,63,131,0.52,0.48
MENE_a180,49,47,96,0.51,0.49
MENE_a30,103,76,179,0.58,0.42
MENE_a45,89,78,167,0.53,0.47
MENE_a60,80,61,141,0.57,0.43
MENE_a90,101,89,190,0.53,0.47
MEPL_a0,48,43,91,0.53,0.47
MEPL_a103,86,80,166,0.52,0.48
MEPL_a120,88,80,168,0.52,0.48
MEPL_a135,69,50,119,0.58,0.42
MEPL_a150,86,77,163,0.53,0.47
MEPL_a180,26,22,48,0.54,0.46
MEPL_a30,91,71,162,0.56,0.44
MEPL_a45,104,81,185,0.56,0.44
MEPL_a60,97,87,184,0.53,0.47
MEPL_a90,85,77,162,0.52,0.48
MESA_a0,45,50,95,0.47,0.53
MESA_a103,90,90,180,0.5,0.5
MESA_a120,91,60,151,0.6,0.4
MESA_a135,93,88,181,0.51,0.49
MESA_a150,81,63,144,0.56,0.44
MESA_a180,40,22,62,0.65,0.35
MESA_a30,72,106,178,0.4,0.6
MESA_a45,114,83,197,0.58,0.42
MESA_a60,81,89,170,0.48,0.52
MESA_a90,95,71,166,0.57,0.43
MESU_a0,231,205,436,0.53,0.47
MEUR_a0,44,43,87,0.51,0.49
MEUR_a103,91,76,167,0.54,0.46
MEUR_a120,80,90,170,0.47,0.53
MEUR_a135,82,91,173,0.47,0.53
MEUR_a150,92,74,166,0.55,0.45
MEUR_a180,59,30,89,0.66,0.34
MEUR_a30,102,86,188,0.54,0.46
MEUR_a45,82,92,174,0.47,0.53
MEUR_a60,94,80,174,0.54,0.46
MEUR_a90,93,81,174,0.53,0.47
MEVE_a0,137,117,254,0.54,0.46
MEVE_a30,285,285,570,0.5,0.5
MEVE_a45,197,176,373,0.53,0.47
MEVE_a60,193,145,338,0.57,0.43
MOJU_a0,122,143,265,0.46,0.54
MOJU_a103,276,259,535,0.52,0.48
MOJU_a120,286,242,528,0.54,0.46
MOJU_a135,249,269,518,0.48,0.52
MOJU_a150,279,240,519,0.54,0.46
MOJU_a180,129,117,246,0.52,0.48
MOJU_a30,275,243,518,0.53,0.47
MOJU_a45,290,235,525,0.55,0.45
MOJU_a60,270,231,501,0.54,0.46
MOJU_a90,283,236,519,0.55,0.45
MOMA_a0,143,113,256,0.56,0.44
