PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUNE_a135,1,13,0.081,0.142,0.102,0.073,0.079,-0.135,0.393,0.528,0.275,-0.306,0.039
JUUR_a180,1,13,0.081,0.142,0.102,0.073,0.079,-0.135,0.393,0.528,0.275,-0.306,0.039
MAJU_a45,1,26,-0.003,0.061,0.004,-0.004,0.037,-0.121,0.127,0.248,0.199,-0.15,0.012
MANE_a180,1,11,0.011,0.076,-0.001,0.012,0.046,-0.121,0.127,0.248,0.176,-1.144,0.023
MAUR_a135,1,24,0.036,0.063,0.034,0.037,0.046,-0.121,0.176,0.297,0.003,0.332,0.013
MEPL_a120,1,15,-0.007,0.04,0.003,-0.002,0.042,-0.121,0.046,0.166,-1.241,1.703,0.01
MOVE_a60,1,85,0.007,0.064,0.001,0.004,0.05,-0.16,0.367,0.527,1.879,10.105,0.007
URNE_a45,1,636,0.007,0.061,0.002,0.004,0.046,-0.255,0.393,0.648,0.636,4.69,0.002
MOSA_a45,1,90,0.005,0.069,0.001,0.001,0.052,-0.206,0.393,0.599,1.809,10.113,0.007
MOMA_a60,1,87,0,0.07,-0.001,0,0.042,-0.255,0.358,0.613,0.724,8.21,0.008
MONE_a120,1,89,0.005,0.066,0.002,0.003,0.044,-0.255,0.198,0.453,0.056,2.745,0.007
MOPL_a60,1,91,-0.004,0.05,-0.001,-0.004,0.04,-0.135,0.134,0.269,-0.069,0.318,0.005
MOSU_a45,1,85,0.013,0.066,0.006,0.008,0.055,-0.1,0.358,0.459,1.801,7.172,0.007
MOME_a60,1,88,0.002,0.053,-0.001,0,0.04,-0.122,0.285,0.407,1.653,8.09,0.006
MOSA_a30,1,92,0.008,0.059,0.002,0.006,0.037,-0.122,0.209,0.331,0.561,1.407,0.006
MESA_a90,1,41,0.015,0.047,0.007,0.013,0.04,-0.072,0.127,0.199,0.41,-0.174,0.007
MOJU_a30,1,91,0.002,0.056,-0.001,0.002,0.042,-0.195,0.183,0.377,-0.035,1.754,0.006
MOUR_a150,1,91,0.007,0.048,0.007,0.006,0.035,-0.109,0.127,0.237,0.272,0.264,0.005
MONE_a103,1,90,0.008,0.047,0.004,0.006,0.039,-0.121,0.15,0.272,0.358,1.156,0.005
SUPL_a103,1,30,0.01,0.051,0.003,0.003,0.034,-0.068,0.155,0.223,1.164,1.017,0.009
MOPL_a45,1,92,0.007,0.066,0.003,0.001,0.041,-0.156,0.367,0.523,2.317,10.834,0.007
MOSU_a60,1,89,0.01,0.062,0.005,0.006,0.042,-0.16,0.367,0.527,2.015,10.69,0.007
MOVE_a90,1,87,0.01,0.046,0.005,0.007,0.044,-0.095,0.153,0.248,0.611,0.199,0.005
MOJU_a45,1,91,0.007,0.055,0.002,0.001,0.04,-0.105,0.331,0.436,2.397,11.499,0.006
VESA_a103,1,25,0.024,0.061,0.02,0.023,0.044,-0.122,0.155,0.277,0.125,0.15,0.012
MONE_a90,1,89,0.002,0.053,0.002,-0.001,0.045,-0.117,0.183,0.3,0.64,1.1,0.006
MOUR_a135,1,89,-0.002,0.052,-0.004,-0.003,0.051,-0.158,0.152,0.31,0.141,0.877,0.005
MOMA_a90,1,88,0.017,0.065,0.008,0.012,0.035,-0.158,0.254,0.412,0.889,2.229,0.007
MOPL_a30,1,92,0.011,0.06,0.004,0.008,0.05,-0.122,0.184,0.306,0.544,0.66,0.006
MOVE_a103,1,83,0,0.052,-0.009,-0.006,0.044,-0.09,0.198,0.287,1.148,1.728,0.006
MOSA_a0,1,45,0.018,0.052,0.012,0.016,0.031,-0.105,0.162,0.268,0.422,1.342,0.008
