PlanetElement,buy,sell,daysN,BuyDays%,SellDays%
CE_AIR,1751,1345,3096,0.57,0.43
CE_EAR,1746,1359,3105,0.56,0.44
CE_FIR,1850,1402,3252,0.57,0.43
CE_WAT,1746,1401,3147,0.55,0.45
CH_AIR,1650,1307,2957,0.56,0.44
CH_EAR,1828,1335,3163,0.58,0.42
CH_FIR,1787,1461,3248,0.55,0.45
CH_WAT,1828,1404,3232,0.57,0.43
EM_AIR,1928,1484,3412,0.57,0.43
EM_EAR,1739,1349,3088,0.56,0.44
EM_FIR,1971,1529,3500,0.56,0.44
EM_WAT,1455,1145,2600,0.56,0.44
ES_AIR,1516,1233,2749,0.55,0.45
ES_EAR,1718,1398,3116,0.55,0.45
ES_FIR,1759,1346,3105,0.57,0.43
ES_WAT,2100,1530,3630,0.58,0.42
JN_AIR,1859,1404,3263,0.57,0.43
JN_EAR,1741,1296,3037,0.57,0.43
JN_FIR,1726,1396,3122,0.55,0.45
JN_WAT,1767,1411,3178,0.56,0.44
JU_AIR,1745,1333,3078,0.57,0.43
JU_EAR,1755,1431,3186,0.55,0.45
JU_FIR,1827,1364,3191,0.57,0.43
JU_WAT,1766,1379,3145,0.56,0.44
MA_AIR,1803,1395,3198,0.56,0.44
MA_EAR,1786,1336,3122,0.57,0.43
MA_FIR,1791,1419,3210,0.56,0.44
MA_WAT,1713,1357,3070,0.56,0.44
ME_AIR,1688,1397,3085,0.55,0.45
ME_EAR,1759,1301,3060,0.57,0.43
ME_FIR,1839,1372,3211,0.57,0.43
ME_WAT,1807,1437,3244,0.56,0.44
MO_AIR,1781,1362,3143,0.57,0.43
MO_EAR,1783,1376,3159,0.56,0.44
MO_FIR,1784,1371,3155,0.57,0.43
MO_WAT,1745,1398,3143,0.56,0.44
NE_AIR,1793,1581,3374,0.53,0.47
NE_EAR,2021,1487,3508,0.58,0.42
NE_FIR,1928,1448,3376,0.57,0.43
NE_WAT,1351,991,2342,0.58,0.42
NN_AIR,1775,1440,3215,0.55,0.45
NN_EAR,1805,1322,3127,0.58,0.42
NN_FIR,1768,1369,3137,0.56,0.44
NN_WAT,1745,1376,3121,0.56,0.44
PA_AIR,1777,1530,3307,0.54,0.46
PA_EAR,1786,1326,3112,0.57,0.43
PA_FIR,1757,1293,3050,0.58,0.42
PA_WAT,1773,1358,3131,0.57,0.43
PH_AIR,854,614,1468,0.58,0.42
PH_EAR,1147,779,1926,0.6,0.4
PH_FIR,2723,2184,4907,0.55,0.45
PH_WAT,2369,1930,4299,0.55,0.45
PL_AIR,1750,1302,3052,0.57,0.43
PL_EAR,1942,1451,3393,0.57,0.43
PL_FIR,1744,1508,3252,0.54,0.46
PL_WAT,1657,1246,2903,0.57,0.43
SA_AIR,1784,1484,3268,0.55,0.45
SA_EAR,1843,1391,3234,0.57,0.43
SA_FIR,1815,1307,3122,0.58,0.42
SA_WAT,1651,1325,2976,0.55,0.45
SN_AIR,1768,1369,3137,0.56,0.44
SN_EAR,1745,1376,3121,0.56,0.44
SN_FIR,1775,1440,3215,0.55,0.45
SN_WAT,1805,1322,3127,0.58,0.42
SU_AIR,1785,1379,3164,0.56,0.44
SU_EAR,1779,1309,3088,0.58,0.42
SU_FIR,1738,1433,3171,0.55,0.45
SU_WAT,1791,1386,3177,0.56,0.44
UR_AIR,1593,1374,2967,0.54,0.46
UR_EAR,1400,1020,2420,0.58,0.42
UR_FIR,2069,1603,3672,0.56,0.44
UR_WAT,2031,1510,3541,0.57,0.43
VE_AIR,1831,1402,3233,0.57,0.43
VE_EAR,1719,1350,3069,0.56,0.44
VE_FIR,1792,1428,3220,0.56,0.44
VE_WAT,1751,1327,3078,0.57,0.43
VS_AIR,1803,1541,3344,0.54,0.46
VS_EAR,1755,1442,3197,0.55,0.45
VS_FIR,1810,1274,3084,0.59,0.41
VS_WAT,1725,1250,2975,0.58,0.42
