PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1357,1265,2622,0.52,0.48
CE_FIX,Ceres,Fixed,1321,1183,2504,0.53,0.47
CE_MUT,Ceres,Mutable,1467,1388,2855,0.51,0.49
CH_CAR,Chiron,Cardinal,1558,1386,2944,0.53,0.47
CH_FIX,Chiron,Fixed,1407,1380,2787,0.5,0.5
CH_MUT,Chiron,Mutable,1180,1070,2250,0.52,0.48
JN_CAR,Juno,Cardinal,1420,1348,2768,0.51,0.49
JN_FIX,Juno,Fixed,1348,1205,2553,0.53,0.47
JN_MUT,Juno,Mutable,1377,1283,2660,0.52,0.48
JU_CAR,Jupiter,Cardinal,1335,1242,2577,0.52,0.48
JU_FIX,Jupiter,Fixed,1367,1279,2646,0.52,0.48
JU_MUT,Jupiter,Mutable,1443,1315,2758,0.52,0.48
MA_CAR,Mars,Cardinal,1409,1328,2737,0.51,0.49
MA_FIX,Mars,Fixed,1386,1287,2673,0.52,0.48
MA_MUT,Mars,Mutable,1350,1221,2571,0.53,0.47
ME_CAR,Mercury,Cardinal,1349,1295,2644,0.51,0.49
ME_FIX,Mercury,Fixed,1462,1235,2697,0.54,0.46
ME_MUT,Mercury,Mutable,1334,1306,2640,0.51,0.49
MO_CAR,Moon,Cardinal,1386,1275,2661,0.52,0.48
MO_FIX,Moon,Fixed,1406,1265,2671,0.53,0.47
MO_MUT,Moon,Mutable,1353,1296,2649,0.51,0.49
NE_CAR,Neptune,Cardinal,1898,1610,3508,0.54,0.46
NE_FIX,Neptune,Fixed,466,486,952,0.49,0.51
NE_MUT,Neptune,Mutable,1781,1740,3521,0.51,0.49
NN_CAR,NNode,Cardinal,1432,1253,2685,0.53,0.47
NN_FIX,NNode,Fixed,1425,1317,2742,0.52,0.48
NN_MUT,NNode,Mutable,1288,1266,2554,0.5,0.5
PA_CAR,Pallas,Cardinal,1262,1183,2445,0.52,0.48
PA_FIX,Pallas,Fixed,1495,1327,2822,0.53,0.47
PA_MUT,Pallas,Mutable,1388,1326,2714,0.51,0.49
PH_CAR,Pholus,Cardinal,1253,1187,2440,0.51,0.49
PH_FIX,Pholus,Fixed,1015,933,1948,0.52,0.48
PH_MUT,Pholus,Mutable,1877,1716,3593,0.52,0.48
PL_CAR,Pluto,Cardinal,1529,1523,3052,0.5,0.5
PL_FIX,Pluto,Fixed,1562,1341,2903,0.54,0.46
PL_MUT,Pluto,Mutable,1054,972,2026,0.52,0.48
SA_CAR,Saturn,Cardinal,1278,1198,2476,0.52,0.48
SA_FIX,Saturn,Fixed,1555,1428,2983,0.52,0.48
SA_MUT,Saturn,Mutable,1312,1210,2522,0.52,0.48
SN_CAR,SNode,Cardinal,1432,1253,2685,0.53,0.47
SN_FIX,SNode,Fixed,1425,1317,2742,0.52,0.48
SN_MUT,SNode,Mutable,1288,1266,2554,0.5,0.5
SU_CAR,Sun,Cardinal,1351,1274,2625,0.51,0.49
SU_FIX,Sun,Fixed,1407,1309,2716,0.52,0.48
SU_MUT,Sun,Mutable,1387,1253,2640,0.53,0.47
UR_CAR,Uranus,Cardinal,1657,1488,3145,0.53,0.47
UR_FIX,Uranus,Fixed,1561,1542,3103,0.5,0.5
UR_MUT,Uranus,Mutable,927,806,1733,0.53,0.47
VE_CAR,Venus,Cardinal,1364,1297,2661,0.51,0.49
VE_FIX,Venus,Fixed,1419,1312,2731,0.52,0.48
VE_MUT,Venus,Mutable,1362,1227,2589,0.53,0.47
VS_CAR,Vesta,Cardinal,1366,1314,2680,0.51,0.49
VS_FIX,Vesta,Fixed,1380,1353,2733,0.5,0.5
VS_MUT,Vesta,Mutable,1399,1169,2568,0.54,0.46
