PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,62,49,111,0.56,0.44
JUNE_a103,141,124,265,0.53,0.47
JUNE_a120,125,101,226,0.55,0.45
JUNE_a135,109,94,203,0.54,0.46
JUNE_a144,129,92,221,0.58,0.42
JUNE_a150,170,117,287,0.59,0.41
JUNE_a180,92,64,156,0.59,0.41
JUNE_a30,111,59,170,0.65,0.35
JUNE_a36,131,113,244,0.54,0.46
JUNE_a45,129,101,230,0.56,0.44
JUNE_a60,118,95,213,0.55,0.45
JUNE_a72,147,148,295,0.5,0.5
JUNE_a90,112,139,251,0.45,0.55
JUPL_a0,66,65,131,0.5,0.5
JUPL_a103,148,139,287,0.52,0.48
JUPL_a120,112,100,212,0.53,0.47
JUPL_a135,133,108,241,0.55,0.45
JUPL_a144,80,85,165,0.48,0.52
JUPL_a150,113,99,212,0.53,0.47
JUPL_a180,64,69,133,0.48,0.52
JUPL_a30,87,90,177,0.49,0.51
JUPL_a36,160,151,311,0.51,0.49
JUPL_a45,181,174,355,0.51,0.49
JUPL_a60,74,66,140,0.53,0.47
JUPL_a72,158,136,294,0.54,0.46
JUPL_a90,126,74,200,0.63,0.37
JUSA_a0,98,94,192,0.51,0.49
JUSA_a103,119,120,239,0.5,0.5
JUSA_a120,127,107,234,0.54,0.46
JUSA_a135,99,97,196,0.51,0.49
JUSA_a144,116,90,206,0.56,0.44
JUSA_a150,74,60,134,0.55,0.45
JUSA_a180,84,72,156,0.54,0.46
JUSA_a30,132,121,253,0.52,0.48
JUSA_a36,140,119,259,0.54,0.46
JUSA_a45,139,119,258,0.54,0.46
JUSA_a60,153,137,290,0.53,0.47
JUSA_a72,180,133,313,0.58,0.42
JUSA_a90,128,105,233,0.55,0.45
JUUR_a0,129,86,215,0.6,0.4
JUUR_a103,114,122,236,0.48,0.52
JUUR_a120,137,111,248,0.55,0.45
JUUR_a135,98,86,184,0.53,0.47
JUUR_a144,181,128,309,0.59,0.41
JUUR_a150,117,116,233,0.5,0.5
