PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3344,3120,6464,0.52,0.48
CE_POS,Ceres,Positive,3502,3125,6627,0.53,0.47
CH_NEG,Chiron,Negative,3357,3038,6395,0.52,0.48
CH_POS,Chiron,Positive,3489,3207,6696,0.52,0.48
JN_NEG,Juno,Negative,3352,3068,6420,0.52,0.48
JN_POS,Juno,Positive,3494,3177,6671,0.52,0.48
JU_NEG,Jupiter,Negative,3422,3146,6568,0.52,0.48
JU_POS,Jupiter,Positive,3424,3099,6523,0.52,0.48
MA_NEG,Mars,Negative,3374,3069,6443,0.52,0.48
MA_POS,Mars,Positive,3472,3176,6648,0.52,0.48
ME_NEG,Mercury,Negative,3437,3124,6561,0.52,0.48
ME_POS,Mercury,Positive,3409,3121,6530,0.52,0.48
MO_NEG,Moon,Negative,3425,3120,6545,0.52,0.48
MO_POS,Moon,Positive,3421,3125,6546,0.52,0.48
NE_NEG,Neptune,Negative,3351,2845,6196,0.54,0.46
NE_POS,Neptune,Positive,3495,3400,6895,0.51,0.49
NN_NEG,NNode,Negative,3410,3037,6447,0.53,0.47
NN_POS,NNode,Positive,3436,3208,6644,0.52,0.48
PA_NEG,Pallas,Negative,3429,3161,6590,0.52,0.48
PA_POS,Pallas,Positive,3417,3084,6501,0.53,0.47
PH_NEG,Pholus,Negative,3367,3146,6513,0.52,0.48
PH_POS,Pholus,Positive,3479,3099,6578,0.53,0.47
PL_NEG,Pluto,Negative,3664,3123,6787,0.54,0.46
PL_POS,Pluto,Positive,3182,3122,6304,0.5,0.5
SA_NEG,Saturn,Negative,3385,3103,6488,0.52,0.48
SA_POS,Saturn,Positive,3461,3142,6603,0.52,0.48
SN_NEG,SNode,Negative,3410,3037,6447,0.53,0.47
SN_POS,SNode,Positive,3436,3208,6644,0.52,0.48
SU_NEG,Sun,Negative,3361,3150,6511,0.52,0.48
SU_POS,Sun,Positive,3485,3095,6580,0.53,0.47
UR_NEG,Uranus,Negative,3200,2974,6174,0.52,0.48
UR_POS,Uranus,Positive,3646,3271,6917,0.53,0.47
VE_NEG,Venus,Negative,3354,3066,6420,0.52,0.48
VE_POS,Venus,Positive,3492,3179,6671,0.52,0.48
VS_NEG,Vesta,Negative,3348,3073,6421,0.52,0.48
VS_POS,Vesta,Positive,3498,3172,6670,0.52,0.48
