PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,1660,1607,3267,0.51,0.49
CE_POS,Ceres,Positive,1570,1529,3099,0.51,0.49
CH_NEG,Chiron,Negative,1730,1728,3458,0.5,0.5
CH_POS,Chiron,Positive,1500,1408,2908,0.52,0.48
JN_NEG,Juno,Negative,1438,1494,2932,0.49,0.51
JN_POS,Juno,Positive,1792,1642,3434,0.52,0.48
JU_NEG,Jupiter,Negative,1576,1623,3199,0.49,0.51
JU_POS,Jupiter,Positive,1654,1513,3167,0.52,0.48
MA_NEG,Mars,Negative,1594,1542,3136,0.51,0.49
MA_POS,Mars,Positive,1636,1594,3230,0.51,0.49
ME_NEG,Mercury,Negative,1633,1550,3183,0.51,0.49
ME_POS,Mercury,Positive,1597,1586,3183,0.5,0.5
MO_NEG,Moon,Negative,1626,1564,3190,0.51,0.49
MO_POS,Moon,Positive,1604,1572,3176,0.51,0.49
NE_NEG,Neptune,Negative,1482,1410,2892,0.51,0.49
NE_POS,Neptune,Positive,1748,1726,3474,0.5,0.5
NN_NEG,NNode,Negative,1630,1580,3210,0.51,0.49
NN_POS,NNode,Positive,1600,1556,3156,0.51,0.49
PA_NEG,Pallas,Negative,1595,1492,3087,0.52,0.48
PA_POS,Pallas,Positive,1635,1644,3279,0.5,0.5
PH_NEG,Pholus,Negative,1137,1135,2272,0.5,0.5
PH_POS,Pholus,Positive,2093,2001,4094,0.51,0.49
PL_NEG,Pluto,Negative,1686,1667,3353,0.5,0.5
PL_POS,Pluto,Positive,1544,1469,3013,0.51,0.49
SA_NEG,Saturn,Negative,1568,1544,3112,0.5,0.5
SA_POS,Saturn,Positive,1662,1592,3254,0.51,0.49
SN_NEG,SNode,Negative,1630,1580,3210,0.51,0.49
SN_POS,SNode,Positive,1600,1556,3156,0.51,0.49
SU_NEG,Sun,Negative,1612,1575,3187,0.51,0.49
SU_POS,Sun,Positive,1618,1561,3179,0.51,0.49
UR_NEG,Uranus,Negative,1343,1295,2638,0.51,0.49
UR_POS,Uranus,Positive,1887,1841,3728,0.51,0.49
VE_NEG,Venus,Negative,1588,1495,3083,0.52,0.48
VE_POS,Venus,Positive,1642,1641,3283,0.5,0.5
VS_NEG,Vesta,Negative,1550,1501,3051,0.51,0.49
VS_POS,Vesta,Positive,1680,1635,3315,0.51,0.49
