PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",529,539,1068,0.5,0.5,CAR
"CAR_(6,8]",Cardinal,"(6,8]",739,779,1518,0.49,0.51,CAR
"CAR_(8,14]",Cardinal,"(8,14]",360,300,660,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",1568,1478,3046,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",647,598,1245,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",440,456,896,0.49,0.51,FIX
"FIX_(7,14]",Fixed,"(7,14]",630,637,1267,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",1479,1405,2884,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",1210,1188,2398,0.5,0.5,MUT
"MUT_(6,7]",Mutable,"(6,7]",587,578,1165,0.5,0.5,MUT
"MUT_(7,13]",Mutable,"(7,13]",904,860,1764,0.51,0.49,MUT
"MUT_[0,4]",Mutable,"[0,4]",495,470,965,0.51,0.49,MUT
