MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,134,129,263,0.51,0.49
F_11_AQU,Full,Aquarius,135,136,271,0.5,0.5
F_12_PIS,Full,Pisces,109,104,213,0.51,0.49
F_1_ARI,Full,Aries,97,121,218,0.44,0.56
F_2_TAU,Full,Taurus,145,121,266,0.55,0.45
F_3_GEM,Full,Gemini,161,124,285,0.56,0.44
F_4_CAN,Full,Cancer,103,128,231,0.45,0.55
F_5_LEO,Full,Leo,169,123,292,0.58,0.42
F_6_VIR,Full,Virgo,132,137,269,0.49,0.51
F_7_LIB,Full,Libra,128,137,265,0.48,0.52
F_8_SCO,Full,Scorpio,147,117,264,0.56,0.44
F_9_SAG,Full,Sagittarius,149,143,292,0.51,0.49
N_10_CAP,New,Capricorn,143,152,295,0.48,0.52
N_11_AQU,New,Aquarius,125,116,241,0.52,0.48
N_12_PIS,New,Pisces,119,82,201,0.59,0.41
N_1_ARI,New,Aries,112,107,219,0.51,0.49
N_2_TAU,New,Taurus,140,144,284,0.49,0.51
N_3_GEM,New,Gemini,125,148,273,0.46,0.54
N_4_CAN,New,Cancer,144,138,282,0.51,0.49
N_5_LEO,New,Leo,109,145,254,0.43,0.57
N_6_VIR,New,Virgo,147,157,304,0.48,0.52
N_7_LIB,New,Libra,124,125,249,0.5,0.5
N_8_SCO,New,Scorpio,144,127,271,0.53,0.47
N_9_SAG,New,Sagittarius,138,126,264,0.52,0.48
