PlanetVedicMansion,Planet,VedicMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_VM01,Ceres,Aswini,121,118,239,0.51,0.49
CE_VM02,Ceres,Bharani,111,118,229,0.48,0.52
CE_VM03,Ceres,Krittica,124,105,229,0.54,0.46
CE_VM04,Ceres,Rohini,95,118,213,0.45,0.55
CE_VM05,Ceres,Mrigashira,119,101,220,0.54,0.46
CE_VM06,Ceres,Ardra,100,100,200,0.5,0.5
CE_VM07,Ceres,Punavasu,96,120,216,0.44,0.56
CE_VM08,Ceres,Pushya,86,87,173,0.5,0.5
CE_VM09,Ceres,Ashlesha,86,104,190,0.45,0.55
CE_VM10,Ceres,Magha,94,92,186,0.51,0.49
CE_VM11,Ceres,PurvaPhalguni,82,96,178,0.46,0.54
CE_VM12,Ceres,UttaraPhalguni,105,95,200,0.52,0.48
CE_VM13,Ceres,Hasta,81,86,167,0.49,0.51
CE_VM14,Ceres,Chitra,115,118,233,0.49,0.51
CE_VM15,Ceres,Swati,103,86,189,0.54,0.46
CE_VM16,Ceres,Vishakha,120,104,224,0.54,0.46
CE_VM17,Ceres,Anuradha,134,76,210,0.64,0.36
CE_VM18,Ceres,Jyeshtha,115,99,214,0.54,0.46
CE_VM19,Ceres,Mula,110,136,246,0.45,0.55
CE_VM20,Ceres,PurvaAshada,136,132,268,0.51,0.49
CE_VM21,Ceres,UttaraAshada,159,123,282,0.56,0.44
CE_VM22,Ceres,Shravana,149,129,278,0.54,0.46
CE_VM23,Ceres,Danishtha,161,154,315,0.51,0.49
CE_VM24,Ceres,Shatabhisha,201,205,406,0.5,0.5
CE_VM25,Ceres,PurvaBhadrapada,117,144,261,0.45,0.55
CE_VM26,Ceres,UttaraBhadrapada,130,125,255,0.51,0.49
CE_VM27,Ceres,Revati,132,119,251,0.53,0.47
CH_VM14,Chiron,Chitra,81,76,157,0.52,0.48
CH_VM15,Chiron,Swati,112,72,184,0.61,0.39
CH_VM16,Chiron,Vishakha,108,89,197,0.55,0.45
CH_VM17,Chiron,Anuradha,120,148,268,0.45,0.55
CH_VM18,Chiron,Jyeshtha,173,160,333,0.52,0.48
CH_VM19,Chiron,Mula,190,165,355,0.54,0.46
CH_VM20,Chiron,PurvaAshada,171,228,399,0.43,0.57
CH_VM21,Chiron,UttaraAshada,264,235,499,0.53,0.47
CH_VM22,Chiron,Shravana,319,292,611,0.52,0.48
CH_VM23,Chiron,Danishtha,329,331,660,0.5,0.5
CH_VM24,Chiron,Shatabhisha,454,434,888,0.51,0.49
CH_VM25,Chiron,PurvaBhadrapada,442,442,884,0.5,0.5
CH_VM26,Chiron,UttaraBhadrapada,419,418,837,0.5,0.5
JN_VM01,Juno,Aswini,56,52,108,0.52,0.48
JN_VM02,Juno,Bharani,65,56,121,0.54,0.46
JN_VM03,Juno,Krittica,112,92,204,0.55,0.45
JN_VM04,Juno,Rohini,82,79,161,0.51,0.49
JN_VM05,Juno,Mrigashira,91,80,171,0.53,0.47
JN_VM06,Juno,Ardra,48,62,110,0.44,0.56
JN_VM07,Juno,Punavasu,57,56,113,0.5,0.5
JN_VM08,Juno,Pushya,102,89,191,0.53,0.47
JN_VM09,Juno,Ashlesha,141,134,275,0.51,0.49
JN_VM10,Juno,Magha,105,92,197,0.53,0.47
JN_VM11,Juno,PurvaPhalguni,102,97,199,0.51,0.49
JN_VM12,Juno,UttaraPhalguni,192,162,354,0.54,0.46
JN_VM13,Juno,Hasta,190,190,380,0.5,0.5
JN_VM14,Juno,Chitra,178,184,362,0.49,0.51
JN_VM15,Juno,Swati,177,200,377,0.47,0.53
JN_VM16,Juno,Vishakha,168,217,385,0.44,0.56
JN_VM17,Juno,Anuradha,197,189,386,0.51,0.49
JN_VM18,Juno,Jyeshtha,129,135,264,0.49,0.51
JN_VM19,Juno,Mula,129,141,270,0.48,0.52
JN_VM20,Juno,PurvaAshada,174,166,340,0.51,0.49
JN_VM21,Juno,UttaraAshada,96,98,194,0.49,0.51
JN_VM22,Juno,Shravana,146,147,293,0.5,0.5
JN_VM23,Juno,Danishtha,130,104,234,0.56,0.44
JN_VM24,Juno,Shatabhisha,51,56,107,0.48,0.52
JN_VM25,Juno,PurvaBhadrapada,86,76,162,0.53,0.47
JN_VM26,Juno,UttaraBhadrapada,101,96,197,0.51,0.49
JN_VM27,Juno,Revati,77,40,117,0.66,0.34
JU_VM01,Jupiter,Aswini,181,185,366,0.49,0.51
JU_VM02,Jupiter,Bharani,67,81,148,0.45,0.55
JU_VM03,Jupiter,Krittica,72,74,146,0.49,0.51
JU_VM04,Jupiter,Rohini,203,170,373,0.54,0.46
JU_VM05,Jupiter,Mrigashira,43,40,83,0.52,0.48
JU_VM06,Jupiter,Ardra,141,147,288,0.49,0.51
JU_VM07,Jupiter,Punavasu,119,122,241,0.49,0.51
JU_VM08,Jupiter,Pushya,83,65,148,0.56,0.44
JU_VM09,Jupiter,Ashlesha,202,184,386,0.52,0.48
JU_VM10,Jupiter,Magha,39,50,89,0.44,0.56
JU_VM11,Jupiter,PurvaPhalguni,182,209,391,0.47,0.53
JU_VM12,Jupiter,UttaraPhalguni,68,83,151,0.45,0.55
JU_VM13,Jupiter,Hasta,158,148,306,0.52,0.48
JU_VM14,Jupiter,Chitra,122,114,236,0.52,0.48
JU_VM15,Jupiter,Swati,117,93,210,0.56,0.44
JU_VM16,Jupiter,Vishakha,165,164,329,0.5,0.5
JU_VM17,Jupiter,Anuradha,61,59,120,0.51,0.49
JU_VM18,Jupiter,Jyeshtha,202,169,371,0.54,0.46
JU_VM19,Jupiter,Mula,49,56,105,0.47,0.53
JU_VM20,Jupiter,PurvaAshada,141,148,289,0.49,0.51
JU_VM21,Jupiter,UttaraAshada,146,137,283,0.52,0.48
JU_VM22,Jupiter,Shravana,129,81,210,0.61,0.39
JU_VM23,Jupiter,Danishtha,157,172,329,0.48,0.52
JU_VM24,Jupiter,Shatabhisha,50,30,80,0.62,0.38
JU_VM25,Jupiter,PurvaBhadrapada,150,150,300,0.5,0.5
JU_VM26,Jupiter,UttaraBhadrapada,96,117,213,0.45,0.55
JU_VM27,Jupiter,Revati,39,42,81,0.48,0.52
MA_VM01,Mars,Aswini,104,115,219,0.47,0.53
MA_VM02,Mars,Bharani,145,111,256,0.57,0.43
MA_VM03,Mars,Krittica,105,97,202,0.52,0.48
MA_VM04,Mars,Rohini,98,76,174,0.56,0.44
MA_VM05,Mars,Mrigashira,105,120,225,0.47,0.53
MA_VM06,Mars,Ardra,116,128,244,0.48,0.52
MA_VM07,Mars,Punavasu,90,91,181,0.5,0.5
MA_VM08,Mars,Pushya,129,126,255,0.51,0.49
MA_VM09,Mars,Ashlesha,120,127,247,0.49,0.51
MA_VM10,Mars,Magha,101,125,226,0.45,0.55
MA_VM11,Mars,PurvaPhalguni,162,139,301,0.54,0.46
MA_VM12,Mars,UttaraPhalguni,149,117,266,0.56,0.44
MA_VM13,Mars,Hasta,132,152,284,0.46,0.54
MA_VM14,Mars,Chitra,158,158,316,0.5,0.5
MA_VM15,Mars,Swati,125,147,272,0.46,0.54
MA_VM16,Mars,Vishakha,102,128,230,0.44,0.56
MA_VM17,Mars,Anuradha,134,129,263,0.51,0.49
MA_VM18,Mars,Jyeshtha,120,131,251,0.48,0.52
MA_VM19,Mars,Mula,130,97,227,0.57,0.43
MA_VM20,Mars,PurvaAshada,98,76,174,0.56,0.44
MA_VM21,Mars,UttaraAshada,124,97,221,0.56,0.44
MA_VM22,Mars,Shravana,125,100,225,0.56,0.44
MA_VM23,Mars,Danishtha,85,95,180,0.47,0.53
MA_VM24,Mars,Shatabhisha,124,130,254,0.49,0.51
MA_VM25,Mars,PurvaBhadrapada,90,80,170,0.53,0.47
MA_VM26,Mars,UttaraBhadrapada,96,77,173,0.55,0.45
MA_VM27,Mars,Revati,115,121,236,0.49,0.51
ME_VM01,Mercury,Aswini,124,107,231,0.54,0.46
ME_VM02,Mercury,Bharani,109,102,211,0.52,0.48
ME_VM03,Mercury,Krittica,87,95,182,0.48,0.52
ME_VM04,Mercury,Rohini,92,104,196,0.47,0.53
ME_VM05,Mercury,Mrigashira,105,97,202,0.52,0.48
ME_VM06,Mercury,Ardra,101,117,218,0.46,0.54
ME_VM07,Mercury,Punavasu,116,101,217,0.53,0.47
ME_VM08,Mercury,Pushya,126,110,236,0.53,0.47
ME_VM09,Mercury,Ashlesha,98,133,231,0.42,0.58
ME_VM10,Mercury,Magha,126,105,231,0.55,0.45
ME_VM11,Mercury,PurvaPhalguni,107,123,230,0.47,0.53
ME_VM12,Mercury,UttaraPhalguni,102,111,213,0.48,0.52
ME_VM13,Mercury,Hasta,110,111,221,0.5,0.5
ME_VM14,Mercury,Chitra,112,121,233,0.48,0.52
ME_VM15,Mercury,Swati,132,125,257,0.51,0.49
ME_VM16,Mercury,Vishakha,134,132,266,0.5,0.5
ME_VM17,Mercury,Anuradha,148,116,264,0.56,0.44
ME_VM18,Mercury,Jyeshtha,142,128,270,0.53,0.47
ME_VM19,Mercury,Mula,124,147,271,0.46,0.54
ME_VM20,Mercury,PurvaAshada,139,119,258,0.54,0.46
ME_VM21,Mercury,UttaraAshada,122,112,234,0.52,0.48
ME_VM22,Mercury,Shravana,120,109,229,0.52,0.48
ME_VM23,Mercury,Danishtha,121,121,242,0.5,0.5
ME_VM24,Mercury,Shatabhisha,138,103,241,0.57,0.43
ME_VM25,Mercury,PurvaBhadrapada,135,107,242,0.56,0.44
ME_VM26,Mercury,UttaraBhadrapada,104,117,221,0.47,0.53
ME_VM27,Mercury,Revati,108,117,225,0.48,0.52
MO_VM01,Moon,Aswini,119,110,229,0.52,0.48
MO_VM02,Moon,Bharani,109,122,231,0.47,0.53
MO_VM03,Moon,Krittica,112,113,225,0.5,0.5
MO_VM04,Moon,Rohini,129,104,233,0.55,0.45
MO_VM05,Moon,Mrigashira,103,126,229,0.45,0.55
MO_VM06,Moon,Ardra,136,99,235,0.58,0.42
MO_VM07,Moon,Punavasu,117,112,229,0.51,0.49
MO_VM08,Moon,Pushya,110,120,230,0.48,0.52
MO_VM09,Moon,Ashlesha,115,115,230,0.5,0.5
MO_VM10,Moon,Magha,119,116,235,0.51,0.49
MO_VM11,Moon,PurvaPhalguni,113,115,228,0.5,0.5
MO_VM12,Moon,UttaraPhalguni,115,123,238,0.48,0.52
MO_VM13,Moon,Hasta,130,103,233,0.56,0.44
MO_VM14,Moon,Chitra,126,106,232,0.54,0.46
MO_VM15,Moon,Swati,103,130,233,0.44,0.56
