PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,543,515,1058,0.51,0.49
CE_FIX,Ceres,Fixed,622,555,1177,0.53,0.47
CE_MUT,Ceres,Mutable,849,677,1526,0.56,0.44
CH_CAR,Chiron,Cardinal,608,473,1081,0.56,0.44
CH_FIX,Chiron,Fixed,398,368,766,0.52,0.48
CH_MUT,Chiron,Mutable,1008,906,1914,0.53,0.47
JN_CAR,Juno,Cardinal,558,473,1031,0.54,0.46
JN_FIX,Juno,Fixed,682,580,1262,0.54,0.46
JN_MUT,Juno,Mutable,774,694,1468,0.53,0.47
JU_CAR,Jupiter,Cardinal,720,622,1342,0.54,0.46
JU_FIX,Jupiter,Fixed,677,544,1221,0.55,0.45
JU_MUT,Jupiter,Mutable,617,581,1198,0.52,0.48
MA_CAR,Mars,Cardinal,705,577,1282,0.55,0.45
MA_FIX,Mars,Fixed,636,578,1214,0.52,0.48
MA_MUT,Mars,Mutable,673,592,1265,0.53,0.47
ME_CAR,Mercury,Cardinal,688,556,1244,0.55,0.45
ME_FIX,Mercury,Fixed,676,589,1265,0.53,0.47
ME_MUT,Mercury,Mutable,650,602,1252,0.52,0.48
MO_CAR,Moon,Cardinal,676,584,1260,0.54,0.46
MO_FIX,Moon,Fixed,672,563,1235,0.54,0.46
MO_MUT,Moon,Mutable,666,600,1266,0.53,0.47
NE_FIX,Neptune,Fixed,518,469,987,0.52,0.48
NE_MUT,Neptune,Mutable,1496,1278,2774,0.54,0.46
NN_CAR,NNode,Cardinal,596,540,1136,0.52,0.48
NN_FIX,NNode,Fixed,743,666,1409,0.53,0.47
NN_MUT,NNode,Mutable,675,541,1216,0.56,0.44
PA_CAR,Pallas,Cardinal,644,559,1203,0.54,0.46
PA_FIX,Pallas,Fixed,611,547,1158,0.53,0.47
PA_MUT,Pallas,Mutable,759,641,1400,0.54,0.46
PH_CAR,Pholus,Cardinal,589,473,1062,0.55,0.45
PH_MUT,Pholus,Mutable,1425,1274,2699,0.53,0.47
PL_CAR,Pluto,Cardinal,1911,1651,3562,0.54,0.46
PL_MUT,Pluto,Mutable,103,96,199,0.52,0.48
SA_CAR,Saturn,Cardinal,700,613,1313,0.53,0.47
SA_FIX,Saturn,Fixed,651,544,1195,0.54,0.46
SA_MUT,Saturn,Mutable,663,590,1253,0.53,0.47
SN_CAR,SNode,Cardinal,596,540,1136,0.52,0.48
SN_FIX,SNode,Fixed,743,666,1409,0.53,0.47
SN_MUT,SNode,Mutable,675,541,1216,0.56,0.44
SU_CAR,Sun,Cardinal,718,526,1244,0.58,0.42
SU_FIX,Sun,Fixed,624,622,1246,0.5,0.5
SU_MUT,Sun,Mutable,672,599,1271,0.53,0.47
UR_CAR,Uranus,Cardinal,1000,884,1884,0.53,0.47
UR_FIX,Uranus,Fixed,602,477,1079,0.56,0.44
UR_MUT,Uranus,Mutable,412,386,798,0.52,0.48
VE_CAR,Venus,Cardinal,688,620,1308,0.53,0.47
VE_FIX,Venus,Fixed,671,540,1211,0.55,0.45
VE_MUT,Venus,Mutable,655,587,1242,0.53,0.47
VS_CAR,Vesta,Cardinal,629,519,1148,0.55,0.45
VS_FIX,Vesta,Fixed,676,669,1345,0.5,0.5
VS_MUT,Vesta,Mutable,709,559,1268,0.56,0.44
