PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,144,121,265,0.54,0.46
CE_Z02_TAU,Ceres,Taurus,188,157,345,0.54,0.46
CE_Z03_GEM,Ceres,Gemini,120,125,245,0.49,0.51
CE_Z04_CAN,Ceres,Cancer,107,89,196,0.55,0.45
CE_Z05_LEO,Ceres,Leo,149,135,284,0.52,0.48
CE_Z06_VIR,Ceres,Virgo,159,112,271,0.59,0.41
CE_Z07_LIB,Ceres,Libra,122,121,243,0.5,0.5
CE_Z08_SCO,Ceres,Scorpio,99,79,178,0.56,0.44
CE_Z09_SAG,Ceres,Sagittarius,213,170,383,0.56,0.44
CE_Z10_CAP,Ceres,Capricorn,132,146,278,0.47,0.53
CE_Z11_AQU,Ceres,Aquarius,137,143,280,0.49,0.51
CE_Z12_PIS,Ceres,Pisces,232,177,409,0.57,0.43
CH_Z01_ARI,Chiron,Aries,400,301,701,0.57,0.43
CH_Z11_AQU,Chiron,Aquarius,394,367,761,0.52,0.48
CH_Z12_PIS,Chiron,Pisces,1008,907,1915,0.53,0.47
JN_Z01_ARI,Juno,Aries,91,75,166,0.55,0.45
JN_Z02_TAU,Juno,Taurus,116,89,205,0.57,0.43
JN_Z03_GEM,Juno,Gemini,68,65,133,0.51,0.49
JN_Z04_CAN,Juno,Cancer,66,52,118,0.56,0.44
JN_Z05_LEO,Juno,Leo,142,119,261,0.54,0.46
JN_Z06_VIR,Juno,Virgo,152,153,305,0.5,0.5
JN_Z07_LIB,Juno,Libra,184,171,355,0.52,0.48
JN_Z08_SCO,Juno,Scorpio,246,209,455,0.54,0.46
JN_Z09_SAG,Juno,Sagittarius,288,271,559,0.52,0.48
JN_Z10_CAP,Juno,Capricorn,179,146,325,0.55,0.45
JN_Z11_AQU,Juno,Aquarius,151,138,289,0.52,0.48
JN_Z12_PIS,Juno,Pisces,119,87,206,0.58,0.42
JU_Z01_ARI,Jupiter,Aries,86,72,158,0.54,0.46
JU_Z02_TAU,Jupiter,Taurus,117,130,247,0.47,0.53
JU_Z03_GEM,Jupiter,Gemini,127,128,255,0.5,0.5
JU_Z04_CAN,Jupiter,Cancer,140,118,258,0.54,0.46
JU_Z05_LEO,Jupiter,Leo,141,117,258,0.55,0.45
JU_Z06_VIR,Jupiter,Virgo,131,132,263,0.5,0.5
JU_Z07_LIB,Jupiter,Libra,153,114,267,0.57,0.43
JU_Z08_SCO,Jupiter,Scorpio,154,112,266,0.58,0.42
JU_Z09_SAG,Jupiter,Sagittarius,175,143,318,0.55,0.45
JU_Z10_CAP,Jupiter,Capricorn,267,249,516,0.52,0.48
JU_Z11_AQU,Jupiter,Aquarius,193,147,340,0.57,0.43
JU_Z12_PIS,Jupiter,Pisces,118,113,231,0.51,0.49
MA_Z01_ARI,Mars,Aries,164,130,294,0.56,0.44
MA_Z02_TAU,Mars,Taurus,116,91,207,0.56,0.44
