MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,67,50,117,0.57,0.43
F_Z02_TAU,Full,Taurus,80,79,159,0.5,0.5
F_Z03_GEM,Full,Gemini,66,62,128,0.52,0.48
F_Z04_CAN,Full,Cancer,76,52,128,0.59,0.41
F_Z05_LEO,Full,Leo,79,77,156,0.51,0.49
F_Z06_VIR,Full,Virgo,81,54,135,0.6,0.4
F_Z07_LIB,Full,Libra,55,54,109,0.5,0.5
F_Z08_SCO,Full,Scorpio,73,69,142,0.51,0.49
F_Z09_SAG,Full,Sagittarius,90,89,179,0.5,0.5
F_Z10_CAP,Full,Capricorn,80,58,138,0.58,0.42
F_Z11_AQU,Full,Aquarius,71,71,142,0.5,0.5
F_Z12_PIS,Full,Pisces,68,57,125,0.54,0.46
N_Z01_ARI,New,Aries,47,31,78,0.6,0.4
N_Z02_TAU,New,Taurus,80,77,157,0.51,0.49
N_Z03_GEM,New,Gemini,78,68,146,0.53,0.47
N_Z04_CAN,New,Cancer,77,63,140,0.55,0.45
N_Z05_LEO,New,Leo,75,71,146,0.51,0.49
N_Z06_VIR,New,Virgo,78,63,141,0.55,0.45
N_Z07_LIB,New,Libra,67,83,150,0.45,0.55
N_Z08_SCO,New,Scorpio,70,62,132,0.53,0.47
N_Z09_SAG,New,Sagittarius,73,62,135,0.54,0.46
N_Z10_CAP,New,Capricorn,76,71,147,0.52,0.48
N_Z11_AQU,New,Aquarius,72,52,124,0.58,0.42
N_Z12_PIS,New,Pisces,51,62,113,0.45,0.55
