PlanetTriplicity,Planet,Triplicity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1682,1496,3178,0.53,0.47
CE_FIX,Ceres,Fixed,1787,1717,3504,0.51,0.49
CE_MUT,Ceres,Mutable,1838,1600,3438,0.53,0.47
CH_CAR,Chiron,Cardinal,1411,1303,2714,0.52,0.48
CH_FIX,Chiron,Fixed,1647,1455,3102,0.53,0.47
CH_MUT,Chiron,Mutable,2249,2055,4304,0.52,0.48
JN_CAR,Juno,Cardinal,1809,1675,3484,0.52,0.48
JN_FIX,Juno,Fixed,1831,1641,3472,0.53,0.47
JN_MUT,Juno,Mutable,1667,1497,3164,0.53,0.47
JU_CAR,Jupiter,Cardinal,1817,1687,3504,0.52,0.48
JU_FIX,Jupiter,Fixed,1725,1587,3312,0.52,0.48
JU_MUT,Jupiter,Mutable,1765,1539,3304,0.53,0.47
MA_CAR,Mars,Cardinal,1847,1655,3502,0.53,0.47
MA_FIX,Mars,Fixed,1753,1590,3343,0.52,0.48
MA_MUT,Mars,Mutable,1707,1568,3275,0.52,0.48
ME_CAR,Mercury,Cardinal,1744,1636,3380,0.52,0.48
ME_FIX,Mercury,Fixed,1808,1592,3400,0.53,0.47
ME_MUT,Mercury,Mutable,1755,1585,3340,0.53,0.47
MO_CAR,Moon,Cardinal,1739,1644,3383,0.51,0.49
MO_FIX,Moon,Fixed,1811,1560,3371,0.54,0.46
MO_MUT,Moon,Mutable,1757,1609,3366,0.52,0.48
NE_CAR,Neptune,Cardinal,1724,1784,3508,0.49,0.51
NE_FIX,Neptune,Fixed,1820,1554,3374,0.54,0.46
NE_MUT,Neptune,Mutable,1763,1475,3238,0.54,0.46
NN_CAR,NNode,Cardinal,1880,1638,3518,0.53,0.47
NN_FIX,NNode,Fixed,1701,1599,3300,0.52,0.48
NN_MUT,NNode,Mutable,1726,1576,3302,0.52,0.48
PA_CAR,Pallas,Cardinal,1831,1674,3505,0.52,0.48
PA_FIX,Pallas,Fixed,1724,1551,3275,0.53,0.47
PA_MUT,Pallas,Mutable,1752,1588,3340,0.52,0.48
PH_CAR,Pholus,Cardinal,1492,1429,2921,0.51,0.49
PH_FIX,Pholus,Fixed,1396,1338,2734,0.51,0.49
PH_MUT,Pholus,Mutable,2419,2046,4465,0.54,0.46
PL_CAR,Pluto,Cardinal,2188,1777,3965,0.55,0.45
PL_FIX,Pluto,Fixed,1466,1437,2903,0.5,0.5
PL_MUT,Pluto,Mutable,1653,1599,3252,0.51,0.49
SA_CAR,Saturn,Cardinal,1987,1744,3731,0.53,0.47
SA_FIX,Saturn,Fixed,1689,1569,3258,0.52,0.48
SA_MUT,Saturn,Mutable,1631,1500,3131,0.52,0.48
SN_CAR,SNode,Cardinal,1880,1638,3518,0.53,0.47
SN_FIX,SNode,Fixed,1701,1599,3300,0.52,0.48
SN_MUT,SNode,Mutable,1726,1576,3302,0.52,0.48
SU_CAR,Sun,Cardinal,1750,1574,3324,0.53,0.47
SU_FIX,Sun,Fixed,1832,1617,3449,0.53,0.47
SU_MUT,Sun,Mutable,1725,1622,3347,0.52,0.48
UR_CAR,Uranus,Cardinal,1980,1781,3761,0.53,0.47
UR_FIX,Uranus,Fixed,1400,1337,2737,0.51,0.49
UR_MUT,Uranus,Mutable,1927,1695,3622,0.53,0.47
VE_CAR,Venus,Cardinal,1763,1623,3386,0.52,0.48
VE_FIX,Venus,Fixed,1789,1620,3409,0.52,0.48
VE_MUT,Venus,Mutable,1755,1570,3325,0.53,0.47
VS_CAR,Vesta,Cardinal,1759,1592,3351,0.52,0.48
VS_FIX,Vesta,Fixed,1749,1646,3395,0.52,0.48
VS_MUT,Vesta,Mutable,1799,1575,3374,0.53,0.47
