MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,193,171,364,0.53,0.47
F_Z02_TAU,Full,Taurus,248,184,432,0.57,0.43
F_Z03_GEM,Full,Gemini,210,209,419,0.5,0.5
F_Z04_CAN,Full,Cancer,185,193,378,0.49,0.51
F_Z05_LEO,Full,Leo,226,203,429,0.53,0.47
F_Z06_VIR,Full,Virgo,249,228,477,0.52,0.48
F_Z07_LIB,Full,Libra,221,192,413,0.54,0.46
F_Z08_SCO,Full,Scorpio,255,218,473,0.54,0.46
F_Z09_SAG,Full,Sagittarius,228,255,483,0.47,0.53
F_Z10_CAP,Full,Capricorn,236,208,444,0.53,0.47
F_Z11_AQU,Full,Aquarius,224,216,440,0.51,0.49
F_Z12_PIS,Full,Pisces,175,180,355,0.49,0.51
N_Z01_ARI,New,Aries,177,178,355,0.5,0.5
N_Z02_TAU,New,Taurus,253,220,473,0.53,0.47
N_Z03_GEM,New,Gemini,219,249,468,0.47,0.53
N_Z04_CAN,New,Cancer,255,201,456,0.56,0.44
N_Z05_LEO,New,Leo,246,201,447,0.55,0.45
N_Z06_VIR,New,Virgo,245,235,480,0.51,0.49
N_Z07_LIB,New,Libra,260,209,469,0.55,0.45
N_Z08_SCO,New,Scorpio,194,200,394,0.49,0.51
N_Z09_SAG,New,Sagittarius,232,182,414,0.56,0.44
N_Z10_CAP,New,Capricorn,257,172,429,0.6,0.4
N_Z11_AQU,New,Aquarius,217,203,420,0.52,0.48
N_Z12_PIS,New,Pisces,168,177,345,0.49,0.51
