PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,4143,3505,7648,0.54,0.46
CE_RET,Ceres,Retrograde,1081,1044,2125,0.51,0.49
CE_STA,Ceres,Stationary,165,182,347,0.48,0.52
CH_DIR,Chiron,Direct,3135,2788,5923,0.53,0.47
CH_RET,Chiron,Retrograde,2020,1724,3744,0.54,0.46
CH_STA,Chiron,Stationary,234,219,453,0.52,0.48
JN_DIR,Juno,Direct,4005,3579,7584,0.53,0.47
JN_RET,Juno,Retrograde,1162,970,2132,0.55,0.45
JN_STA,Juno,Stationary,222,182,404,0.55,0.45
JU_DIR,Jupiter,Direct,3595,3042,6637,0.54,0.46
JU_RET,Jupiter,Retrograde,1557,1450,3007,0.52,0.48
JU_STA,Jupiter,Stationary,237,239,476,0.5,0.5
MA_DIR,Mars,Direct,4769,4174,8943,0.53,0.47
MA_RET,Mars,Retrograde,509,444,953,0.53,0.47
MA_STA,Mars,Stationary,111,113,224,0.5,0.5
ME_DIR,Mercury,Direct,4181,3694,7875,0.53,0.47
ME_RET,Mercury,Retrograde,1045,885,1930,0.54,0.46
ME_STA,Mercury,Stationary,163,152,315,0.52,0.48
MO_DIR,Moon,Direct,5389,4731,10120,0.53,0.47
NE_DIR,Neptune,Direct,2757,2410,5167,0.53,0.47
NE_RET,Neptune,Retrograde,2113,1833,3946,0.54,0.46
NE_STA,Neptune,Stationary,519,488,1007,0.52,0.48
NN_DIR,NNode,Direct,5389,4731,10120,0.53,0.47
PA_DIR,Pallas,Direct,4092,3486,7578,0.54,0.46
PA_RET,Pallas,Retrograde,1150,1080,2230,0.52,0.48
PA_STA,Pallas,Stationary,147,165,312,0.47,0.53
PH_DIR,Pholus,Direct,3082,2705,5787,0.53,0.47
PH_RET,Pholus,Retrograde,2021,1767,3788,0.53,0.47
PH_STA,Pholus,Stationary,286,259,545,0.52,0.48
PL_DIR,Pluto,Direct,2810,2409,5219,0.54,0.46
PL_RET,Pluto,Retrograde,2031,1854,3885,0.52,0.48
PL_STA,Pluto,Stationary,548,468,1016,0.54,0.46
SA_DIR,Saturn,Direct,3148,2770,5918,0.53,0.47
SA_RET,Saturn,Retrograde,1911,1663,3574,0.53,0.47
SA_STA,Saturn,Stationary,330,298,628,0.53,0.47
SN_DIR,SNode,Direct,5389,4731,10120,0.53,0.47
SU_DIR,Sun,Direct,5389,4731,10120,0.53,0.47
UR_DIR,Uranus,Direct,2953,2578,5531,0.53,0.47
UR_RET,Uranus,Retrograde,2089,1846,3935,0.53,0.47
UR_STA,Uranus,Stationary,347,307,654,0.53,0.47
VE_DIR,Venus,Direct,4905,4302,9207,0.53,0.47
VE_RET,Venus,Retrograde,386,338,724,0.53,0.47
VE_STA,Venus,Stationary,98,91,189,0.52,0.48
VS_DIR,Vesta,Direct,4206,3763,7969,0.53,0.47
VS_RET,Vesta,Retrograde,1004,819,1823,0.55,0.45
VS_STA,Vesta,Stationary,179,149,328,0.55,0.45
