PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_01_1ARI,Ceres,AriesD1,134,144,278,0.48,0.52
CE_01_2ARI,Ceres,AriesD2,129,102,231,0.56,0.44
CE_01_3ARI,Ceres,AriesD3,163,142,305,0.53,0.47
CE_02_1TAU,Ceres,TaurusD1,152,149,301,0.5,0.5
CE_02_2TAU,Ceres,TaurusD2,153,155,308,0.5,0.5
CE_02_3TAU,Ceres,TaurusD3,148,136,284,0.52,0.48
CE_03_1GEM,Ceres,GeminiD1,118,100,218,0.54,0.46
CE_03_2GEM,Ceres,GeminiD2,108,98,206,0.52,0.48
CE_03_3GEM,Ceres,GeminiD3,145,150,295,0.49,0.51
CE_04_1CAN,Ceres,CancerD1,132,116,248,0.53,0.47
CE_04_2CAN,Ceres,CancerD2,147,131,278,0.53,0.47
CE_04_3CAN,Ceres,CancerD3,106,132,238,0.45,0.55
CE_05_1LEO,Ceres,LeoD1,143,113,256,0.56,0.44
CE_05_2LEO,Ceres,LeoD2,148,155,303,0.49,0.51
CE_05_3LEO,Ceres,LeoD1,86,80,166,0.52,0.48
CE_06_1VIR,Ceres,VirgoD1,166,145,311,0.53,0.47
CE_06_2VIR,Ceres,VirgoD2,131,119,250,0.52,0.48
CE_06_3VIR,Ceres,VirgoD3,108,97,205,0.53,0.47
CE_07_1LIB,Ceres,LibraD1,137,94,231,0.59,0.41
CE_07_2LIB,Ceres,LibraD2,112,69,181,0.62,0.38
CE_07_3LIB,Ceres,LibraD3,162,149,311,0.52,0.48
CE_08_1SCO,Ceres,ScorpioD1,128,110,238,0.54,0.46
CE_08_2SCO,Ceres,ScorpioD2,165,152,317,0.52,0.48
CE_08_3SCO,Ceres,ScorpioD3,143,141,284,0.5,0.5
CE_09_1SAG,Ceres,SagittariusD1,178,154,332,0.54,0.46
CE_09_2SAG,Ceres,SagittariusD2,155,130,285,0.54,0.46
CE_09_3SAG,Ceres,SagittariusD3,197,141,338,0.58,0.42
CE_10_1CAP,Ceres,CapricornD1,161,149,310,0.52,0.48
CE_10_2CAP,Ceres,CapricornD2,128,111,239,0.54,0.46
CE_10_3CAP,Ceres,CapricornD3,171,157,328,0.52,0.48
CE_11_1AQU,Ceres,AquariusD1,167,173,340,0.49,0.51
CE_11_2AQU,Ceres,AquariusD2,176,153,329,0.53,0.47
CE_11_3AQU,Ceres,AquariusD3,178,200,378,0.47,0.53
CE_12_1PIS,Ceres,PiscesD1,170,156,326,0.52,0.48
CE_12_2PIS,Ceres,PiscesD2,197,167,364,0.54,0.46
CE_12_3PIS,Ceres,PiscesD3,163,143,306,0.53,0.47
CH_01_1ARI,Chiron,AriesD1,359,248,607,0.59,0.41
CH_02_2TAU,Chiron,TaurusD2,106,105,211,0.5,0.5
CH_02_3TAU,Chiron,TaurusD3,261,255,516,0.51,0.49
CH_03_1GEM,Chiron,GeminiD1,209,249,458,0.46,0.54
CH_03_2GEM,Chiron,GeminiD2,199,170,369,0.54,0.46
