PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,2750,2392,5142,0.53,0.47
CE_POS,Ceres,Positive,2641,2342,4983,0.53,0.47
CH_NEG,Chiron,Negative,2860,2499,5359,0.53,0.47
CH_POS,Chiron,Positive,2531,2235,4766,0.53,0.47
JN_NEG,Juno,Negative,2603,2281,4884,0.53,0.47
JN_POS,Juno,Positive,2788,2453,5241,0.53,0.47
JU_NEG,Jupiter,Negative,2699,2365,5064,0.53,0.47
JU_POS,Jupiter,Positive,2692,2369,5061,0.53,0.47
MA_NEG,Mars,Negative,2694,2324,5018,0.54,0.46
MA_POS,Mars,Positive,2697,2410,5107,0.53,0.47
ME_NEG,Mercury,Negative,2726,2335,5061,0.54,0.46
ME_POS,Mercury,Positive,2665,2399,5064,0.53,0.47
MO_NEG,Moon,Negative,2714,2355,5069,0.54,0.46
MO_POS,Moon,Positive,2677,2379,5056,0.53,0.47
NE_NEG,Neptune,Negative,3125,2739,5864,0.53,0.47
NE_POS,Neptune,Positive,2266,1995,4261,0.53,0.47
NN_NEG,NNode,Negative,2731,2345,5076,0.54,0.46
NN_POS,NNode,Positive,2660,2389,5049,0.53,0.47
PA_NEG,Pallas,Negative,2747,2367,5114,0.54,0.46
PA_POS,Pallas,Positive,2644,2367,5011,0.53,0.47
PH_NEG,Pholus,Negative,2106,1818,3924,0.54,0.46
PH_POS,Pholus,Positive,3285,2916,6201,0.53,0.47
PL_NEG,Pluto,Negative,3291,2782,6073,0.54,0.46
PL_POS,Pluto,Positive,2100,1952,4052,0.52,0.48
SA_NEG,Saturn,Negative,2665,2283,4948,0.54,0.46
SA_POS,Saturn,Positive,2726,2451,5177,0.53,0.47
SN_NEG,SNode,Negative,2731,2345,5076,0.54,0.46
SN_POS,SNode,Positive,2660,2389,5049,0.53,0.47
SU_NEG,Sun,Negative,2698,2337,5035,0.54,0.46
SU_POS,Sun,Positive,2693,2397,5090,0.53,0.47
UR_NEG,Uranus,Negative,2478,2053,4531,0.55,0.45
UR_POS,Uranus,Positive,2913,2681,5594,0.52,0.48
VE_NEG,Venus,Negative,2610,2314,4924,0.53,0.47
VE_POS,Venus,Positive,2781,2420,5201,0.53,0.47
VS_NEG,Vesta,Negative,2623,2331,4954,0.53,0.47
VS_POS,Vesta,Positive,2768,2403,5171,0.54,0.46
