PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",918,896,1814,0.51,0.49,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1444,1300,2744,0.53,0.47,CAR
"CAR_(8,14]",Cardinal,"(8,14]",766,671,1437,0.53,0.47,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2288,2042,4330,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",1108,999,2107,0.53,0.47,FIX
"FIX_(6,7]",Fixed,"(6,7]",813,757,1570,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",983,965,1948,0.5,0.5,FIX
"FIX_[0,5]",Fixed,"[0,5]",2512,2188,4700,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",1964,1766,3730,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",889,889,1778,0.5,0.5,MUT
"MUT_(7,13]",Mutable,"(7,13]",1375,1159,2534,0.54,0.46,MUT
"MUT_[0,4]",Mutable,"[0,4]",1188,1095,2283,0.52,0.48,MUT
