MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_10_CAP,Full,Capricorn,86,103,189,0.46,0.54
F_11_AQU,Full,Aquarius,90,98,188,0.48,0.52
F_12_PIS,Full,Pisces,72,78,150,0.48,0.52
F_1_ARI,Full,Aries,74,82,156,0.47,0.53
F_2_TAU,Full,Taurus,100,120,220,0.45,0.55
F_3_GEM,Full,Gemini,100,81,181,0.55,0.45
F_4_CAN,Full,Cancer,93,85,178,0.52,0.48
F_5_LEO,Full,Leo,90,117,207,0.43,0.57
F_6_VIR,Full,Virgo,91,107,198,0.46,0.54
F_7_LIB,Full,Libra,81,88,169,0.48,0.52
F_8_SCO,Full,Scorpio,87,112,199,0.44,0.56
F_9_SAG,Full,Sagittarius,98,111,209,0.47,0.53
N_10_CAP,New,Capricorn,110,92,202,0.54,0.46
N_11_AQU,New,Aquarius,84,86,170,0.49,0.51
N_12_PIS,New,Pisces,85,63,148,0.57,0.43
N_1_ARI,New,Aries,75,71,146,0.51,0.49
N_2_TAU,New,Taurus,94,105,199,0.47,0.53
N_3_GEM,New,Gemini,110,93,203,0.54,0.46
N_4_CAN,New,Cancer,90,107,197,0.46,0.54
N_5_LEO,New,Leo,105,106,211,0.5,0.5
N_6_VIR,New,Virgo,91,106,197,0.46,0.54
N_7_LIB,New,Libra,108,87,195,0.55,0.45
N_8_SCO,New,Scorpio,107,81,188,0.57,0.43
N_9_SAG,New,Sagittarius,98,102,200,0.49,0.51
