PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",404,384,788,0.51,0.49,CAR
"CAR_(6,8]",Cardinal,"(6,8]",612,644,1256,0.49,0.51,CAR
"CAR_(8,14]",Cardinal,"(8,14]",287,280,567,0.51,0.49,CAR
"CAR_[0,5]",Cardinal,"[0,5]",920,983,1903,0.48,0.52,CAR
"FIX_(5,6]",Fixed,"(5,6]",404,473,877,0.46,0.54,FIX
"FIX_(6,7]",Fixed,"(6,7]",297,303,600,0.5,0.5,FIX
"FIX_(7,14]",Fixed,"(7,14]",303,290,593,0.51,0.49,FIX
"FIX_[0,5]",Fixed,"[0,5]",1219,1225,2444,0.5,0.5,FIX
"MUT_(4,6]",Mutable,"(4,6]",789,779,1568,0.5,0.5,MUT
"MUT_(6,7]",Mutable,"(6,7]",368,422,790,0.47,0.53,MUT
"MUT_(7,13]",Mutable,"(7,13]",732,758,1490,0.49,0.51,MUT
"MUT_[0,4]",Mutable,"[0,4]",334,332,666,0.5,0.5,MUT
