PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CH_NE_a180,1,137,0.002,0.017,0.003,0.002,0.017,-0.031,0.05,0.082,0.234,-0.19,0.001
JN_CE_a120,1,350,0.001,0.017,0,0.001,0.009,-0.081,0.118,0.199,0.516,10.892,0.001
VS_PL_a45,1,183,0,0.024,0,0,0.014,-0.153,0.184,0.337,1.037,24.433,0.002
JN_PA_a180,1,153,0.004,0.017,0.002,0.004,0.015,-0.053,0.064,0.117,0.206,1.32,0.001
JU_NE_a150,1,287,0,0.016,0,0,0.011,-0.087,0.077,0.164,0.112,6.324,0.001
VS_PH_a103,1,193,0.001,0.014,0.001,0.001,0.012,-0.068,0.079,0.147,0.206,6.505,0.001
VS_PA_a120,1,166,0,0.016,0.001,0,0.011,-0.07,0.077,0.147,0.252,5.034,0.001
JN_CE_a135,1,295,0,0.015,-0.001,0,0.01,-0.06,0.051,0.111,-0.032,2.102,0.001
VS_PL_a36,1,151,-0.003,0.016,-0.003,-0.002,0.011,-0.124,0.028,0.153,-2.801,20.212,0.001
VS_JU_a120,1,183,0.001,0.015,0.001,0.001,0.011,-0.058,0.064,0.122,-0.203,2.898,0.001
JN_NN_a150,1,207,0,0.013,-0.001,0,0.01,-0.043,0.064,0.107,0.67,3.158,0.001
JN_SN_a30,1,207,0,0.013,-0.001,0,0.01,-0.043,0.064,0.107,0.67,3.158,0.001
NN_PL_a120,1,196,0,0.012,0,0,0.009,-0.046,0.051,0.097,0.133,3.584,0.001
SN_PL_a60,1,196,0,0.012,0,0,0.009,-0.046,0.051,0.097,0.133,3.584,0.001
JN_CE_a144,1,400,0.001,0.016,0.002,0.001,0.011,-0.109,0.077,0.186,-0.353,7.399,0.001
VS_PL_a30,1,138,0.001,0.015,0.001,0.001,0.014,-0.051,0.061,0.113,0.036,2.401,0.001
VS_PH_a120,1,161,0.002,0.012,0.001,0.002,0.01,-0.034,0.046,0.079,0.199,0.887,0.001
JN_CE_a150,1,386,0.001,0.013,0.001,0.001,0.012,-0.057,0.066,0.123,0.13,2.083,0.001
VS_SA_a72,1,103,0.001,0.013,0.002,0.001,0.009,-0.048,0.044,0.092,-0.291,1.958,0.001
NN_UR_a72,1,139,-0.001,0.01,0,0,0.008,-0.032,0.03,0.062,-0.276,1.448,0.001
NN_SA_a72,1,197,-0.001,0.017,0,-0.001,0.009,-0.153,0.053,0.205,-3.351,29.61,0.001
VS_PA_a103,1,170,0,0.017,0.001,-0.001,0.014,-0.046,0.079,0.124,0.743,3.256,0.001
