PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,2281,2050,4331,0.53,0.47
CE_POS,Ceres,Positive,2375,2089,4464,0.53,0.47
CH_NEG,Chiron,Negative,2444,2188,4632,0.53,0.47
CH_POS,Chiron,Positive,2212,1951,4163,0.53,0.47
JN_NEG,Juno,Negative,2285,1957,4242,0.54,0.46
JN_POS,Juno,Positive,2371,2182,4553,0.52,0.48
JU_NEG,Jupiter,Negative,2428,2082,4510,0.54,0.46
JU_POS,Jupiter,Positive,2228,2057,4285,0.52,0.48
MA_NEG,Mars,Negative,2308,2050,4358,0.53,0.47
MA_POS,Mars,Positive,2348,2089,4437,0.53,0.47
ME_NEG,Mercury,Negative,2355,2080,4435,0.53,0.47
ME_POS,Mercury,Positive,2301,2059,4360,0.53,0.47
MO_NEG,Moon,Negative,2338,2065,4403,0.53,0.47
MO_POS,Moon,Positive,2318,2074,4392,0.53,0.47
NE_NEG,Neptune,Negative,2942,2479,5421,0.54,0.46
NE_POS,Neptune,Positive,1714,1660,3374,0.51,0.49
NN_NEG,NNode,Negative,2331,1986,4317,0.54,0.46
NN_POS,NNode,Positive,2325,2153,4478,0.52,0.48
PA_NEG,Pallas,Negative,2314,2053,4367,0.53,0.47
PA_POS,Pallas,Positive,2342,2086,4428,0.53,0.47
PH_NEG,Pholus,Negative,1951,1701,3652,0.53,0.47
PH_POS,Pholus,Positive,2705,2438,5143,0.53,0.47
PL_NEG,Pluto,Negative,3010,2533,5543,0.54,0.46
PL_POS,Pluto,Positive,1646,1606,3252,0.51,0.49
SA_NEG,Saturn,Negative,2282,1991,4273,0.53,0.47
SA_POS,Saturn,Positive,2374,2148,4522,0.52,0.48
SN_NEG,SNode,Negative,2331,1986,4317,0.54,0.46
SN_POS,SNode,Positive,2325,2153,4478,0.52,0.48
SU_NEG,Sun,Negative,2290,2074,4364,0.52,0.48
SU_POS,Sun,Positive,2366,2065,4431,0.53,0.47
UR_NEG,Uranus,Negative,2314,2004,4318,0.54,0.46
UR_POS,Uranus,Positive,2342,2135,4477,0.52,0.48
VE_NEG,Venus,Negative,2306,1987,4293,0.54,0.46
VE_POS,Venus,Positive,2350,2152,4502,0.52,0.48
VS_NEG,Vesta,Negative,2338,2087,4425,0.53,0.47
VS_POS,Vesta,Positive,2318,2052,4370,0.53,0.47
