MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,163,159,322,0.51,0.49
F_Z02_TAU,Full,Taurus,206,166,372,0.55,0.45
F_Z03_GEM,Full,Gemini,205,165,370,0.55,0.45
F_Z04_CAN,Full,Cancer,163,157,320,0.51,0.49
F_Z05_LEO,Full,Leo,188,188,376,0.5,0.5
F_Z06_VIR,Full,Virgo,204,180,384,0.53,0.47
F_Z07_LIB,Full,Libra,212,160,372,0.57,0.43
F_Z08_SCO,Full,Scorpio,213,207,420,0.51,0.49
F_Z09_SAG,Full,Sagittarius,232,178,410,0.57,0.43
F_Z10_CAP,Full,Capricorn,221,173,394,0.56,0.44
F_Z11_AQU,Full,Aquarius,194,183,377,0.51,0.49
F_Z12_PIS,Full,Pisces,173,152,325,0.53,0.47
N_Z01_ARI,New,Aries,169,147,316,0.53,0.47
N_Z02_TAU,New,Taurus,231,192,423,0.55,0.45
N_Z03_GEM,New,Gemini,196,203,399,0.49,0.51
N_Z04_CAN,New,Cancer,228,186,414,0.55,0.45
N_Z05_LEO,New,Leo,199,188,387,0.51,0.49
N_Z06_VIR,New,Virgo,215,203,418,0.51,0.49
N_Z07_LIB,New,Libra,225,181,406,0.55,0.45
N_Z08_SCO,New,Scorpio,188,163,351,0.54,0.46
N_Z09_SAG,New,Sagittarius,194,164,358,0.54,0.46
N_Z10_CAP,New,Capricorn,194,176,370,0.52,0.48
N_Z11_AQU,New,Aquarius,185,163,348,0.53,0.47
N_Z12_PIS,New,Pisces,150,149,299,0.5,0.5
