MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,51,60,111,0.46,0.54
F_Z02_TAU,Full,Taurus,44,47,91,0.48,0.52
F_Z03_GEM,Full,Gemini,58,59,117,0.5,0.5
F_Z04_CAN,Full,Cancer,36,52,88,0.41,0.59
F_Z05_LEO,Full,Leo,62,72,134,0.46,0.54
F_Z06_VIR,Full,Virgo,41,35,76,0.54,0.46
F_Z07_LIB,Full,Libra,59,60,119,0.5,0.5
F_Z08_SCO,Full,Scorpio,45,45,90,0.5,0.5
F_Z09_SAG,Full,Sagittarius,61,57,118,0.52,0.48
F_Z10_CAP,Full,Capricorn,37,37,74,0.5,0.5
F_Z11_AQU,Full,Aquarius,52,49,101,0.51,0.49
F_Z12_PIS,Full,Pisces,42,48,90,0.47,0.53
N_Z01_ARI,New,Aries,52,37,89,0.58,0.42
N_Z02_TAU,New,Taurus,64,60,124,0.52,0.48
N_Z03_GEM,New,Gemini,42,33,75,0.56,0.44
N_Z04_CAN,New,Cancer,58,44,102,0.57,0.43
N_Z05_LEO,New,Leo,51,40,91,0.56,0.44
N_Z06_VIR,New,Virgo,62,42,104,0.6,0.4
N_Z07_LIB,New,Libra,58,64,122,0.48,0.52
N_Z08_SCO,New,Scorpio,57,60,117,0.49,0.51
N_Z09_SAG,New,Sagittarius,49,42,91,0.54,0.46
N_Z10_CAP,New,Capricorn,75,57,132,0.57,0.43
N_Z11_AQU,New,Aquarius,57,33,90,0.63,0.37
N_Z12_PIS,New,Pisces,47,39,86,0.55,0.45
