PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,559,526,1085,0.52,0.48
CE_POS,Ceres,Positive,729,675,1404,0.52,0.48
CH_NEG,Chiron,Negative,730,722,1452,0.5,0.5
CH_POS,Chiron,Positive,558,479,1037,0.54,0.46
JN_NEG,Juno,Negative,619,580,1199,0.52,0.48
JN_POS,Juno,Positive,669,621,1290,0.52,0.48
JU_NEG,Jupiter,Negative,647,586,1233,0.52,0.48
JU_POS,Jupiter,Positive,641,615,1256,0.51,0.49
MA_NEG,Mars,Negative,542,581,1123,0.48,0.52
MA_POS,Mars,Positive,746,620,1366,0.55,0.45
ME_NEG,Mercury,Negative,667,551,1218,0.55,0.45
ME_POS,Mercury,Positive,621,650,1271,0.49,0.51
MO_NEG,Moon,Negative,667,581,1248,0.53,0.47
MO_POS,Moon,Positive,621,620,1241,0.5,0.5
NE_NEG,Neptune,Negative,1288,1201,2489,0.52,0.48
NN_NEG,NNode,Negative,597,536,1133,0.53,0.47
NN_POS,NNode,Positive,691,665,1356,0.51,0.49
PA_NEG,Pallas,Negative,625,566,1191,0.52,0.48
PA_POS,Pallas,Positive,663,635,1298,0.51,0.49
PH_NEG,Pholus,Negative,553,453,1006,0.55,0.45
PH_POS,Pholus,Positive,735,748,1483,0.5,0.5
PL_NEG,Pluto,Negative,1288,1201,2489,0.52,0.48
SA_NEG,Saturn,Negative,601,579,1180,0.51,0.49
SA_POS,Saturn,Positive,687,622,1309,0.52,0.48
SN_NEG,SNode,Negative,597,535,1132,0.53,0.47
SN_POS,SNode,Positive,691,666,1357,0.51,0.49
SU_NEG,Sun,Negative,634,615,1249,0.51,0.49
SU_POS,Sun,Positive,654,586,1240,0.53,0.47
UR_NEG,Uranus,Negative,561,474,1035,0.54,0.46
UR_POS,Uranus,Positive,727,727,1454,0.5,0.5
VE_NEG,Venus,Negative,597,556,1153,0.52,0.48
VE_POS,Venus,Positive,691,645,1336,0.52,0.48
VS_NEG,Vesta,Negative,716,687,1403,0.51,0.49
VS_POS,Vesta,Positive,572,514,1086,0.53,0.47
