PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",200,218,418,0.48,0.52,CAR
"CAR_(6,8]",Cardinal,"(6,8]",409,384,793,0.52,0.48,CAR
"CAR_(8,14]",Cardinal,"(8,14]",306,261,567,0.54,0.46,CAR
"CAR_[0,5]",Cardinal,"[0,5]",345,309,654,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",136,159,295,0.46,0.54,FIX
"FIX_(6,7]",Fixed,"(6,7]",101,82,183,0.55,0.45,FIX
"FIX_(7,14]",Fixed,"(7,14]",84,88,172,0.49,0.51,FIX
"FIX_[0,5]",Fixed,"[0,5]",939,843,1782,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",413,386,799,0.52,0.48,MUT
"MUT_(6,7]",Mutable,"(6,7]",221,205,426,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",397,362,759,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",229,219,448,0.51,0.49,MUT
