PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,491,516,1007,0.49,0.51
CE_POS,Ceres,Positive,649,679,1328,0.49,0.51
CH_NEG,Chiron,Negative,718,734,1452,0.49,0.51
CH_POS,Chiron,Positive,422,461,883,0.48,0.52
JN_NEG,Juno,Negative,604,595,1199,0.5,0.5
JN_POS,Juno,Positive,536,600,1136,0.47,0.53
JU_NEG,Jupiter,Negative,574,594,1168,0.49,0.51
JU_POS,Jupiter,Positive,566,601,1167,0.49,0.51
MA_NEG,Mars,Negative,508,547,1055,0.48,0.52
MA_POS,Mars,Positive,632,648,1280,0.49,0.51
ME_NEG,Mercury,Negative,597,580,1177,0.51,0.49
ME_POS,Mercury,Positive,543,615,1158,0.47,0.53
MO_NEG,Moon,Negative,589,585,1174,0.5,0.5
MO_POS,Moon,Positive,551,610,1161,0.47,0.53
NE_NEG,Neptune,Negative,1140,1195,2335,0.49,0.51
NN_NEG,NNode,Negative,568,565,1133,0.5,0.5
NN_POS,NNode,Positive,572,630,1202,0.48,0.52
PA_NEG,Pallas,Negative,535,524,1059,0.51,0.49
PA_POS,Pallas,Positive,605,671,1276,0.47,0.53
PH_NEG,Pholus,Negative,422,430,852,0.5,0.5
PH_POS,Pholus,Positive,718,765,1483,0.48,0.52
PL_NEG,Pluto,Negative,1140,1195,2335,0.49,0.51
SA_NEG,Saturn,Negative,534,646,1180,0.45,0.55
SA_POS,Saturn,Positive,606,549,1155,0.52,0.48
SN_NEG,SNode,Negative,567,565,1132,0.5,0.5
SN_POS,SNode,Positive,573,630,1203,0.48,0.52
SU_NEG,Sun,Negative,573,589,1162,0.49,0.51
SU_POS,Sun,Positive,567,606,1173,0.48,0.52
UR_NEG,Uranus,Negative,421,460,881,0.48,0.52
UR_POS,Uranus,Positive,719,735,1454,0.49,0.51
VE_NEG,Venus,Negative,530,549,1079,0.49,0.51
VE_POS,Venus,Positive,610,646,1256,0.49,0.51
VS_NEG,Vesta,Negative,615,634,1249,0.49,0.51
VS_POS,Vesta,Positive,525,561,1086,0.48,0.52
