MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,59,67,126,0.47,0.53
F_Z02_TAU,Full,Taurus,52,50,102,0.51,0.49
F_Z03_GEM,Full,Gemini,61,71,132,0.46,0.54
F_Z04_CAN,Full,Cancer,47,41,88,0.53,0.47
F_Z05_LEO,Full,Leo,68,66,134,0.51,0.49
F_Z06_VIR,Full,Virgo,37,39,76,0.49,0.51
F_Z07_LIB,Full,Libra,64,55,119,0.54,0.46
F_Z08_SCO,Full,Scorpio,51,39,90,0.57,0.43
F_Z09_SAG,Full,Sagittarius,70,78,148,0.47,0.53
F_Z10_CAP,Full,Capricorn,35,39,74,0.47,0.53
F_Z11_AQU,Full,Aquarius,65,66,131,0.5,0.5
F_Z12_PIS,Full,Pisces,40,51,91,0.44,0.56
N_Z01_ARI,New,Aries,33,56,89,0.37,0.63
N_Z02_TAU,New,Taurus,69,59,128,0.54,0.46
N_Z03_GEM,New,Gemini,40,49,89,0.45,0.55
N_Z04_CAN,New,Cancer,61,56,117,0.52,0.48
N_Z05_LEO,New,Leo,55,50,105,0.52,0.48
N_Z06_VIR,New,Virgo,52,66,118,0.44,0.56
N_Z07_LIB,New,Libra,57,79,136,0.42,0.58
N_Z08_SCO,New,Scorpio,65,67,132,0.49,0.51
N_Z09_SAG,New,Sagittarius,48,43,91,0.53,0.47
N_Z10_CAP,New,Capricorn,66,66,132,0.5,0.5
N_Z11_AQU,New,Aquarius,50,40,90,0.56,0.44
N_Z12_PIS,New,Pisces,48,38,86,0.56,0.44
