PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",128,156,284,0.45,0.55,CAR
"CAR_(6,8]",Cardinal,"(6,8]",245,288,533,0.46,0.54,CAR
"CAR_(8,14]",Cardinal,"(8,14]",276,276,552,0.5,0.5,CAR
"CAR_[0,5]",Cardinal,"[0,5]",273,259,532,0.51,0.49,CAR
"FIX_(5,6]",Fixed,"(5,6]",132,164,296,0.45,0.55,FIX
"FIX_(6,7]",Fixed,"(6,7]",120,143,263,0.46,0.54,FIX
"FIX_(7,14]",Fixed,"(7,14]",129,145,274,0.47,0.53,FIX
"FIX_[0,5]",Fixed,"[0,5]",541,527,1068,0.51,0.49,FIX
"MUT_(4,6]",Mutable,"(4,6]",387,372,759,0.51,0.49,MUT
"MUT_(6,7]",Mutable,"(6,7]",130,124,254,0.51,0.49,MUT
"MUT_(7,13]",Mutable,"(7,13]",153,158,311,0.49,0.51,MUT
"MUT_[0,4]",Mutable,"[0,4]",252,325,577,0.44,0.56,MUT
