PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,691,760,1451,0.48,0.52
CE_RET,Ceres,Retrograde,195,193,388,0.5,0.5
CE_STA,Ceres,Stationary,36,26,62,0.58,0.42
CH_DIR,Chiron,Direct,498,533,1031,0.48,0.52
CH_RET,Chiron,Retrograde,364,385,749,0.49,0.51
CH_STA,Chiron,Stationary,60,61,121,0.5,0.5
JN_DIR,Juno,Direct,699,750,1449,0.48,0.52
JN_RET,Juno,Retrograde,181,198,379,0.48,0.52
JN_STA,Juno,Stationary,42,31,73,0.58,0.42
JU_DIR,Jupiter,Direct,574,644,1218,0.47,0.53
JU_RET,Jupiter,Retrograde,302,287,589,0.51,0.49
JU_STA,Jupiter,Stationary,46,48,94,0.49,0.51
MA_DIR,Mars,Direct,807,844,1651,0.49,0.51
MA_RET,Mars,Retrograde,88,111,199,0.44,0.56
MA_STA,Mars,Stationary,27,24,51,0.53,0.47
ME_DIR,Mercury,Direct,735,733,1468,0.5,0.5
ME_RET,Mercury,Retrograde,166,207,373,0.45,0.55
ME_STA,Mercury,Stationary,21,39,60,0.35,0.65
MO_DIR,Moon,Direct,922,979,1901,0.49,0.51
NE_DIR,Neptune,Direct,480,517,997,0.48,0.52
NE_RET,Neptune,Retrograde,345,361,706,0.49,0.51
NE_STA,Neptune,Stationary,97,101,198,0.49,0.51
NN_DIR,NNode,Direct,922,979,1901,0.49,0.51
PA_DIR,Pallas,Direct,655,772,1427,0.46,0.54
PA_RET,Pallas,Retrograde,235,182,417,0.56,0.44
PA_STA,Pallas,Stationary,32,25,57,0.56,0.44
PH_DIR,Pholus,Direct,479,503,982,0.49,0.51
PH_RET,Pholus,Retrograde,360,391,751,0.48,0.52
PH_STA,Pholus,Stationary,83,85,168,0.49,0.51
PL_DIR,Pluto,Direct,490,500,990,0.49,0.51
PL_RET,Pluto,Retrograde,333,371,704,0.47,0.53
PL_STA,Pluto,Stationary,99,108,207,0.48,0.52
SA_DIR,Saturn,Direct,538,566,1104,0.49,0.51
SA_RET,Saturn,Retrograde,327,348,675,0.48,0.52
SA_STA,Saturn,Stationary,57,65,122,0.47,0.53
SN_DIR,SNode,Direct,922,979,1901,0.49,0.51
SU_DIR,Sun,Direct,922,979,1901,0.49,0.51
UR_DIR,Uranus,Direct,503,524,1027,0.49,0.51
UR_RET,Uranus,Retrograde,362,384,746,0.49,0.51
UR_STA,Uranus,Stationary,57,71,128,0.45,0.55
VE_DIR,Venus,Direct,849,895,1744,0.49,0.51
VE_RET,Venus,Retrograde,60,66,126,0.48,0.52
VE_STA,Venus,Stationary,13,18,31,0.42,0.58
VS_DIR,Vesta,Direct,722,758,1480,0.49,0.51
VS_RET,Vesta,Retrograde,169,190,359,0.47,0.53
VS_STA,Vesta,Stationary,31,31,62,0.5,0.5
