MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_01_ARI,Full,Aries,38,30,68,0.56,0.44
F_02_TAU,Full,Taurus,21,23,44,0.48,0.52
F_03_GEM,Full,Gemini,33,38,71,0.46,0.54
F_04_CAN,Full,Cancer,25,17,42,0.6,0.4
F_05_LEO,Full,Leo,32,34,66,0.48,0.52
F_06_VIR,Full,Virgo,11,20,31,0.35,0.65
F_07_LIB,Full,Libra,34,26,60,0.57,0.43
F_08_SCO,Full,Scorpio,14,18,32,0.44,0.56
F_09_SAG,Full,Sagittarius,28,48,76,0.37,0.63
F_10_CAP,Full,Capricorn,29,31,60,0.48,0.52
F_11_AQU,Full,Aquarius,31,29,60,0.52,0.48
F_12_PIS,Full,Pisces,27,30,57,0.47,0.53
N_01_ARI,New,Aries,18,11,29,0.62,0.38
N_02_TAU,New,Taurus,38,36,74,0.51,0.49
N_03_GEM,New,Gemini,13,16,29,0.45,0.55
N_04_CAN,New,Cancer,32,39,71,0.45,0.55
N_05_LEO,New,Leo,28,32,60,0.47,0.53
N_06_VIR,New,Virgo,27,32,59,0.46,0.54
N_07_LIB,New,Libra,43,33,76,0.57,0.43
N_08_SCO,New,Scorpio,31,30,61,0.51,0.49
N_09_SAG,New,Sagittarius,32,30,62,0.52,0.48
N_10_CAP,New,Capricorn,33,29,62,0.53,0.47
N_11_AQU,New,Aquarius,28,17,45,0.62,0.38
N_12_PIS,New,Pisces,19,24,43,0.44,0.56
