PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MA_SN_a103,1,36,0.024,0.058,0.017,0.015,0.041,-0.052,0.209,0.261,1.63,2.513,0.01
VE_NN_a120,1,44,-0.002,0.039,-0.003,-0.002,0.036,-0.082,0.091,0.174,0.253,-0.234,0.006
VE_SN_a60,1,44,-0.002,0.039,-0.003,-0.002,0.036,-0.082,0.091,0.174,0.253,-0.234,0.006
ME_MA_a45,1,75,0,0.053,0.004,0.001,0.034,-0.17,0.202,0.372,0.316,3.025,0.006
VE_MA_a45,1,49,0.016,0.052,0.008,0.011,0.028,-0.084,0.209,0.292,1.581,4.038,0.007
SU_CH_a90,1,47,-0.001,0.042,-0.011,-0.005,0.031,-0.084,0.183,0.266,1.805,6.06,0.006
VE_CE_a120,1,37,0.028,0.049,0.022,0.026,0.047,-0.104,0.183,0.286,0.446,1.633,0.008
VE_PL_a30,1,46,0.005,0.082,-0.005,-0.004,0.049,-0.139,0.376,0.515,2.125,7.515,0.012
SU_UR_a120,1,48,0.003,0.057,0.001,0.001,0.028,-0.119,0.209,0.327,1.067,3.847,0.008
ME_VE_a0,1,66,-0.001,0.048,-0.001,-0.002,0.029,-0.114,0.161,0.274,0.417,1.237,0.006
SU_PA_a120,1,37,0.01,0.09,-0.001,-0.002,0.045,-0.122,0.376,0.498,2.11,5.895,0.015
VE_JU_a36,1,83,0.01,0.076,-0.002,0.005,0.065,-0.141,0.24,0.381,0.768,0.729,0.008
ME_VS_a30,1,44,0.027,0.093,0.009,0.018,0.056,-0.122,0.376,0.498,1.345,2.751,0.014
MA_PL_a72,1,40,0.008,0.061,0.006,0.004,0.034,-0.162,0.209,0.371,0.866,3.507,0.01
ME_JN_a45,1,38,0.027,0.062,0.015,0.02,0.048,-0.08,0.209,0.288,1.145,1.212,0.01
ME_JU_a30,1,52,0.002,0.061,0.001,-0.003,0.054,-0.116,0.209,0.325,1.16,2.236,0.009
VE_VS_a36,1,89,0.009,0.047,0.006,0.006,0.032,-0.122,0.209,0.331,1.209,4.951,0.005
VS_NN_a90,1,79,0.002,0.071,0.003,0.001,0.059,-0.186,0.209,0.395,0.143,1.099,0.008
VS_SN_a90,1,79,0.002,0.071,0.003,0.001,0.059,-0.186,0.209,0.395,0.143,1.099,0.008
VS_CE_a90,1,43,0.016,0.056,0.009,0.013,0.037,-0.162,0.209,0.371,0.574,3.976,0.009
VS_PL_a60,1,26,0.023,0.071,0.01,0.02,0.026,-0.162,0.209,0.371,0.343,1.466,0.014
SU_PH_a0,1,27,-0.002,0.062,-0.005,-0.004,0.029,-0.162,0.209,0.371,0.768,3.719,0.012
VE_CH_a90,1,46,-0.004,0.044,-0.003,-0.001,0.026,-0.162,0.086,0.248,-1.087,2.645,0.006
ME_MA_a36,1,52,0.012,0.065,0.013,0.01,0.045,-0.162,0.207,0.369,0.315,1.395,0.009
SU_JU_a45,1,48,-0.006,0.04,0,-0.003,0.032,-0.162,0.064,0.226,-1.177,2.85,0.006
SU_NE_a72,1,49,-0.002,0.047,-0.003,-0.002,0.029,-0.162,0.124,0.286,-0.104,2.36,0.007
VE_UR_a120,1,63,-0.001,0.046,-0.003,0.001,0.029,-0.162,0.145,0.308,-0.413,2.683,0.006
SU_SA_a0,1,24,0.01,0.063,0.009,0.011,0.05,-0.162,0.16,0.322,-0.181,1.114,0.013
VE_JN_a36,1,41,0.01,0.052,0.002,0.01,0.043,-0.162,0.16,0.322,-0.228,2.325,0.008
VE_PA_a120,1,30,-0.005,0.049,-0.006,-0.003,0.04,-0.162,0.073,0.235,-0.775,1.405,0.009
VS_JN_a72,1,204,-0.002,0.057,-0.003,-0.002,0.035,-0.183,0.207,0.391,0.282,2.265,0.004
MA_CH_a135,1,33,0.001,0.057,0.003,0.004,0.03,-0.162,0.157,0.319,-0.473,2.454,0.01
SU_JN_a30,1,58,0.015,0.058,0.002,0.012,0.049,-0.162,0.213,0.375,0.565,2.265,0.008
SU_NN_a135,1,50,-0.004,0.061,-0.017,-0.009,0.047,-0.162,0.16,0.322,0.645,1.2,0.009
SU_SN_a45,1,50,-0.004,0.061,-0.017,-0.009,0.047,-0.162,0.16,0.322,0.645,1.2,0.009
SU_CE_a135,1,32,0.012,0.045,0.008,0.01,0.032,-0.104,0.157,0.261,0.645,2.372,0.008
VE_PH_a0,1,24,0.008,0.064,0.005,0.006,0.033,-0.113,0.157,0.27,0.337,0.152,0.013
JU_NN_a90,1,35,0.035,0.071,0.032,0.033,0.051,-0.084,0.207,0.291,0.411,-0.278,0.012
JU_SN_a90,1,35,0.035,0.071,0.032,0.033,0.051,-0.084,0.207,0.291,0.411,-0.278,0.012
NN_SA_a135,1,48,0.028,0.075,0.027,0.026,0.068,-0.138,0.207,0.345,0.203,-0.236,0.011
SN_SA_a45,1,48,0.028,0.075,0.027,0.026,0.068,-0.138,0.207,0.345,0.203,-0.236,0.011
VE_NE_a72,1,52,0.007,0.039,0.008,0.006,0.036,-0.081,0.157,0.238,0.767,2.752,0.005
SU_VS_a45,1,55,0.004,0.039,-0.007,0.001,0.036,-0.077,0.157,0.234,1.051,2.481,0.005
VE_SA_a0,1,23,0.024,0.042,0.015,0.02,0.036,-0.042,0.157,0.199,1.233,1.952,0.009
JN_PH_a36,1,36,0.014,0.062,0.006,0.006,0.042,-0.077,0.207,0.284,1.392,1.701,0.01
VE_JU_a45,1,59,0.005,0.047,0.004,0.005,0.04,-0.122,0.157,0.279,0.441,1.906,0.006
MA_NE_a120,1,34,0.003,0.053,0.004,0.001,0.051,-0.091,0.157,0.248,0.473,0.463,0.009
VE_NN_a135,1,73,0.003,0.053,-0.001,0.001,0.034,-0.116,0.213,0.329,0.974,3.59,0.006
VE_SN_a45,1,73,0.003,0.053,-0.001,0.001,0.034,-0.116,0.213,0.329,0.974,3.59,0.006
VE_CE_a135,1,57,-0.008,0.049,-0.006,-0.008,0.039,-0.116,0.123,0.239,0.141,0.122,0.007
CE_JU_a90,1,63,0.007,0.063,0.004,0.005,0.053,-0.145,0.207,0.352,0.521,0.995,0.008
JN_NE_a36,1,32,0.017,0.07,0.008,0.013,0.063,-0.092,0.207,0.299,0.551,0.052,0.012
VE_JN_a30,1,41,-0.015,0.048,-0.006,-0.015,0.039,-0.113,0.074,0.187,-0.189,-0.702,0.007
CE_SA_a135,1,36,0.006,0.079,-0.005,0.001,0.075,-0.138,0.207,0.345,0.667,-0.155,0.013
VS_PH_a36,1,36,0.01,0.069,-0.004,0.005,0.045,-0.108,0.207,0.315,0.85,0.497,0.011
