PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,280,278,558,0.5,0.5
CE_POS,Ceres,Positive,441,432,873,0.51,0.49
CH_NEG,Chiron,Negative,235,229,464,0.51,0.49
CH_POS,Chiron,Positive,486,481,967,0.5,0.5
JN_NEG,Juno,Negative,335,346,681,0.49,0.51
JN_POS,Juno,Positive,386,364,750,0.51,0.49
JU_NEG,Jupiter,Negative,392,381,773,0.51,0.49
JU_POS,Jupiter,Positive,329,329,658,0.5,0.5
MA_NEG,Mars,Negative,312,309,621,0.5,0.5
MA_POS,Mars,Positive,409,401,810,0.5,0.5
ME_NEG,Mercury,Negative,355,359,714,0.5,0.5
ME_POS,Mercury,Positive,366,351,717,0.51,0.49
MO_NEG,Moon,Negative,367,350,717,0.51,0.49
MO_POS,Moon,Positive,354,360,714,0.5,0.5
NE_NEG,Neptune,Negative,721,710,1431,0.5,0.5
NN_NEG,NNode,Negative,283,283,566,0.5,0.5
NN_POS,NNode,Positive,438,427,865,0.51,0.49
PA_NEG,Pallas,Negative,380,367,747,0.51,0.49
PA_POS,Pallas,Positive,341,343,684,0.5,0.5
PH_NEG,Pholus,Negative,471,465,936,0.5,0.5
PH_POS,Pholus,Positive,250,245,495,0.51,0.49
PL_NEG,Pluto,Negative,721,710,1431,0.5,0.5
SA_NEG,Saturn,Negative,487,502,989,0.49,0.51
SA_POS,Saturn,Positive,234,208,442,0.53,0.47
SN_NEG,SNode,Negative,283,283,566,0.5,0.5
SN_POS,SNode,Positive,438,427,865,0.51,0.49
SU_NEG,Sun,Negative,350,370,720,0.49,0.51
SU_POS,Sun,Positive,371,340,711,0.52,0.48
UR_NEG,Uranus,Negative,492,473,965,0.51,0.49
UR_POS,Uranus,Positive,229,237,466,0.49,0.51
VE_NEG,Venus,Negative,360,331,691,0.52,0.48
VE_POS,Venus,Positive,361,379,740,0.49,0.51
VS_NEG,Vesta,Negative,477,406,883,0.54,0.46
VS_POS,Vesta,Positive,244,304,548,0.45,0.55
