PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",217,258,475,0.46,0.54,CAR
"CAR_(6,8]",Cardinal,"(6,8]",392,417,809,0.48,0.52,CAR
"CAR_(8,14]",Cardinal,"(8,14]",279,288,567,0.49,0.51,CAR
"CAR_[0,5]",Cardinal,"[0,5]",349,424,773,0.45,0.55,CAR
"FIX_(5,6]",Fixed,"(5,6]",162,165,327,0.5,0.5,FIX
"FIX_(6,7]",Fixed,"(6,7]",96,102,198,0.48,0.52,FIX
"FIX_(7,14]",Fixed,"(7,14]",78,96,174,0.45,0.55,FIX
"FIX_[0,5]",Fixed,"[0,5]",901,1024,1925,0.47,0.53,FIX
"MUT_(4,6]",Mutable,"(4,6]",406,413,819,0.5,0.5,MUT
"MUT_(6,7]",Mutable,"(6,7]",231,251,482,0.48,0.52,MUT
"MUT_(7,13]",Mutable,"(7,13]",388,487,875,0.44,0.56,MUT
"MUT_[0,4]",Mutable,"[0,4]",212,236,448,0.47,0.53,MUT
