PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,903,1016,1919,0.47,0.53
CE_RET,Ceres,Retrograde,226,263,489,0.46,0.54
CE_STA,Ceres,Stationary,42,39,81,0.52,0.48
CH_DIR,Chiron,Direct,669,736,1405,0.48,0.52
CH_RET,Chiron,Retrograde,441,491,932,0.47,0.53
CH_STA,Chiron,Stationary,61,91,152,0.4,0.6
JN_DIR,Juno,Direct,849,957,1806,0.47,0.53
JN_RET,Juno,Retrograde,254,323,577,0.44,0.56
JN_STA,Juno,Stationary,68,38,106,0.64,0.36
JU_DIR,Jupiter,Direct,772,854,1626,0.47,0.53
JU_RET,Jupiter,Retrograde,346,394,740,0.47,0.53
JU_STA,Jupiter,Stationary,53,70,123,0.43,0.57
MA_DIR,Mars,Direct,1067,1176,2243,0.48,0.52
MA_RET,Mars,Retrograde,82,113,195,0.42,0.58
MA_STA,Mars,Stationary,22,29,51,0.43,0.57
ME_DIR,Mercury,Direct,927,997,1924,0.48,0.52
ME_RET,Mercury,Retrograde,203,283,486,0.42,0.58
ME_STA,Mercury,Stationary,41,38,79,0.52,0.48
MO_DIR,Moon,Direct,1171,1318,2489,0.47,0.53
NE_DIR,Neptune,Direct,629,704,1333,0.47,0.53
NE_RET,Neptune,Retrograde,417,487,904,0.46,0.54
NE_STA,Neptune,Stationary,125,127,252,0.5,0.5
NN_DIR,NNode,Direct,1171,1318,2489,0.47,0.53
PA_DIR,Pallas,Direct,871,1004,1875,0.46,0.54
PA_RET,Pallas,Retrograde,256,272,528,0.48,0.52
PA_STA,Pallas,Stationary,44,42,86,0.51,0.49
PH_DIR,Pholus,Direct,619,664,1283,0.48,0.52
PH_RET,Pholus,Retrograde,452,544,996,0.45,0.55
PH_STA,Pholus,Stationary,100,110,210,0.48,0.52
PL_DIR,Pluto,Direct,628,672,1300,0.48,0.52
PL_RET,Pluto,Retrograde,408,507,915,0.45,0.55
PL_STA,Pluto,Stationary,135,139,274,0.49,0.51
SA_DIR,Saturn,Direct,710,758,1468,0.48,0.52
SA_RET,Saturn,Retrograde,382,480,862,0.44,0.56
SA_STA,Saturn,Stationary,79,80,159,0.5,0.5
SN_DIR,SNode,Direct,1171,1318,2489,0.47,0.53
SU_DIR,Sun,Direct,1171,1318,2489,0.47,0.53
UR_DIR,Uranus,Direct,653,755,1408,0.46,0.54
UR_RET,Uranus,Retrograde,451,477,928,0.49,0.51
UR_STA,Uranus,Stationary,67,86,153,0.44,0.56
VE_DIR,Venus,Direct,1068,1209,2277,0.47,0.53
VE_RET,Venus,Retrograde,88,82,170,0.52,0.48
VE_STA,Venus,Stationary,15,27,42,0.36,0.64
VS_DIR,Vesta,Direct,933,1020,1953,0.48,0.52
VS_RET,Vesta,Retrograde,205,252,457,0.45,0.55
VS_STA,Vesta,Stationary,33,46,79,0.42,0.58
