PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,481,581,1062,0.45,0.55
CE_POS,Ceres,Positive,682,722,1404,0.49,0.51
CH_NEG,Chiron,Negative,676,776,1452,0.47,0.53
CH_POS,Chiron,Positive,487,527,1014,0.48,0.52
JN_NEG,Juno,Negative,548,651,1199,0.46,0.54
JN_POS,Juno,Positive,615,652,1267,0.49,0.51
JU_NEG,Jupiter,Negative,562,648,1210,0.46,0.54
JU_POS,Jupiter,Positive,601,655,1256,0.48,0.52
MA_NEG,Mars,Negative,513,610,1123,0.46,0.54
MA_POS,Mars,Positive,650,693,1343,0.48,0.52
ME_NEG,Mercury,Negative,556,656,1212,0.46,0.54
ME_POS,Mercury,Positive,607,647,1254,0.48,0.52
MO_NEG,Moon,Negative,583,653,1236,0.47,0.53
MO_POS,Moon,Positive,580,650,1230,0.47,0.53
NE_NEG,Neptune,Negative,1163,1303,2466,0.47,0.53
NN_NEG,NNode,Negative,520,613,1133,0.46,0.54
NN_POS,NNode,Positive,643,690,1333,0.48,0.52
PA_NEG,Pallas,Negative,564,604,1168,0.48,0.52
PA_POS,Pallas,Positive,599,699,1298,0.46,0.54
PH_NEG,Pholus,Negative,471,512,983,0.48,0.52
PH_POS,Pholus,Positive,692,791,1483,0.47,0.53
PL_NEG,Pluto,Negative,1163,1303,2466,0.47,0.53
SA_NEG,Saturn,Negative,565,615,1180,0.48,0.52
SA_POS,Saturn,Positive,598,688,1286,0.47,0.53
SN_NEG,SNode,Negative,519,613,1132,0.46,0.54
SN_POS,SNode,Positive,644,690,1334,0.48,0.52
SU_NEG,Sun,Negative,559,667,1226,0.46,0.54
SU_POS,Sun,Positive,604,636,1240,0.49,0.51
UR_NEG,Uranus,Negative,490,522,1012,0.48,0.52
UR_POS,Uranus,Positive,673,781,1454,0.46,0.54
VE_NEG,Venus,Negative,540,610,1150,0.47,0.53
VE_POS,Venus,Positive,623,693,1316,0.47,0.53
VS_NEG,Vesta,Negative,667,713,1380,0.48,0.52
VS_POS,Vesta,Positive,496,590,1086,0.46,0.54
