PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1250,1068,2318,0.54,0.46,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1842,1588,3430,0.54,0.46,CAR
"CAR_(8,14]",Cardinal,"(8,14]",857,804,1661,0.52,0.48,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2812,2543,5355,0.53,0.47,CAR
"FIX_(5,6]",Fixed,"(5,6]",1305,1226,2531,0.52,0.48,FIX
"FIX_(6,7]",Fixed,"(6,7]",1007,905,1912,0.53,0.47,FIX
"FIX_(7,14]",Fixed,"(7,14]",1237,1129,2366,0.52,0.48,FIX
"FIX_[0,5]",Fixed,"[0,5]",3212,2743,5955,0.54,0.46,FIX
"MUT_(4,6]",Mutable,"(4,6]",2469,2173,4642,0.53,0.47,MUT
"MUT_(6,7]",Mutable,"(6,7]",1242,1069,2311,0.54,0.46,MUT
"MUT_(7,13]",Mutable,"(7,13]",1762,1535,3297,0.53,0.47,MUT
"MUT_[0,4]",Mutable,"[0,4]",1288,1226,2514,0.51,0.49,MUT
